row_label_raw,row_label_full,Bên liên quan > + Công ty Cổ phần Đầu tư tài chính & truyền thông quốc tế (Công ty con đến ngày 23/01/2024).,Nội dung nghiệp vụ > + Công ty Cổ phần Đầu tư tài chính & truyền thông quốc tế (Công ty con đến ngày 23/01/2024).,Số cuối năm > + Công ty Cổ phần Đầu tư tài chính & truyền thông quốc tế (Công ty con đến ngày 23/01/2024).,Số đầu năm > + Công ty Cổ phần Đầu tư tài chính & truyền thông quốc tế (Công ty con đến ngày 23/01/2024).,numeric__Nội dung nghiệp vụ > + Công ty Cổ phần Đầu tư tài chính & truyền thông quốc tế (Công ty con đến ngày 23/01/2024).,numeric__Số cuối năm > + Công ty Cổ phần Đầu tư tài chính & truyền thông quốc tế (Công ty con đến ngày 23/01/2024).,numeric__Số đầu năm > + Công ty Cổ phần Đầu tư tài chính & truyền thông quốc tế (Công ty con đến ngày 23/01/2024).
,,,- Vay vốn lưu động ngắn hạn,,10.500.000.000,,,10500000000.0
+ Công ty Cổ phần Đầu tư và phát triển Đa Quốc Gia I.D.I (Công ty con),+ Công ty Cổ phần Đầu tư và phát triển Đa Quốc Gia I.D.I (Công ty con),+ Công ty Cổ phần Đầu tư và phát triển Đa Quốc Gia I.D.I (Công ty con),+ Công ty Cổ phần Đầu tư và phát triển Đa Quốc Gia I.D.I (Công ty con),+ Công ty Cổ phần Đầu tư và phát triển Đa Quốc Gia I.D.I (Công ty con),+ Công ty Cổ phần Đầu tư và phát triển Đa Quốc Gia I.D.I (Công ty con),,,
,,,- Vay vốn lưu động dài hạn,,284.200.000.000,,,284200000000.0
+ Công ty Cổ phần Du Lịch Đồng Tháp (Công ty con),+ Công ty Cổ phần Du Lịch Đồng Tháp (Công ty con),+ Công ty Cổ phần Du Lịch Đồng Tháp (Công ty con),+ Công ty Cổ phần Du Lịch Đồng Tháp (Công ty con),+ Công ty Cổ phần Du Lịch Đồng Tháp (Công ty con),+ Công ty Cổ phần Du Lịch Đồng Tháp (Công ty con),,,
,,,- Vay vốn lưu động ngắn hạn,,2.000.000.000,,,2000000000.0
,,,- Vay vốn lưu động dài hạn,,7.000.000.000,,,7000000000.0
+ Công ty TNHH Sao Mai Super Feed (Công ty con),+ Công ty TNHH Sao Mai Super Feed (Công ty con),+ Công ty TNHH Sao Mai Super Feed (Công ty con),+ Công ty TNHH Sao Mai Super Feed (Công ty con),+ Công ty TNHH Sao Mai Super Feed (Công ty con),+ Công ty TNHH Sao Mai Super Feed (Công ty con),,,
,,,- Vay vốn lưu động ngắn hạn,,62.930.000.000,,,62930000000.0
+ Công ty Cổ phần Đầu tư Du lịch và Phát triển Thuỷ sản (Công ty con),+ Công ty Cổ phần Đầu tư Du lịch và Phát triển Thuỷ sản (Công ty con),+ Công ty Cổ phần Đầu tư Du lịch và Phát triển Thuỷ sản (Công ty con),+ Công ty Cổ phần Đầu tư Du lịch và Phát triển Thuỷ sản (Công ty con),+ Công ty Cổ phần Đầu tư Du lịch và Phát triển Thuỷ sản (Công ty con),+ Công ty Cổ phần Đầu tư Du lịch và Phát triển Thuỷ sản (Công ty con),,,
,,,- Vay vốn lưu động dài hạn,,173.000.000.000,,,173000000000.0
+ Công ty Cổ phần Điện Mặt Trời EUROPLAST Long An (Công ty con),+ Công ty Cổ phần Điện Mặt Trời EUROPLAST Long An (Công ty con),+ Công ty Cổ phần Điện Mặt Trời EUROPLAST Long An (Công ty con),+ Công ty Cổ phần Điện Mặt Trời EUROPLAST Long An (Công ty con),+ Công ty Cổ phần Điện Mặt Trời EUROPLAST Long An (Công ty con),+ Công ty Cổ phần Điện Mặt Trời EUROPLAST Long An (Công ty con),,,
,,,- Vay vốn lưu động dài hạn,86.000.000.000,65.290.000.000,,86000000000.0,65290000000.0
+ Công ty TNHH Sinh Học MAIKI JAPAN (Công ty con),+ Công ty TNHH Sinh Học MAIKI JAPAN (Công ty con),+ Công ty TNHH Sinh Học MAIKI JAPAN (Công ty con),+ Công ty TNHH Sinh Học MAIKI JAPAN (Công ty con),+ Công ty TNHH Sinh Học MAIKI JAPAN (Công ty con),+ Công ty TNHH Sinh Học MAIKI JAPAN (Công ty con),,,
,,,- Vay vốn lưu động ngắn hạn,16.860.000.000,,,16860000000.0,
