row_label_raw,row_label_full,Items,"Buildings, structures","Machinery, equipment",Transportation equipment,Office equipment,Others,Total,"numeric__Buildings, structures","numeric__Machinery, equipment",numeric__Transportation equipment,numeric__Office equipment,numeric__Others,numeric__Total
I. Historical cost,I. Historical cost,I. Historical cost,I. Historical cost,I. Historical cost,I. Historical cost,I. Historical cost,I. Historical cost,I. Historical cost,,,,,,
1. Opening balance,1. Opening balance,1. Opening balance,"875,179,865,714","2,551,791,169,103","63,755,390,436","5,674,969,042",,"3,496,401,394,295",,,,,,
2. Increase,2. Increase,2. Increase,"170,780,681,474","2,530,611,148","105,000,000","177,804,731",,"173,594,097,353",,,,,,
- Purchase in this period,- Purchase in this period,- Purchase in this period,,"2,530,611,148","105,000,000","177,804,731",,"2,813,415,879",,,,,,
- Finished construction investment,- Finished construction investment,- Finished construction investment,"170,780,681,474",,,,,"170,780,681,474",,,,,,
- Purchase of financial lease fixed assets,- Purchase of financial lease fixed assets,- Purchase of financial lease fixed assets,,,,,,,,,,,,
- Other increases,- Other increases,- Other increases,,,,,,,,,,,,
3. Decrease,3. Decrease,3. Decrease,,,,,,,,,,,,
"- Liquidating, disposing","- Liquidating, disposing","- Liquidating, disposing",,,,,,,,,,,,
4. Closing balance,4. Closing balance,4. Closing balance,"1,045,960,547,188","2,554,321,780,251","63,860,390,436","5,852,773,773",,"3,669,995,491,648",,,,,,
II. Accumulated depreciation,II. Accumulated depreciation,II. Accumulated depreciation,II. Accumulated depreciation,II. Accumulated depreciation,II. Accumulated depreciation,II. Accumulated depreciation,II. Accumulated depreciation,II. Accumulated depreciation,,,,,,
1. Opening balance,1. Opening balance,1. Opening balance,"127,228,024,672","412,434,249,945","28,804,122,712","4,494,769,624",,"572,961,166,953",,,,,,
2. Increase,2. Increase,2. Increase,"50,941,148,472","105,994,203,112","5,108,026,435","454,000,986",,"162,497,379,005",,,,,,
- Depreciation for this period,- Depreciation for this period,- Depreciation for this period,"50,941,148,472","105,994,203,112","5,108,026,435","454,000,986",,"162,497,379,005",,,,,,
- Purchase of financial lease fixed assets,- Purchase of financial lease fixed assets,- Purchase of financial lease fixed assets,,,,,,,,,,,,
- Other increases,- Other increases,- Other increases,,,,,,,,,,,,
3. Decrease,3. Decrease,3. Decrease,,,,,,,,,,,,
"- Liquidating, disposing","- Liquidating, disposing","- Liquidating, disposing",,,,,,,,,,,,
4. Closing balance,4. Closing balance,4. Closing balance,"178,169,173,144","518,428,453,057","33,912,149,147","4,948,770,610",,"735,458,545,958",,,,,,
III. Net book value,III. Net book value,III. Net book value,III. Net book value,III. Net book value,III. Net book value,III. Net book value,III. Net book value,III. Net book value,,,,,,
1. Opening balance,1. Opening balance,1. Opening balance,"747,951,841,042","2,139,356,919,158","34,951,267,724","1,180,199,418",,"2,923,440,227,342",,,,,,
2. Closing balance,2. Closing balance,2. Closing balance,"867,791,374,044","2,035,893,327,194","29,948,241,289","904,003,163",,"2,934,536,945,690",,,,,,
