row_label_raw,row_label_full,col_0,Current year,Previous year,numeric__Current year,numeric__Previous year
- Owner's invested capital,- Owner's invested capital,- Owner's invested capital,,,,
+ At the beginning of period,+ At the beginning of period,+ At the beginning of period,"3,365,267,520,000","3,365,267,520,000",,
+ Increase in the period,+ Increase in the period,+ Increase in the period,"336,514,980,000",,,
+ Decrease in the period,+ Decrease in the period,+ Decrease in the period,,,,
+ At period end,+ At period end,+ At period end,"3,701,782,500,000","3,365,267,520,000",,
- Dividends or distributed profits,- Dividends or distributed profits,- Dividends or distributed profits,"336,514,980,000",,,
21. 4. Shares,21. 4. Shares,21. 4. Shares,Closing balance,Opening balance,,
Number of shares authorised to be issued,Number of shares authorised to be issued,Number of shares authorised to be issued,"370,178,250","336,526,752",,
Number of shares sold out to the public,Number of shares sold out to the public,Number of shares sold out to the public,"370,178,250","336,526,752",,
- Ordinary share,- Ordinary share,- Ordinary share,"370,178,250","336,526,752",,
- Preferred share,- Preferred share,- Preferred share,,,,
Number of repurchased shares,Number of repurchased shares,Number of repurchased shares,,,,
- Ordinary share,- Ordinary share,- Ordinary share,,,,
- Preferred share,- Preferred share,- Preferred share,,,,
Number of shares outstanding,Number of shares outstanding,Number of shares outstanding,"370,178,250","336,526,752",,
- Ordinary share,- Ordinary share,- Ordinary share,"370,178,250","336,526,752",,
- Preferred share,- Preferred share,- Preferred share,,,,
"Par value of shares outstanding: 10,000 VND/share","Par value of shares outstanding: 10,000 VND/share","Par value of shares outstanding: 10,000 VND/share",,,,
21. 5. Funding sources,21. 5. Funding sources,21. 5. Funding sources,Closing balance,Opening balance,,
- Funding sources granted during this period,- Funding sources granted during this period,- Funding sources granted during this period,"110,099,684,648","102,099,684,648",,
- Non-business expenses,- Non-business expenses,- Non-business expenses,,,,
- Closing remaining funding sources,- Closing remaining funding sources,- Closing remaining funding sources,"4,971,647,795","4,971,647,795",,
22. OFF-BALANCE SHEET ACCOUNTS,22. OFF-BALANCE SHEET ACCOUNTS,22. OFF-BALANCE SHEET ACCOUNTS,22. OFF-BALANCE SHEET ACCOUNTS,22. OFF-BALANCE SHEET ACCOUNTS,,
Foreign currency,Foreign currency,Foreign currency,Closing balance,Opening balance,,
- USD,Foreign currency > - USD,- USD,"7,223.78","7,649.86",7.22378,7.64986
- JPY,Foreign currency > - JPY,- JPY,5.00,5.00,500.0,500.0
