row_label_raw,row_label_full,col_0,Historical cost,Provision,Historical cost_1,Provision_1,numeric__Historical cost,numeric__Provision,numeric__Historical cost_1,numeric__Provision_1
a) Other short-term receivables,a) Other short-term receivables,a) Other short-term receivables,"188,090,529,052",,"174,217,200,058",,,,,
Advances,Advances,Advances,"169,859,282,553",,"151,871,744,303",,,,,
- Bui Thi Ngoc Linh,- Bui Thi Ngoc Linh,- Bui Thi Ngoc Linh,"28,753,397,000",,"11,141,417,000",,,,,
- Le Van Ba,- Le Van Ba,- Le Van Ba,"19,511,827,000",,"18,991,827,000",,,,,
- Other employees,- Other employees,- Other employees,"121,594,058,553",,"121,738,500,303",,,,,
Other receivables,Other receivables,Other receivables,"18,231,246,499",,"22,345,455,755",,,,,
+ Other parties,+ Other parties,+ Other parties,"7,889,357,499",,"14,953,566,755",,,,,
+ Related parties,+ Related parties,+ Related parties,"10,341,889,000",,"7,391,889,000",,,,,
+ Dung Thinh Phat Sai Gon JSC,+ Dung Thinh Phat Sai Gon JSC,+ Dung Thinh Phat Sai Gon JSC,"365,000,000",,"315,000,000",,,,,
+ Vinh An Investment Company Dak Nong,+ Vinh An Investment Company Dak Nong,+ Vinh An Investment Company Dak Nong,"9,976,889,000",,"7,076,889,000",,,,,
b) Other long-term receivables,b) Other long-term receivables,b) Other long-term receivables,"12,523,594,250",,"12,010,000,000",,,,,
Deposits,Deposits,Deposits,"12,523,594,250",,"12,010,000,000",,,,,
Total,Total,Total,"200,614,123,302",,"186,227,200,058",,,,,
