row_label_raw,row_label_full,col_0,Ngày 31 tháng 12năm 2022Đồng,Ngày 31 tháng 12năm 2021Đồng,numeric__Ngày 31 tháng 12năm 2022Đồng,numeric__Ngày 31 tháng 12năm 2021Đồng
Vàng SJC,Vàng SJC,Vàng SJC,6.580.000,5.860.000,6580000.0,5860000.0
Vàng SBJ,Vàng SBJ,Vàng SBJ,5.100.000,5.750.000,5100000.0,5750000.0
USD,USD,USD,23.620,22.860,23620.0,22860.0
EUR,EUR,EUR,25.222,25.842,25222.0,25842.0
GBP,GBP,GBP,28.440,30.750,28440.0,30750.0
CHF,CHF,CHF,25.601,24.972,25601.0,24972.0
JPY,JPY,JPY,"179,34","199,11",179.34,199.11
SGD,SGD,SGD,17.627,16.862,17627.0,16862.0
CAD,CAD,CAD,17.468,17.881,17468.0,17881.0
AUD,AUD,AUD,16.063,16.674,16063.0,16674.0
LAK,LAK,LAK,"1,37","1,88",1.37,1.88
THB,THB,THB,690,698,690.0,698.0
NZD,NZD,NZD,14.826,15.458,14826.0,15458.0
Người lập:,Người lập:,Người lập:,Người kiểm soát:,Người kiểm soát:,,
Ông Lưu Văn HòaKế toán,Ông Lưu Văn HòaKế toán,Ông Lưu Văn HòaKế toán,Ông Huỳnh Thanh GiangKế toán Trường,Bà Nguyễn Đức Thạch DiễmTổng Giám đốc,,
