row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcTriệu đồng",Máy mócthiết bịTriệu đồng,Phương tiệnvận chuyểnTriệu đồng,KhácTriệu đồng,Tổng cộngTriệu đồng,"numeric__Nhà cửa,vật kiến trúcTriệu đồng",numeric__Máy mócthiết bịTriệu đồng,numeric__Phương tiệnvận chuyểnTriệu đồng,numeric__KhácTriệu đồng,numeric__Tổng cộngTriệu đồng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số đầu năm,Nguyên giá > Số đầu năm,Số đầu năm,4.097.725,2.638.259,750.996,380.673,7.867.653,4097725.0,2638259.0,750996.0,380673.0,7867653.0
Tăng do mua mới trong năm,Nguyên giá > Tăng do mua mới trong năm,Tăng do mua mới trong năm,2.699,102.911,49.868,31.414,186.892,2699.0,102911.0,49868.0,31414.0,186892.0
Tăng do nâng cấp,Nguyên giá > Tăng do nâng cấp,Tăng do nâng cấp,321,3.794,-,461,4.576,321.0,3794.0,,461.0,4576.0
Kết chuyển từ đầu tư xây dựng cơ bảnvà mua sắm tài sản cố định,Nguyên giá > Kết chuyển từ đầu tư xây dựng cơ bảnvà mua sắm tài sản cố định,Kết chuyển từ đầu tư xây dựng cơ bảnvà mua sắm tài sản cố định,74.590,382.880,54.035,8.268,519.773,74590.0,382880.0,54035.0,8268.0,519773.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(499.535),(98.471),(42.954),(10.752),(651.712),-499535.0,-98471.0,-42954.0,-10752.0,-651712.0
Chênh lệch đánh giá lại tỷ giá,Nguyên giá > Chênh lệch đánh giá lại tỷ giá,Chênh lệch đánh giá lại tỷ giá,(58.615),2.178,(1.147),(12.025),(69.609),-58615.0,2178.0,-1147.0,-12025.0,-69609.0
Số cuối năm,Nguyên giá > Số cuối năm,Số cuối năm,3.617.185,3.031.551,810.798,398.039,7.857.573,3617185.0,3031551.0,810798.0,398039.0,7857573.0
Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,,,,,
Số đầu năm,Giá trị khấu hao lũy kế > Số đầu năm,Số đầu năm,1.078.362,1.657.511,415.487,197.619,3.348.979,1078362.0,1657511.0,415487.0,197619.0,3348979.0
Khấu hao trong năm,Giá trị khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,104.111,240.209,63.875,34.283,442.478,104111.0,240209.0,63875.0,34283.0,442478.0
"Thanh lý, nhượng bán","Giá trị khấu hao lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(238.458),(94.853),(42.503),(9.778),(385.592),-238458.0,-94853.0,-42503.0,-9778.0,-385592.0
Chênh lệch đánh giá lại tỷ giá,Giá trị khấu hao lũy kế > Chênh lệch đánh giá lại tỷ giá,Chênh lệch đánh giá lại tỷ giá,(28.317),1.701,(1.104),(10.367),(38.087),-28317.0,1701.0,-1104.0,-10367.0,-38087.0
Số cuối năm,Giá trị khấu hao lũy kế > Số cuối năm,Số cuối năm,915.698,1.804.568,435.755,211.757,3.367.778,915698.0,1804568.0,435755.0,211757.0,3367778.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,3.019.363,980.748,335.509,183.054,4.518.674,3019363.0,980748.0,335509.0,183054.0,4518674.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,2.701.487,1.226.983,375.043,186.282,4.489.795,2701487.0,1226983.0,375043.0,186282.0,4489795.0
