row_label_raw,row_label_full,col_0,Quyền sử dụng đấtTriệu đồng,Phần mềm máy vi tínhTriệu đồng,TSCĐ vô hình khácTriệu đồng,Tổng cộngTriệu đồng,numeric__Quyền sử dụng đấtTriệu đồng,numeric__Phần mềm máy vi tínhTriệu đồng,numeric__TSCĐ vô hình khácTriệu đồng,numeric__Tổng cộngTriệu đồng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số đầu năm,Nguyên giá > Số đầu năm,Số đầu năm,3.366.121,1.790.062,790,5.156.973,3366121.0,1790062.0,790.0,5156973.0
Tăng do mua mới và nâng cấp,Nguyên giá > Tăng do mua mới và nâng cấp,Tăng do mua mới và nâng cấp,-,22.987,113,23.100,,22987.0,113.0,23100.0
Kết chuyển từ đầu tư xây dựng cơ bản và mua sắm tài sản cố định,Nguyên giá > Kết chuyển từ đầu tư xây dựng cơ bản và mua sắm tài sản cố định,Kết chuyển từ đầu tư xây dựng cơ bản và mua sắm tài sản cố định,89.808,94.629,-,184.437,89808.0,94629.0,,184437.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(830.265),(2.800),-,(833.065),-830265.0,-2800.0,,-833065.0
Chênh lệch quy đổi tỷ giá,Nguyên giá > Chênh lệch quy đổi tỷ giá,Chênh lệch quy đổi tỷ giá,(7.379),(1.649),-,(9.028),-7379.0,-1649.0,,-9028.0
Số cuối năm,Nguyên giá > Số cuối năm,Số cuối năm,2.618.285,1.903.229,903,4.522.417,2618285.0,1903229.0,903.0,4522417.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số đầu năm,Giá trị hao mòn lũy kế > Số đầu năm,Số đầu năm,282.007,1.197.785,579,1.480.371,282007.0,1197785.0,579.0,1480371.0
Hao mòn trong năm,Giá trị hao mòn lũy kế > Hao mòn trong năm,Hao mòn trong năm,20.577,207.151,73,227.801,20577.0,207151.0,73.0,227801.0
Thanh lý và nhượng bán,Giá trị hao mòn lũy kế > Thanh lý và nhượng bán,Thanh lý và nhượng bán,(238.797),(2.765),-,(241.562),-238797.0,-2765.0,,-241562.0
Chênh lệch quy đổi tỷ giá,Giá trị hao mòn lũy kế > Chênh lệch quy đổi tỷ giá,Chênh lệch quy đổi tỷ giá,-,(2.075),-,(2.075),,-2075.0,,-2075.0
Số cuối năm,Giá trị hao mòn lũy kế > Số cuối năm,Số cuối năm,63.787,1.400.096,652,1.464.535,63787.0,1400096.0,652.0,1464535.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,3.084.114,592.277,211,3.676.602,3084114.0,592277.0,211.0,3676602.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,2.554.498,503.133,251,3.057.882,2554498.0,503133.0,251.0,3057882.0
