row_label_raw,row_label_full,Bên liên quan,Các giao dịch,Năm nayTriệu đồng,Năm trướcTriệu đồng,numeric__Các giao dịch,numeric__Năm nayTriệu đồng,numeric__Năm trướcTriệu đồng
Các thành viên của Ban lãnh đạo,Các thành viên của Ban lãnh đạo,Các thành viên của Ban lãnh đạo,Thu nhập lãi cho vay,3.127,2.217,,3127.0,2217.0
Các thành viên của Ban lãnh đạo,Các thành viên của Ban lãnh đạo,Các thành viên của Ban lãnh đạo,Chi phí trả lãi tiền gửi,(7.421),(5.500),,-7421.0,-5500.0
Ngân hàng và các công ty con,Ngân hàng và các công ty con,Ngân hàng và các công ty con,Thu nhập từ hoạt động dịch vụ,55,60,,55.0,60.0
Ngân hàng và các công ty con,Ngân hàng và các công ty con,Ngân hàng và các công ty con,Chi phí hoạt động khác,(5.397),-,,-5397.0,
Ngân hàng và các công ty con,Ngân hàng và các công ty con,Ngân hàng và các công ty con,Thù lao sau thuế của thành viên Hội đồng Quản trị,(35.243),(36.340),,-35243.0,-36340.0
Ngân hàng và các công ty con,Ngân hàng và các công ty con,Ngân hàng và các công ty con,Thù lao sau thuế của thành viên Ban Kiểm soát,(17.438),(14.295),,-17438.0,-14295.0
Ngân hàng và các công ty con,Ngân hàng và các công ty con,Ngân hàng và các công ty con,Thu nhập sau thuế của thành viên Ban Tổng Giám đốc,(93.709),(84.733),,-93709.0,-84733.0
Các bên liên quan đến các thành viên của Ban lãnh đạo,Các bên liên quan đến các thành viên của Ban lãnh đạo,Các bên liên quan đến các thành viên của Ban lãnh đạo,Thu nhập lãi tiền gửi/cho vay,4.826,3.306,,4826.0,3306.0
Các bên liên quan đến các thành viên của Ban lãnh đạo,Các bên liên quan đến các thành viên của Ban lãnh đạo,Các bên liên quan đến các thành viên của Ban lãnh đạo,Chi phí trả lãi tiền vay/tiền gửi,(8.797),(8.308),,-8797.0,-8308.0
Các bên liên quan đến các thành viên của Ban lãnh đạo,Các bên liên quan đến các thành viên của Ban lãnh đạo,Các bên liên quan đến các thành viên của Ban lãnh đạo,Thu nhập từ hoạt động dịch vụ,60,144,,60.0,144.0
Ngân hàng và các công ty con,Ngân hàng và các công ty con,Ngân hàng và các công ty con,Chi phí hoạt động khác,(2.049),(3.622),,-2049.0,-3622.0
