row_label_raw,row_label_full,col_0,Quá hạnTriệu đồng,Khôngchịu lãiTriệu đồng,Thời hạn định lại lãi suất,Thời hạn định lại lãi suất_1,Thời hạn định lại lãi suất_2,Thời hạn định lại lãi suất_3,Thời hạn định lại lãi suất_4,Thời hạn định lại lãi suất_5,Tổng cộngTriệu đồng,numeric__Quá hạnTriệu đồng,numeric__Khôngchịu lãiTriệu đồng,numeric__Thời hạn định lại lãi suất,numeric__Thời hạn định lại lãi suất_1,numeric__Thời hạn định lại lãi suất_2,numeric__Thời hạn định lại lãi suất_3,numeric__Thời hạn định lại lãi suất_4,numeric__Thời hạn định lại lãi suất_5,numeric__Tổng cộngTriệu đồng
,,,Quá hạnTriệu đồng,Khôngchịu lãiTriệu đồng,Đến 1thángTriệu đồng,Từ 1 đến 3thángTriệu đồng,Từ 3 đến 6thángTriệu đồng,Từ 6 đến 12thángTriệu đồng,Từ 1 đến 5nămTriệu đồng,Trên 5nămTriệu đồng,Tổng cộngTriệu đồng,,,,,,,,,
Tài sản,Tài sản,Tài sản,,,,,,,,,,,,,,,,,,
"Tiền mặt, vàng bạc và đá quý","Tài sản > Tiền mặt, vàng bạc và đá quý","Tiền mặt, vàng bạc và đá quý",-,7.849.898,-,-,-,-,-,-,7.849.898,,7849898.0,,,,,,,7849898.0
Tiền gửi tại NHNN,Tài sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,529.088,11.757.029,-,-,-,-,-,12.286.117,,529088.0,11757029.0,,,,,,12286117.0
Tiền gửi tại và cho vaycác TCTD khác,Tài sản > Tiền gửi tại và cho vaycác TCTD khác,Tiền gửi tại và cho vaycác TCTD khác,-,-,23.431.001,1.630.368,93.199,139.017,-,-,25.293.585,,,23431001.0,1630368.0,93199.0,139017.0,,,25293585.0
Các công cụ tài chính phải sinh và cáctài sản tài chính khác,Tài sản > Các công cụ tài chính phải sinh và cáctài sản tài chính khác,Các công cụ tài chính phải sinh và cáctài sản tài chính khác,-,109.858,-,-,-,-,-,-,109.858,,109858.0,,,,,,,109858.0
Cho vay khách hàng - gộp,Tài sản > Cho vay khách hàng - gộp,Cho vay khách hàng - gộp,9.780.036,-,157.496.055,261.499.563,1.028.138,946.489,3.051.109,4.826.387,438.627.777,9780036.0,,157496055.0,261499563.0,1028138.0,946489.0,3051109.0,4826387.0,438627777.0
Hoạt động mua nợ - gộp,Tài sản > Hoạt động mua nợ - gộp,Hoạt động mua nợ - gộp,-,-,-,-,124.710,-,-,-,124.710,,,,,124710.0,,,,124710.0
Chứng khoán đầu tư - gộp,Tài sản > Chứng khoán đầu tư - gộp,Chứng khoán đầu tư - gộp,-,21.520.758,2.475.216,1.751.691,2.075.942,4.215.681,25.653.291,25.755.592,83.448.171,,21520758.0,2475216.0,1751691.0,2075942.0,4215681.0,25653291.0,25755592.0,83448171.0
"Gộp vốn, đầu tư dài hạn - gộp","Tài sản > Gộp vốn, đầu tư dài hạn - gộp","Gộp vốn, đầu tư dài hạn - gộp",-,97.014,-,-,-,-,-,-,97.014,,97014.0,,,,,,,97014.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,7.547.677,-,-,-,-,-,-,7.547.677,,7547677.0,,,,,,,7547677.0
Tài sản Có khác - gộp,Tài sản > Tài sản Có khác - gộp,Tài sản Có khác - gộp,1.738.733,37.503.321,102,1.472,21.259,-,-,-,39.264.887,1738733.0,37503321.0,102.0,1472.0,21259.0,,,,39264887.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,11.518.769,75.157.614,195.159.403,264.883.094,3.343.248,5.301.187,28.704.400,30.581.979,614.649.694,11518769.0,75157614.0,195159403.0,264883094.0,3343248.0,5301187.0,28704400.0,30581979.0,614649694.0
