row_label_raw,row_label_full,col_0,Miền BắcTriệu đồng,Miền TrungTriệu đồng,Miền NamTriệu đồng,LàoTriệu đồng,CampuchiaTriệu đồng,Tổng bộ phandida báo cáoTriệu đồng,Loại trừTriệu đồng,Tổng cộngTriệu đồng,numeric__Miền BắcTriệu đồng,numeric__Miền TrungTriệu đồng,numeric__Miền NamTriệu đồng,numeric__LàoTriệu đồng,numeric__CampuchiaTriệu đồng,numeric__Tổng bộ phandida báo cáoTriệu đồng,numeric__Loại trừTriệu đồng,numeric__Tổng cộngTriệu đồng
Thu nhập lãi và các khoản thu nhập tương tự,Thu nhập lãi và các khoản thu nhập tương tự,Thu nhập lãi và các khoản thu nhập tương tự,7.212.223(4.825.314),7.719.714(4.373.854),33.829.526(22.696.006),181.170(100.187),354.833(154.971),49.297.466(32.150.332),(11.906.618)11.906.618,37.390.848(20.243.714),,,,,,,,
Chi phí lãi và các chi phí tương tự,Chi phí lãi và các chi phí tương tự,Chi phí lãi và các chi phí tương tự,7.212.223(4.825.314),7.719.714(4.373.854),33.829.526(22.696.006),181.170(100.187),354.833(154.971),49.297.466(32.150.332),(11.906.618)11.906.618,37.390.848(20.243.714),,,,,,,,
Thu nhập lãi thuần,Chi phí lãi và các chi phí tương tự > Thu nhập lãi thuần,Thu nhập lãi thuần,2.386.909,3.345.860,11.133.520,80.983,199.862,17.147.134,-,17.147.134,2386909.0,3345860.0,11133520.0,80983.0,199862.0,17147134.0,,17147134.0
Các khoản thu nhập ngoài lãi,Chi phí lãi và các chi phí tương tự > Các khoản thu nhập ngoài lãi,Các khoản thu nhập ngoài lãi,245.931,194.179,8.340.713,34.234,179.099,8.994.156,-,8.994.156,245931.0,194179.0,8340713.0,34234.0,179099.0,8994156.0,,8994156.0
TỔNG THU NHẬP HOẠT ĐỘNG,Chi phí lãi và các chi phí tương tự > TỔNG THU NHẬP HOẠT ĐỘNG,TỔNG THU NHẬP HOẠT ĐỘNG,2.632.840,3.540.039,19.474.233,115.217,378.961,26.141.290,-,26.141.290,2632840.0,3540039.0,19474233.0,115217.0,378961.0,26141290.0,,26141290.0
TỔNG CHI PHÍ HOẠT ĐỘNG,Chi phí lãi và các chi phí tương tự > TỔNG CHI PHÍ HOẠT ĐỘNG,TỔNG CHI PHÍ HOẠT ĐỘNG,(1.093.334),(919.408),(8.617.744),(111.909),(178.322),(10.920.717),-,(10.920.717),-1093334.0,-919408.0,-8617744.0,-111909.0,-178322.0,-10920717.0,,-10920717.0
Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,Chi phí lãi và các chi phí tương tự > Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,1.539.506,2.620.631,10.856.489,3.308,200.639,15.220.573,-,15.220.573,1539506.0,2620631.0,10856489.0,3308.0,200639.0,15220573.0,,15220573.0
Chi phí dự phòng rủi ro tín dụng,Chi phí lãi và các chi phí tương tự > Chi phí dự phòng rủi ro tín dụng,Chi phí dự phòng rủi ro tín dụng,-,-,(8.711.656),17.808,(187.653),(8.881.501),-,(8.881.501),,,-8711656.0,17808.0,-187653.0,-8881501.0,,-8881501.0
TỔNG LỢI NHUẬN TRƯỚC THUẾ,Chi phí lãi và các chi phí tương tự > TỔNG LỢI NHUẬN TRƯỚC THUẾ,TỔNG LỢI NHUẬN TRƯỚC THUẾ,1.539.506,2.620.631,2.144.833,21.116,12.986,6.339.072,-,6.339.072,1539506.0,2620631.0,2144833.0,21116.0,12986.0,6339072.0,,6339072.0
Tổng chi phí thuế thu nhập doanh nghiệp,Chi phí lãi và các chi phí tương tự > Tổng chi phí thuế thu nhập doanh nghiệp,Tổng chi phí thuế thu nhập doanh nghiệp,-,-,(1.248.221),-,(50.156),(1.298.377),-,(1.298.377),,,-1248221.0,,-50156.0,-1298377.0,,-1298377.0
