row_label_raw,row_label_full,col_0,Báo cáo tình hình tài chính hợp nhất,Báo cáo tình hình tài chính hợp nhất_1,Ảnh hưởng đến Báo cáo kết quả hoạt động hợp nhất,Ảnh hưởng đến Báo cáo kết quả hoạt động hợp nhất_1,numeric__Báo cáo tình hình tài chính hợp nhất,numeric__Báo cáo tình hình tài chính hợp nhất_1,numeric__Ảnh hưởng đến Báo cáo kết quả hoạt động hợp nhất,numeric__Ảnh hưởng đến Báo cáo kết quả hoạt động hợp nhất_1
,,,Số cuối năm Triệu đồng,Số đầu năm Triệu đồng,Năm nay Triệu đồng,Năm trước Triệu đồng,,,,
Tài sản thuế TNDN hoãn lại,Tài sản thuế TNDN hoãn lại,Tài sản thuế TNDN hoãn lại,,,,,,,,
Dự phòng tài sản Có khác và các khoản đầu tư dài hạn,Tài sản thuế TNDN hoãn lại > Dự phòng tài sản Có khác và các khoản đầu tư dài hạn,Dự phòng tài sản Có khác và các khoản đầu tư dài hạn,233.896,346.169,(112.273),(13.528),233896.0,346169.0,-112273.0,-13528.0
Lỗ có thể sử dụng để bù trừ với thu nhập chịu thuế trong tương lai,Tài sản thuế TNDN hoãn lại > Lỗ có thể sử dụng để bù trừ với thu nhập chịu thuế trong tương lai,Lỗ có thể sử dụng để bù trừ với thu nhập chịu thuế trong tương lai,7.615,36.279,(28.664),(38.399),7615.0,36279.0,-28664.0,-38399.0
Chênh lệch tính thuế tạm thời của Công ty con,Tài sản thuế TNDN hoãn lại > Chênh lệch tính thuế tạm thời của Công ty con,Chênh lệch tính thuế tạm thời của Công ty con,-,8.661,(8.661),(469),,8661.0,-8661.0,-469.0
Chi phí khấu hao,Tài sản thuế TNDN hoãn lại > Chi phí khấu hao,Chi phí khấu hao,1.336,13.897,(12.561),6.948,1336.0,13897.0,-12561.0,6948.0
,,,242.847,405.006,(162.159),(45.448),242847.0,405006.0,-162159.0,-45448.0
Thuế TNDN hoãn lại phải trả,Thuế TNDN hoãn lại phải trả,Thuế TNDN hoãn lại phải trả,,,,,,,,
Chênh lệch chi phí khấu hao của công ty con,Thuế TNDN hoãn lại phải trả > Chênh lệch chi phí khấu hao của công ty con,Chênh lệch chi phí khấu hao của công ty con,(694),(672),(22),6,-694.0,-672.0,-22.0,6.0
Chênh lệch tạm thời liên quan dự phòng lỗ công ty con,Thuế TNDN hoãn lại phải trả > Chênh lệch tạm thời liên quan dự phòng lỗ công ty con,Chênh lệch tạm thời liên quan dự phòng lỗ công ty con,(28.766),(27.746),(1.020),(2.881),-28766.0,-27746.0,-1020.0,-2881.0
,,,(29.460),(28.418),(1.042),(2.875),-29460.0,-28418.0,-1042.0,-2875.0
Điều chỉnh năm trước,Thuế TNDN hoãn lại phải trả > Điều chỉnh năm trước,Điều chỉnh năm trước,,,(35.560),-,,,-35560.0,
Ảnh hưởng quy đổi tỷ giá,Thuế TNDN hoãn lại phải trả > Ảnh hưởng quy đổi tỷ giá,Ảnh hưởng quy đổi tỷ giá,,,2.169,(819),,,2169.0,-819.0
Chi phí thuế TNDN hoãn lại tính vào Báo cáo kết quả hoạt động hợp nhất,Thuế TNDN hoãn lại phải trả > Chi phí thuế TNDN hoãn lại tính vào Báo cáo kết quả hoạt động hợp nhất,Chi phí thuế TNDN hoãn lại tính vào Báo cáo kết quả hoạt động hợp nhất,,,(129.810),(47.504),,,-129810.0,-47504.0
