row_label_raw,row_label_full,col_0,Thuyết minh,Số cuối năm Triệu đồng,Số đầu năm Triệu đồng,numeric__Thuyết minh,numeric__Số cuối năm Triệu đồng,numeric__Số đầu năm Triệu đồng
Nghĩa vụ nợ tiềm ăn và các cam kết đưa ra Trong đó:,Nghĩa vụ nợ tiềm ăn và các cam kết đưa ra Trong đó:,Nghĩa vụ nợ tiềm ăn và các cam kết đưa ra Trong đó:,36,64.201.170,105.226.525,36.0,64201170.0,105226525.0
Bảo lãnh vay vốn,Bảo lãnh vay vốn,Bảo lãnh vay vốn,,66.327,41.500,,66327.0,41500.0
Cam kết giao dịch hối đoái,Cam kết giao dịch hối đoái,Cam kết giao dịch hối đoái,,48.005.012,87.020.333,,48005012.0,87020333.0
- Cam kết mua ngoại tệ,- Cam kết mua ngoại tệ,- Cam kết mua ngoại tệ,,983.192,865.668,,983192.0,865668.0
- Cam kết bán ngoại tệ,- Cam kết bán ngoại tệ,- Cam kết bán ngoại tệ,,1.099.574,1.212.732,,1099574.0,1212732.0
- Cam kết giao dịch hoán đổi,- Cam kết giao dịch hoán đổi,- Cam kết giao dịch hoán đổi,,45.922.246,84.941.933,,45922246.0,84941933.0
Cam kết trong nghiệp vụ thư tín dụng,Cam kết trong nghiệp vụ thư tín dụng,Cam kết trong nghiệp vụ thư tín dụng,,4.768.784,7.355.235,,4768784.0,7355235.0
Bảo lãnh khác,Bảo lãnh khác,Bảo lãnh khác,,11.361.047,10.809.132,,11361047.0,10809132.0
Cam kết khác,Cam kết khác,Cam kết khác,,-,325,,,325.0
Lãi cho vay và phí phải thu chưa thu được,Lãi cho vay và phí phải thu chưa thu được,Lãi cho vay và phí phải thu chưa thu được,37,29.260.397,24.389.999,37.0,29260397.0,24389999.0
Nợ khó đòi đã xử lý,Nợ khó đòi đã xử lý,Nợ khó đòi đã xử lý,38,4.751.164,3.120.162,38.0,4751164.0,3120162.0
Tài sản và chứng từ khác,Tài sản và chứng từ khác,Tài sản và chứng từ khác,39,70.249.551,51.176.194,39.0,70249551.0,51176194.0
