row_label_raw,row_label_full,col_0,VND,numeric__VND
,,,Công ty Cổ phầnBán lẻ An Khang,
Giá trị đầu tư,Giá trị đầu tư,Giá trị đầu tư,Giá trị đầu tư,
Số đầu năm và số cuối năm,Giá trị đầu tư > Số đầu năm và số cuối năm,Số đầu năm và số cuối năm,62.038.750.000,62038750000.0
Phần lũy kế lỗ sau khi mua công ty liên kết,Phần lũy kế lỗ sau khi mua công ty liên kết,Phần lũy kế lỗ sau khi mua công ty liên kết,Phần lũy kế lỗ sau khi mua công ty liên kết,
Số đầu năm,Phần lũy kế lỗ sau khi mua công ty liên kết > Số đầu năm,Số đầu năm,(5.574.270.256),-5574270256.0
Phần lỗ từ công ty liên kết,Phần lũy kế lỗ sau khi mua công ty liên kết > Phần lỗ từ công ty liên kết,Phần lỗ từ công ty liên kết,(3.706.939.471),-3706939471.0
Số cuối năm,Phần lũy kế lỗ sau khi mua công ty liên kết > Số cuối năm,Số cuối năm,(9.281.209.727),-9281209727.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,56.464.479.744,56464479744.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,52.757.540.273,52757540273.0
