row_label_raw,row_label_full,col_0,Vốn cổ phần,Thăng dư vốn cổ phần,Cổ phiếu quỹ,Chênh lệch tỷ giá,Lợi nhuận sau thuế chưa phân phối,Vốn khác,Tổng cộng,numeric__Vốn cổ phần,numeric__Thăng dư vốn cổ phần,numeric__Cổ phiếu quỹ,numeric__Chênh lệch tỷ giá,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Vốn khác,numeric__Tổng cộng
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,,,,
Số đầu năm,Năm trước > Số đầu năm,Số đầu năm,4.434.961.780.000,551.451.995.486,(808.864.500),446.572.898,3.989.603.910.055,1.130.494.084,8.976.785.888.023,4434961780000.0,551451995486.0,-808864500.0,446572898.0,3989603910055.0,1130494084.0,8976785888023.0
Lợi nhuận thuần trong năm,Năm trước > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,3.834.269.547.047,-,3.834.269.547.047,,,,,3834269547047.0,,3834269547047.0
Phát hành cổ phiếu,Năm trước > Phát hành cổ phiếu,Phát hành cổ phiếu,500.000.000,3.755.000.000,-,-,-,-,4.255.000.000,500000000.0,3755000000.0,,,,,4255000000.0
Chênh lệch tỷ giá,Năm trước > Chênh lệch tỷ giá,Chênh lệch tỷ giá,-,-,-,(474.950.831),-,-,(474.950.831),,,,-474950831.0,,,-474950831.0
Mua lại cổ phiếu quỹ,Năm trước > Mua lại cổ phiếu quỹ,Mua lại cổ phiếu quỹ,-,-,(4.850.060.000),-,-,-,(4.850.060.000),,,-4850060000.0,,,,-4850060000.0
Trích lập quỹ,Năm trước > Trích lập quỹ,Trích lập quỹ,-,-,-,-,(10.000.000.000),-,(10.000.000.000),,,,,-10000000000.0,,-10000000000.0
Cổ tức công bố,Năm trước > Cổ tức công bố,Cổ tức công bố,-,-,-,-,(664.179.295.500),-,(664.179.295.500),,,,,-664179295500.0,,-664179295500.0
Số cuối năm,Năm trước > Số cuối năm,Số cuối năm,4.435.461.780.000,555.206.995.486,(5.658.924.500),(28.377.933),7.149.694.161.602,1.130.494.084,12.135.806.128.739,4435461780000.0,555206995486.0,-5658924500.0,-28377933.0,7149694161602.0,1130494084.0,12135806128739.0
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,,,
Số đầu năm,Năm nay > Số đầu năm,Số đầu năm,4.435.461.780.000,555.206.995.486,(5.658.924.500),(28.377.933),7.149.694.161.602,1.130.494.084,12.135.806.128.739,4435461780000.0,555206995486.0,-5658924500.0,-28377933.0,7149694161602.0,1130494084.0,12135806128739.0
Lợi nhuận thuần trong năm,Năm nay > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,3.917.767.783.159,-,3.917.767.783.159,,,,,3917767783159.0,,3917767783159.0
Phát hành cổ phiếu (*),Năm nay > Phát hành cổ phiếu (*),Phát hành cổ phiếu (*),96.638.090.000,2.903.435.500,5.658.924.500,-,-,-,105.200.450.000,96638090000.0,2903435500.0,5658924500.0,,,,105200450000.0
Phân loại lại,Năm nay > Phân loại lại,Phân loại lại,-,-,-,-,1.130.494.084,(1.130.494.084),-,,,,,1130494084.0,-1130494084.0,
Chênh lệch tỷ giá,Năm nay > Chênh lệch tỷ giá,Chênh lệch tỷ giá,-,-,-,(1.415.378.292),-,-,(1.415.378.292),,,,-1415378292.0,,,-1415378292.0
Mua lại cổ phiếu quỹ,Năm nay > Mua lại cổ phiếu quỹ,Mua lại cổ phiếu quỹ,-,-,(6.040.930.000),-,-,-,(6.040.930.000),,,-6040930000.0,,,,-6040930000.0
Cổ tức công bố (**),Năm nay > Cổ tức công bố (**),Cổ tức công bố (**),-,-,-,-,(678.908.841.000),-,(678.908.841.000),,,,,-678908841000.0,,-678908841000.0
Số cuối năm,Năm nay > Số cuối năm,Số cuối năm,4.532.099.870.000,558.110.430.986,(6.040.930.000),(1.443.756.225),10.389.683.597.845,-,15.472.409.212.606,4532099870000.0,558110430986.0,-6040930000.0,-1443756225.0,10389683597845.0,,15472409212606.0
