row_label_raw,row_label_full,col_0,Số cuối năm,VND Số đầu năm,numeric__Số cuối năm,numeric__VND Số đầu năm
Thu hộ cước phí,Thu hộ cước phí,Thu hộ cước phí,338.319.676.064,439.435.994.167,338319676064.0,439435994167.0
Nhận ký quỹ,Nhận ký quỹ,Nhận ký quỹ,67.277.822.070,56.386.635.126,67277822070.0,56386635126.0
Phiếu mua hàng,Phiếu mua hàng,Phiếu mua hàng,52.813.040.482,28.214.097.975,52813040482.0,28214097975.0
"Bảo hiểm y tế, bảo hiểm xã hội, kinh phí công đoàn","Bảo hiểm y tế, bảo hiểm xã hội, kinh phí công đoàn","Bảo hiểm y tế, bảo hiểm xã hội, kinh phí công đoàn",47.782.337.888,33.962.017.460,47782337888.0,33962017460.0
Thu hộ tiền trả góp,Thu hộ tiền trả góp,Thu hộ tiền trả góp,13.041.406.433,32.522.239.000,13041406433.0,32522239000.0
Nhận trước tiền phát hành cổ phiếu,Nhận trước tiền phát hành cổ phiếu,Nhận trước tiền phát hành cổ phiếu,-,85.719.580.000,,85719580000.0
Khác,Khác,Khác,26.811.140.928,41.644.167.028,26811140928.0,41644167028.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,546.045.423.865,717.884.730.756,546045423865.0,717884730756.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải trả bên khác,Trong đó: > Phải trả bên khác,Phải trả bên khác,544.010.710.433,714.304.603.481,544010710433.0,714304603481.0
Phải trả bên liên quan (Thuyết minh số 30),Trong đó: > Phải trả bên liên quan (Thuyết minh số 30),Phải trả bên liên quan (Thuyết minh số 30),2.034.713.432,3.580.127.275,2034713432.0,3580127275.0
