row_label_raw,row_label_full,col_0,VND,VND_1,numeric__VND,numeric__VND_1
,,,Số cuối năm,Số đầu năm,,
Thường nhân viên,Thường nhân viên,Thường nhân viên,2.558.010.028.648,1.381.629.784.303,2558010028648.0,1381629784303.0
Chi phí hỗ trợ lãi suất,Chi phí hỗ trợ lãi suất,Chi phí hỗ trợ lãi suất,201.989.058.834,84.002.927.200,201989058834.0,84002927200.0
Các khoản phải trả nhân viên,Các khoản phải trả nhân viên,Các khoản phải trả nhân viên,116.358.990.136,115.429.735.544,116358990136.0,115429735544.0
Chi phí tiếp thị quảng cáo,Chi phí tiếp thị quảng cáo,Chi phí tiếp thị quảng cáo,85.853.398.026,75.405.852.278,85853398026.0,75405852278.0
Chi phí tiện ích,Chi phí tiện ích,Chi phí tiện ích,57.052.892.341,49.473.623.652,57052892341.0,49473623652.0
Chi phí vận chuyển,Chi phí vận chuyển,Chi phí vận chuyển,53.714.832.224,56.517.465.115,53714832224.0,56517465115.0
Lãi vay phải trả,Lãi vay phải trả,Lãi vay phải trả,48.376.534.398,48.333.997.724,48376534398.0,48333997724.0
Chi phí sửa chữa bảo hành,Chi phí sửa chữa bảo hành,Chi phí sửa chữa bảo hành,18.615.267.976,18.812.667.951,18615267976.0,18812667951.0
Khác,Khác,Khác,51.034.391.931,22.360.904.888,51034391931.0,22360904888.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,3.191.005.394.514,1.851.966.958.655,3191005394514.0,1851966958655.0
