row_label_raw,row_label_full,Công ty TNHH LG Electronics Việt Nam,Số cuối năm > Công ty TNHH LG Electronics Việt Nam,VND Số đầu năm > Công ty TNHH LG Electronics Việt Nam,numeric__Số cuối năm > Công ty TNHH LG Electronics Việt Nam,numeric__VND Số đầu năm > Công ty TNHH LG Electronics Việt Nam
Hải Phòng,Hải Phòng,Hải Phòng,469.835.397.491,839.166.842.803,469835397491.0,839166842803.0
Công ty TNHH Panasonic Việt Nam,Công ty TNHH Panasonic Việt Nam,Công ty TNHH Panasonic Việt Nam,456.130.283.432,685.230.199.781,456130283432.0,685230199781.0
Công ty Cổ phần Thế Giới Số,Công ty Cổ phần Thế Giới Số,Công ty Cổ phần Thế Giới Số,349.920.968.335,154.690.135.414,349920968335.0,154690135414.0
Công ty Samsung Electronics Việt Nam,Công ty Samsung Electronics Việt Nam,Công ty Samsung Electronics Việt Nam,Công ty Samsung Electronics Việt Nam,Công ty Samsung Electronics Việt Nam,,
Thái Nguyên,Công ty Samsung Electronics Việt Nam > Thái Nguyên,Thái Nguyên,315.938.290.305,1.281.985.861.314,315938290305.0,1281985861314.0
Công ty TNHH Sản phẩm Tiểu dùng Toshiba Việt Nam,Công ty Samsung Electronics Việt Nam > Công ty TNHH Sản phẩm Tiểu dùng Toshiba Việt Nam,Công ty TNHH Sản phẩm Tiểu dùng Toshiba Việt Nam,291.363.156.495,366.017.279.973,291363156495.0,366017279973.0
Công ty TNHH Apple Việt Nam,Công ty Samsung Electronics Việt Nam > Công ty TNHH Apple Việt Nam,Công ty TNHH Apple Việt Nam,173.238.034.888,611.058.833.000,173238034888.0,611058833000.0
Công ty TNHH Sony Electronics Việt Nam,Công ty Samsung Electronics Việt Nam > Công ty TNHH Sony Electronics Việt Nam,Công ty TNHH Sony Electronics Việt Nam,77.299.342.622,1.223.262.408.476,77299342622.0,1223262408476.0
Công ty Cổ phần Daikin Air Conditioning (Vietnam),Công ty Samsung Electronics Việt Nam > Công ty Cổ phần Daikin Air Conditioning (Vietnam),Công ty Cổ phần Daikin Air Conditioning (Vietnam),24.185.212.312,65.113.755.089,24185212312.0,65113755089.0
Khác,Công ty Samsung Electronics Việt Nam > Khác,Khác,6.570.258.176.461,6.828.860.168.145,6570258176461.0,6828860168145.0
TỔNG CỘNG,Công ty Samsung Electronics Việt Nam > TỔNG CỘNG,TỔNG CỘNG,8.728.168.862.341,12.055.385.483.995,8728168862341.0,12055385483995.0
