row_label_raw,row_label_full,col_0,Giá trị ghi sổ > 31/12/2015VND,Giá trị ghi sổ > 01/01/2015VND,numeric__Giá trị ghi sổ > 31/12/2015VND,numeric__Giá trị ghi sổ > 01/01/2015VND
Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,,
Tiền và các khoản tương đương tiền,Tài sản tài chính > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,44.726.779.101,40.768.091.246,44726779101.0,40768091246.0
Phải thu khách hàng và phải thu khác,Tài sản tài chính > Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,451.571.622.540,429.518.779.017,451571622540.0,429518779017.0
Đầu tư ngắn hạn,Tài sản tài chính > Đầu tư ngắn hạn,Đầu tư ngắn hạn,10.000.000,10.000.000,10000000.0,10000000.0
Cộng,Tài sản tài chính > Cộng,Cộng,496.308.401.641,470.296.870.263,496308401641.0,470296870263.0
Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,,
Các khoản vay và nợ thuê tài chính,Công nợ tài chính > Các khoản vay và nợ thuê tài chính,Các khoản vay và nợ thuê tài chính,958.175.511.266,465.180.720.262,958175511266.0,465180720262.0
Phải trả người bán và phải trả khác,Công nợ tài chính > Phải trả người bán và phải trả khác,Phải trả người bán và phải trả khác,158.377.073.254,108.697.854.662,158377073254.0,108697854662.0
Chi phí phải trả,Công nợ tài chính > Chi phí phải trả,Chi phí phải trả,24.827.690.533,20.187.965.807,24827690533.0,20187965807.0
Cộng,Công nợ tài chính > Cộng,Cộng,1.141.380.275.053,594.066.540.731,1141380275053.0,594066540731.0
