row_label_raw,row_label_full,ST T,Tên công ty con,Nơi thành lập và hoạt động,Tỷ lệ phần sở hữu và quyền biểu quyết,Hoạt động chính,numeric__Tên công ty con,numeric__Nơi thành lập và hoạt động,numeric__Tỷ lệ phần sở hữu và quyền biểu quyết,numeric__Hoạt động chính
1,1,1,Công ty TNHH C.E.O Quốc Tế,Hà Nội,100.00%,"Xây dựng nhà các loại, cung cấp dịch vụ ăn uống, giáo dục THCS và THPT...",,,100.0,
2,2,2,Công ty CP Xây dựng C.E.O,Hà Nội,51.00%,"Xây lắp nhà, khu công nghiệp, kinh doanh bắt động sản, sửa chữa máy móc thiết bị",,,51.0,
3,3,3,Công ty CP Phát triển dịch vụ C.E.O,Hà Nội,51.00%,"Xuất khẩu lao động, đào tạo các ngành nghề kinh doanh bắt động sản, kinh doanh ăn uống...",,,51.0,
4,4,4,Trường cao đẳng Đại Việt,Bắc Ninh,100.00%,"Đào tạo các ngành nghề kế toán doanh nghiệp sản xuất, kế toán doanh nghiệp thương mại...",,,100.0,
5,5,5,Công ty CP Đầu tư và Phát triển Phú Quốc,Phú Quốc,60.00%,"Kinh doanh khách sạn, resort, khu vui chơi, giải trí, hoàn thiện các công trình xây dựng, kinh doanh bắt động sản...",,,60.0,
6,6,6,Công ty Cổ phần Đầu tư BMC-C.E.O,Hà Nội,87.76%,"Đầu tư, kinh doanh bắt động sản",,,87.76,
