row_label_raw,row_label_full,col_0,Nhà cửa vật kiến trúc VND,Quyền sử dụng đất VND,Tổng VND,numeric__Nhà cửa vật kiến trúc VND,numeric__Quyền sử dụng đất VND,numeric__Tổng VND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,
Tại ngày 01/01/2015,NGUYÊN GIÁ > Tại ngày 01/01/2015,Tại ngày 01/01/2015,179.136.249.277,3.407.568.000,182.543.817.277,179136249277.0,3407568000.0,182543817277.0
Giảm khác,NGUYÊN GIÁ > Giảm khác,Giảm khác,(290.253.348),-,(290.253.348),-290253348.0,,-290253348.0
Tại ngày 31/12/2015,NGUYÊN GIÁ > Tại ngày 31/12/2015,Tại ngày 31/12/2015,178.845.995.929,3.407.568.000,182.253.563.929,178845995929.0,3407568000.0,182253563929.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,
Tại ngày 01/01/2015,GIÁ TRỊ HAO MÒN LỦY KẾ > Tại ngày 01/01/2015,Tại ngày 01/01/2015,19.785.332.200,-,19.785.332.200,19785332200.0,,19785332200.0
Trích khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Trích khấu hao trong năm,Trích khấu hao trong năm,3.828.691.998,-,3.828.691.998,3828691998.0,,3828691998.0
Giảm khác (*),GIÁ TRỊ HAO MÒN LỦY KẾ > Giảm khác (*),Giảm khác (*),(35.245.049),-,(35.245.049),-35245049.0,,-35245049.0
Tại ngày 31/12/2015,GIÁ TRỊ HAO MÒN LỦY KẾ > Tại ngày 31/12/2015,Tại ngày 31/12/2015,23.578.779.149,-,23.578.779.149,23578779149.0,,23578779149.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,
Tại ngày 01/01/2015,GIÁ TRỊ CÒN LẠI > Tại ngày 01/01/2015,Tại ngày 01/01/2015,159.350.917.077,3.407.568.000,162.758.485.077,159350917077.0,3407568000.0,162758485077.0
Tại ngày 31/12/2015,GIÁ TRỊ CÒN LẠI > Tại ngày 31/12/2015,Tại ngày 31/12/2015,155.267.216.780,3.407.568.000,158.674.784.780,155267216780.0,3407568000.0,158674784780.0
