row_label_raw,row_label_full,col_0,Hoạt động kinh doanh Bất động sản VND,Hoạt động cung cấp dịch vụ VND,Hoạt động xây lắp VND,Loại trừ VND,Tổng cộng VND,numeric__Hoạt động kinh doanh Bất động sản VND,numeric__Hoạt động cung cấp dịch vụ VND,numeric__Hoạt động xây lắp VND,numeric__Loại trừ VND,numeric__Tổng cộng VND
Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,,,,,
Doanh thu thuần từ bán hàng ra bên ngoài,Doanh thu bán hàng và cung cấp dịch vụ > Doanh thu thuần từ bán hàng ra bên ngoài,Doanh thu thuần từ bán hàng ra bên ngoài,381.915.088.724,67.008.963.724,-,-,448.924.052.448,381915088724.0,67008963724.0,,,448924052448.0
Doanh thu thuần từ bán hàng cho các bộ phận khác,Doanh thu bán hàng và cung cấp dịch vụ > Doanh thu thuần từ bán hàng cho các bộ phận khác,Doanh thu thuần từ bán hàng cho các bộ phận khác,-,5.658.674.122,78.886.736.360,(84.545.410.482),-,,5658674122.0,78886736360.0,-84545410482.0,
Tổng doanh thu,Doanh thu bán hàng và cung cấp dịch vụ > Tổng doanh thu,Tổng doanh thu,381.915.088.724,72.667.637.846,78.886.736.360,(84.545.410.482),448.924.052.448,381915088724.0,72667637846.0,78886736360.0,-84545410482.0,448924052448.0
Giá vốn hàng bán và cung cấp dịch,Doanh thu bán hàng và cung cấp dịch vụ > Giá vốn hàng bán và cung cấp dịch,Giá vốn hàng bán và cung cấp dịch,231.611.643.059,29.064.060.736,-,(7.224.841.039),253.450.862.756,231611643059.0,29064060736.0,,-7224841039.0,253450862756.0
Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,,,,,
Kết quả kinh doanh bộ phận,Kết quả hoạt động kinh doanh > Kết quả kinh doanh bộ phận,Kết quả kinh doanh bộ phận,150.303.445.665,43.603.577.110,78.886.736.360,(77.320.569.443),195.473.189.692,150303445665.0,43603577110.0,78886736360.0,-77320569443.0,195473189692.0
Chi phí phân bổ,Kết quả hoạt động kinh doanh > Chi phí phân bổ,Chi phí phân bổ,,,,,39.516.119.131,,,,,39516119131.0
Lợi nhuận từ hoạt động kinh doanh,Kết quả hoạt động kinh doanh > Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,,,,,155.957.070.561,,,,,155957070561.0
"Phần lợi nhuận trong các công ty con, công ty liên kết","Kết quả hoạt động kinh doanh > Phần lợi nhuận trong các công ty con, công ty liên kết","Phần lợi nhuận trong các công ty con, công ty liên kết",,,,,(1.873.032),,,,,-1873032.0
Doanh thu từ các khoản đầu tư,Kết quả hoạt động kinh doanh > Doanh thu từ các khoản đầu tư,Doanh thu từ các khoản đầu tư,,,,,411.747.877,,,,,411747877.0
Lợi nhuận khác,Kết quả hoạt động kinh doanh > Lợi nhuận khác,Lợi nhuận khác,,,,,(4.003.179.770),,,,,-4003179770.0
Chi phí tài chính,Kết quả hoạt động kinh doanh > Chi phí tài chính,Chi phí tài chính,,,,,9.717.906.735,,,,,9717906735.0
Lợi nhuận trước thuế,Kết quả hoạt động kinh doanh > Lợi nhuận trước thuế,Lợi nhuận trước thuế,,,,,142.645.858.901,,,,,142645858901.0
Chi phí thuế thu nhập doanh nghiệp,Kết quả hoạt động kinh doanh > Chi phí thuế thu nhập doanh nghiệp,Chi phí thuế thu nhập doanh nghiệp,,,,,36.138.987.892,,,,,36138987892.0
Chi phí thuế TNDN hoãn lại,Kết quả hoạt động kinh doanh > Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,,,,,(964.818.152),,,,,-964818152.0
Lợi nhuận trong năm,Kết quả hoạt động kinh doanh > Lợi nhuận trong năm,Lợi nhuận trong năm,,,,,107.471.689.161,,,,,107471689161.0
