row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu VND,Quỹ dự phòng tài chính VND,Quỹ đầu tư phát triển VND,Quỹ khác của chủ sở hữu VND,Lợi nhuận chưa phân phối VND,Lợi ích cổ đông không kiểm soát VND,Tổng cộng VND,numeric__Vốn góp của chủ sở hữu VND,numeric__Quỹ dự phòng tài chính VND,numeric__Quỹ đầu tư phát triển VND,numeric__Quỹ khác của chủ sở hữu VND,numeric__Lợi nhuận chưa phân phối VND,numeric__Lợi ích cổ đông không kiểm soát VND,numeric__Tổng cộng VND
Số dư tại ngày 01/01/2014,Số dư tại ngày 01/01/2014,Số dư tại ngày 01/01/2014,343.119.980.000,13.679.920.363,23.967.659.270,136.172.652,19.593.878.168,36.962.521.342,437.460.131.795,343119980000.0,13679920363.0,23967659270.0,136172652.0,19593878168.0,36962521342.0,437460131795.0
Lợi nhuận tăng trong năm,Lợi nhuận tăng trong năm,Lợi nhuận tăng trong năm,-,-,-,-,85.089.850.774,22.381.838.387,107.471.689.161,,,,,85089850774.0,22381838387.0,107471689161.0
Phân phối lợi nhuận,Phân phối lợi nhuận,Phân phối lợi nhuận,-,2.412.423.648,-,-,(4.824.847.297),(1.615.335.351),(4.027.759.000),,2412423648.0,,,-4824847297.0,-1615335351.0,-4027759000.0
Hợp nhất các công ty con,Hợp nhất các công ty con,Hợp nhất các công ty con,-,130.712.614,73.455.986,-,1.178.121.300,-,1.382.289.900,,130712614.0,73455986.0,,1178121300.0,,1382289900.0
Trả cổ tức,Trả cổ tức,Trả cổ tức,-,-,-,-,(20.587.197.850),-,(20.587.197.850),,,,,-20587197850.0,,-20587197850.0
Tăng khác,Tăng khác,Tăng khác,-,-,-,-,2.376.067.966,-,2.376.067.966,,,,,2376067966.0,,2376067966.0
Cổ đông không kiểm soát góp vốn,Cổ đông không kiểm soát góp vốn,Cổ đông không kiểm soát góp vốn,,,,,,21.303.314.874,21.303.314.874,,,,,,21303314874.0,21303314874.0
Số dư tại ngày 31/12/2014,Số dư tại ngày 31/12/2014,Số dư tại ngày 31/12/2014,343.119.980.000,16.223.056.625,24.041.115.256,136.172.652,82.825.873.061,79.032.339.252,545.378.536.846,343119980000.0,16223056625.0,24041115256.0,136172652.0,82825873061.0,79032339252.0,545378536846.0
Áp dụng chính sách kế toán mới,Áp dụng chính sách kế toán mới,Áp dụng chính sách kế toán mới,,,,,,,,,,,,,,
Số dư tại ngày 01/01/2015 như dược trình bày lại,Áp dụng chính sách kế toán mới > Số dư tại ngày 01/01/2015 như dược trình bày lại,Số dư tại ngày 01/01/2015 như dược trình bày lại,343.119.980.000,-,40.264.171.881,136.172.652,82.825.873.061,79.032.339.252,545.378.536.846,343119980000.0,,40264171881.0,136172652.0,82825873061.0,79032339252.0,545378536846.0
Vốn góp tăng trong năm,Áp dụng chính sách kế toán mới > Vốn góp tăng trong năm,Vốn góp tăng trong năm,343.119.980.000,-,-,-,-,-,343.119.980.000,343119980000.0,,,,,,343119980000.0
Lợi nhuận tăng trong năm,Áp dụng chính sách kế toán mới > Lợi nhuận tăng trong năm,Lợi nhuận tăng trong năm,-,-,-,-,139.432.263.769,66.193.733.631,205.625.997.400,,,,,139432263769.0,66193733631.0,205625997400.0
Phân phối lợi nhuận,Áp dụng chính sách kế toán mới > Phân phối lợi nhuận,Phân phối lợi nhuận,-,-,10.338.122.028,69.635.662,(21.039.772.789),(2.727.915.866),(13.359.930.965),,,10338122028.0,69635662.0,-21039772789.0,-2727915866.0,-13359930965.0
Tăng do phân loại lại Công ty con,Áp dụng chính sách kế toán mới > Tăng do phân loại lại Công ty con,Tăng do phân loại lại Công ty con,-,-,-,-,40.932.656,588.343.810,629.276.466,,,,,40932656.0,588343810.0,629276466.0
Giám khác,Áp dụng chính sách kế toán mới > Giám khác,Giám khác,-,-,(6.243.529.147),(205.790.100),-,-,(6.449.319.247),,,-6243529147.0,-205790100.0,,,-6449319247.0
Trả cổ tức,Áp dụng chính sách kế toán mới > Trả cổ tức,Trả cổ tức,-,-,-,-,(54.899.196.800),(23.099.500.000),(77.998.696.800),,,,,-54899196800.0,-23099500000.0,-77998696800.0
Cổ đông không kiểm soát góp vốn,Áp dụng chính sách kế toán mới > Cổ đông không kiểm soát góp vốn,Cổ đông không kiểm soát góp vốn,-,-,-,-,-,102.100.000.000,102.100.000.000,,,,,,102100000000.0,102100000000.0
Số dư tại ngày 31/12/2015,Áp dụng chính sách kế toán mới > Số dư tại ngày 31/12/2015,Số dư tại ngày 31/12/2015,686.239.960.000,-,44.358.764.762,18.214,146.360.099.897,222.087.000.827,1.099.045.843.700,686239960000.0,,44358764762.0,18214.0,146360099897.0,222087000827.0,1099045843700.0
