row_label_raw,row_label_full,01/01/2015,Dưới 1 nămVND > 01/01/2015,Từ 1-5 nămVND > 01/01/2015,TổngVND > 01/01/2015,numeric__Dưới 1 nămVND > 01/01/2015,numeric__Từ 1-5 nămVND > 01/01/2015,numeric__TổngVND > 01/01/2015
Tiền,Tiền,Tiền,40.768.091.246,-,40.768.091.246,40768091246.0,,40768091246.0
Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,403.720.779.017,25.798.000.000,429.518.779.017,403720779017.0,25798000000.0,429518779017.0
Đầu tư ngắn hạn,Đầu tư ngắn hạn,Đầu tư ngắn hạn,10.000.000,-,10.000.000,10000000.0,,10000000.0
Cộng,Cộng,Cộng,444.498.870.263,25.798.000.000,470.296.870.263,444498870263.0,25798000000.0,470296870263.0
01/01/2015,01/01/2015,01/01/2015,01/01/2015,01/01/2015,01/01/2015,,,
Phải trả người bán và phải trả khác,01/01/2015 > Phải trả người bán và phải trả khác,Phải trả người bán và phải trả khác,105.229.844.360,3.468.010.302,108.697.854.662,105229844360.0,3468010302.0,108697854662.0
Chỉ phí phải trả,01/01/2015 > Chỉ phí phải trả,Chỉ phí phải trả,20.187.965.807,-,20.187.965.807,20187965807.0,,20187965807.0
Các khoản vay và nợ thuê tài chính,01/01/2015 > Các khoản vay và nợ thuê tài chính,Các khoản vay và nợ thuê tài chính,93.531.558.855,371.649.161.407,465.180.720.262,93531558855.0,371649161407.0,465180720262.0
Cộng,01/01/2015 > Cộng,Cộng,218.949.369.022,375.117.171.709,594.066.540.731,218949369022.0,375117171709.0,594066540731.0
Chênh lệch thanh khoản thuần,01/01/2015 > Chênh lệch thanh khoản thuần,Chênh lệch thanh khoản thuần,225.549.501.241,(349.319.171.709),(123.769.670.468),225549501241.0,-349319171709.0,-123769670468.0
