row_label_raw,row_label_full,Công ty CP Tư vấn đầu tư Thành Nam,31/12/2015VND > 12.693.700.000,01/01/2015VND > -,numeric__31/12/2015VND > 12.693.700.000,numeric__01/01/2015VND > -
Công ty CP Fecon Phú Quốc,Công ty CP Fecon Phú Quốc,Công ty CP Fecon Phú Quốc,-,148.125.115.248,,148125115248.0
Công ty TNHH Gia Thịnh Phát Phú Quốc,Công ty TNHH Gia Thịnh Phát Phú Quốc,Công ty TNHH Gia Thịnh Phát Phú Quốc,52.457.046.168,-,52457046168.0,
Công ty TNHH Phú Kiên,Công ty TNHH Phú Kiên,Công ty TNHH Phú Kiên,156.332.300.000,,156332300000.0,
Các khoản phải thu khách hàng từ hoạt động chuyển nhượng bất động sản,Các khoản phải thu khách hàng từ hoạt động chuyển nhượng bất động sản,Các khoản phải thu khách hàng từ hoạt động chuyển nhượng bất động sản,160.326.405.738,192.071.155.995,160326405738.0,192071155995.0
Cộng,Cộng,Cộng,381.809.451.906,340.196.271.243,381809451906.0,340196271243.0
