row_label_raw,row_label_full,col_0,31/12/2015Cổ phần,01/01/2015Cổ phần,numeric__31/12/2015Cổ phần,numeric__01/01/2015Cổ phần
Số lượng cổ phiếu đã bán ra công chúng,Số lượng cổ phiếu đã bán ra công chúng,Số lượng cổ phiếu đã bán ra công chúng,68.623.996,34.311.988,68623996.0,34311988.0
- Cổ phiếu phổ thông,- Cổ phiếu phổ thông,- Cổ phiếu phổ thông,68.623.996,34.311.988,68623996.0,34311988.0
- Cổ phiếu ưu đãi,- Cổ phiếu ưu đãi,- Cổ phiếu ưu đãi,-,-,,
Số lượng cổ phiếu quỹ,Số lượng cổ phiếu quỹ,Số lượng cổ phiếu quỹ,-,-,,
- Cổ phiếu phổ thông,- Cổ phiếu phổ thông,- Cổ phiếu phổ thông,-,-,,
- Cổ phiếu ưu đãi,- Cổ phiếu ưu đãi,- Cổ phiếu ưu đãi,-,-,,
Số lượng cổ phiếu đang lưu hành,- Cổ phiếu ưu đãi > Số lượng cổ phiếu đang lưu hành,Số lượng cổ phiếu đang lưu hành,68.623.996,34.311.988,68623996.0,34311988.0
- Cổ phiếu phổ thông,- Cổ phiếu ưu đãi > - Cổ phiếu phổ thông,- Cổ phiếu phổ thông,68.623.996,34.311.988,68623996.0,34311988.0
- Cổ phiếu ưu đãi,- Cổ phiếu ưu đãi,- Cổ phiếu ưu đãi,-,-,,
Mệnh giá cổ phiếu đang lưu hành: 10.000 đồng/ cổ phiếu,Mệnh giá cổ phiếu đang lưu hành: 10.000 đồng/ cổ phiếu,Mệnh giá cổ phiếu đang lưu hành: 10.000 đồng/ cổ phiếu,Mệnh giá cổ phiếu đang lưu hành: 10.000 đồng/ cổ phiếu,Mệnh giá cổ phiếu đang lưu hành: 10.000 đồng/ cổ phiếu,,
