row_label_raw,row_label_full,TÀI SẢN,Số liệu trình bày tại 31/12/2014 (số kiểm toán) > Mã số,Số liệu trình bày tại 31/12/2014 (số kiểm toán) > Số tiền,Thay đổi > Số tiền,Số liệu trình bày tại 01/01/2015 (Thông tư 200 và 202) > Mã số,Số liệu trình bày tại 01/01/2015 (Thông tư 200 và 202) > Số tiền,numeric__Số liệu trình bày tại 31/12/2014 (số kiểm toán) > Mã số,numeric__Số liệu trình bày tại 31/12/2014 (số kiểm toán) > Số tiền,numeric__Thay đổi > Số tiền,numeric__Số liệu trình bày tại 01/01/2015 (Thông tư 200 và 202) > Mã số,numeric__Số liệu trình bày tại 01/01/2015 (Thông tư 200 và 202) > Số tiền
A. TÀI SẢN NGĂN HẠN,A. TÀI SẢN NGĂN HẠN,A. TÀI SẢN NGĂN HẠN,100,753.516.336.401,-,100,957.851.640.101,100.0,753516336401.0,,100.0,957851640101.0
I. Tiền và các khoản tương đương tiền,I. Tiền và các khoản tương đương tiền,I. Tiền và các khoản tương đương tiền,110,3.513.603.735,,110,3.513.603.735,110.0,3513603735.0,,110.0,3513603735.0
1. Tiền,1. Tiền,1. Tiền,111,,,111,-,111.0,,,111.0,
2. Các khoản tương đương tiền,2. Các khoản tương đương tiền,2. Các khoản tương đương tiền,112,-,,112,-,112.0,,,112.0,
II. Đầu tư tài chính ngắn hạn,II. Đầu tư tài chính ngắn hạn,II. Đầu tư tài chính ngắn hạn,120,58.735.000.000,(58.725.000.000),120,10.000.000,120.0,58735000000.0,-58725000000.0,120.0,10000000.0
I. Đầu tư ngắn hạn,I. Đầu tư ngắn hạn,I. Đầu tư ngắn hạn,121,58.749.400.000,(58.749.400.000),,,121.0,58749400000.0,-58749400000.0,,
1. Chứng khoán kinh doanh,1. Chứng khoán kinh doanh,1. Chứng khoán kinh doanh,,,24.400.000,121,24.400.000,,,24400000.0,121.0,24400000.0
2. Dự phòng giảm giả chứng khoán kinh doanh,2. Dự phòng giảm giả chứng khoán kinh doanh,2. Dự phòng giảm giả chứng khoán kinh doanh,129,(14.400.000),-,122,(14.400.000),129.0,-14400000.0,,122.0,-14400000.0
III. Các khoản phải thu ngắn hạn,III. Các khoản phải thu ngắn hạn,III. Các khoản phải thu ngắn hạn,130,394.550.483.262,37.134.133.445,130,431.684.616.707,130.0,394550483262.0,37134133445.0,130.0,431684616707.0
5. Phải thu về cho vay ngắn hạn,5. Phải thu về cho vay ngắn hạn,5. Phải thu về cho vay ngắn hạn,,,58.725.000.000,135,58.725.000.000,,,58725000000.0,135.0,58725000000.0
3. Phải thu ngắn hạn khác,3. Phải thu ngắn hạn khác,3. Phải thu ngắn hạn khác,136,26.726.944.329,(21.590.866.555),136,5.136.077.774,136.0,26726944329.0,-21590866555.0,136.0,5136077774.0
IV. Hàng tồn kho,IV. Hàng tồn kho,IV. Hàng tồn kho,140,253.866.505.283,230.035.303.700,140,483.901.808.983,140.0,253866505283.0,230035303700.0,140.0,483901808983.0
1. Hàng tồn kho,1. Hàng tồn kho,1. Hàng tồn kho,141,253.866.505.283,230.035.303.700,141,483.901.808.983,141.0,253866505283.0,230035303700.0,141.0,483901808983.0
V. Tài sản ngắn hạn khác,V. Tài sản ngắn hạn khác,V. Tài sản ngắn hạn khác,150,5.596.256.610,(4.109.133.445),150,1.487.123.165,150.0,5596256610.0,-4109133445.0,150.0,1487123165.0
2. Thuế và các khoản khác phải thu Nhà nước,2. Thuế và các khoản khác phải thu Nhà nước,2. Thuế và các khoản khác phải thu Nhà nước,154,12.807.603,-,153,12.807.603,154.0,12807603.0,,153.0,12807603.0
5. Tài sản ngắn hạn khác,5. Tài sản ngắn hạn khác,5. Tài sản ngắn hạn khác,158,4.109.133.445,(4.109.133.445),155,-,158.0,4109133445.0,-4109133445.0,155.0,
B. TÀI SẢN DÀI HẠN,B. TÀI SẢN DÀI HẠN,B. TÀI SẢN DÀI HẠN,200,639.415.906.952,(204.335.303.700),200,435.080.603.252,200.0,639415906952.0,-204335303700.0,200.0,435080603252.0
I. Các khoản phải thu dài hạn,I. Các khoản phải thu dài hạn,I. Các khoản phải thu dài hạn,210,98.000.000,(25.700.000.000),210,25.798.000.000,210.0,98000000.0,-25700000000.0,210.0,25798000000.0
6. Phải thu dài hạn khác,6. Phải thu dài hạn khác,6. Phải thu dài hạn khác,218,1.445.362.135,(25.700.000.000),216,27.145.362.135,218.0,1445362135.0,-25700000000.0,216.0,27145362135.0
II. Tài sản cố định,II. Tài sản cố định,II. Tài sản cố định,220,334.845.827.726,(305.683.388.174),220,29.162.439.552,220.0,334845827726.0,-305683388174.0,220.0,29162439552.0
1. Tài sản cố định hữu hình,1. Tài sản cố định hữu hình,1. Tài sản cố định hữu hình,221,29.249.810.010,(189.927.683),221,29.059.882.327,221.0,29249810010.0,-189927683.0,221.0,29059882327.0
2. Chỉ phí xây dựng cơ bản dở dang,2. Chỉ phí xây dựng cơ bản dở dang,2. Chỉ phí xây dựng cơ bản dở dang,230,305.493.460.491,(305.493.460.491),,,230.0,305493460491.0,-305493460491.0,,
III. Bất động sản đầu tư,III. Bất động sản đầu tư,III. Bất động sản đầu tư,230,14.384.852.429,,240,14.384.852.429,230.0,14384852429.0,,240.0,14384852429.0
IV. Tài sản dở dang dài hạn,IV. Tài sản dở dang dài hạn,IV. Tài sản dở dang dài hạn,,,75.458.156.791,240,75.458.156.791,,,75458156791.0,240.0,75458156791.0
1. Chỉ phí xây dựng cơ bản dở dang,1. Chỉ phí xây dựng cơ bản dở dang,1. Chỉ phí xây dựng cơ bản dở dang,,,75.458.156.791,242,75.458.156.791,,,75458156791.0,242.0,75458156791.0
V. Tài sản dài hạn khác,V. Tài sản dài hạn khác,V. Tài sản dài hạn khác,260,53.633.255.091,70.411.199.397,260,124.044.454.488,260.0,53633255091.0,70411199397.0,260.0,124044454488.0
1. Chỉ phí trả trước dài hạn,1. Chỉ phí trả trước dài hạn,1. Chỉ phí trả trước dài hạn,261,45.381.559.779,189.927.683,261,45.571.487.462,261.0,45381559779.0,189927683.0,261.0,45571487462.0
TỔNG CỘNG TÀI SẢN,TỔNG CỘNG TÀI SẢN,TỔNG CỘNG TÀI SẢN,270,1.392.932.243.353,-,270,1.392.932.243.353,270.0,1392932243353.0,,270.0,1392932243353.0
