row_label_raw,row_label_full,col_0,Giá trị còn lại của tài sản bộ phận > 31/12/2015VND,Giá trị còn lại của tài sản bộ phận > 01/01/2015VND,Tăng tài sản cố định hữu hình và vô hình > Năm 2015VND,Tăng tài sản cố định hữu hình và vô hình > Năm 2014VND,numeric__Giá trị còn lại của tài sản bộ phận > 31/12/2015VND,numeric__Giá trị còn lại của tài sản bộ phận > 01/01/2015VND,numeric__Tăng tài sản cố định hữu hình và vô hình > Năm 2015VND,numeric__Tăng tài sản cố định hữu hình và vô hình > Năm 2014VND
Hà Nội,Hà Nội,Hà Nội,1.171.446.494.504,921.247.862.964,17.994.616.845,13.172.000.713,1171446494504.0,921247862964.0,17994616845.0,13172000713.0
Kiên Giang,Kiên Giang,Kiên Giang,1.449.565.995.346,471.684.380.389,3.763.392.725,1.055.878.091,1449565995346.0,471684380389.0,3763392725.0,1055878091.0
Cộng,Cộng,Cộng,2.621.012.489.850,1.392.932.243.353,21.758.009.570,14.227.878.804,2621012489850.0,1392932243353.0,21758009570.0,14227878804.0
