row_label_raw,row_label_full,col_0,Nhà cửa vật kiến trúc VND,Máy móc thiết bị VND,Phương tiện vận tải VND,Thiết bị văn phòng VND,Tài sân khác VND,Tổng VND,numeric__Nhà cửa vật kiến trúc VND,numeric__Máy móc thiết bị VND,numeric__Phương tiện vận tải VND,numeric__Thiết bị văn phòng VND,numeric__Tài sân khác VND,numeric__Tổng VND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Tại ngày 01/01/2015,NGUYÊN GIÁ > Tại ngày 01/01/2015,Tại ngày 01/01/2015,10.454.414.040,13.542.655.258,13.444.213.932,2.625.145.380,1.714.317.005,41.780.745.615,10454414040.0,13542655258.0,13444213932.0,2625145380.0,1714317005.0,41780745615.0
Mua trong năm,NGUYÊN GIÁ > Mua trong năm,Mua trong năm,728.488.182,8.520.831.998,11.657.152.727,515.536.663,206.000.000,21.628.009.570,728488182.0,8520831998.0,11657152727.0,515536663.0,206000000.0,21628009570.0
"Thanh lý, nhượng bán","NGUYÊN GIÁ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,-,(528.751.455),-,-,(528.751.455),,,-528751455.0,,,-528751455.0
Tại ngày 31/12/2015,NGUYÊN GIÁ > Tại ngày 31/12/2015,Tại ngày 31/12/2015,11.182.902.222,22.063.487.256,24.572.615.204,3.140.682.043,1.920.317.005,62.880.003.730,11182902222.0,22063487256.0,24572615204.0,3140682043.0,1920317005.0,62880003730.0
GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,,,,,,
Tại ngày 01/01/2015,GIÁ TRỊ HAO MÔN LỦY KẾ > Tại ngày 01/01/2015,Tại ngày 01/01/2015,1.958.221.316,5.488.877.229,2.153.413.847,1.521.064.831,1.599.286.065,12.720.863.288,1958221316.0,5488877229.0,2153413847.0,1521064831.0,1599286065.0,12720863288.0
Khấu hao trong năm,GIÁ TRỊ HAO MÔN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,431.763.413,2.192.621.527,2.874.229.396,498.474.357,115.030.940,6.112.119.633,431763413.0,2192621527.0,2874229396.0,498474357.0,115030940.0,6112119633.0
"Thanh lý, nhượng bán","GIÁ TRỊ HAO MÔN LỦY KẾ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,-,(528.751.455),-,-,(528.751.455),,,-528751455.0,,,-528751455.0
Tại ngày 31/12/2015,GIÁ TRỊ HAO MÔN LỦY KẾ > Tại ngày 31/12/2015,Tại ngày 31/12/2015,2.389.984.729,7.681.498.756,4.498.891.788,2.019.539.188,1.714.317.005,18.304.231.466,2389984729.0,7681498756.0,4498891788.0,2019539188.0,1714317005.0,18304231466.0
GIÁ TRỊ CÔN LẠI,GIÁ TRỊ CÔN LẠI,GIÁ TRỊ CÔN LẠI,GIÁ TRỊ CÔN LẠI,GIÁ TRỊ CÔN LẠI,GIÁ TRỊ CÔN LẠI,GIÁ TRỊ CÔN LẠI,GIÁ TRỊ CÔN LẠI,GIÁ TRỊ CÔN LẠI,,,,,,
Tại ngày 01/01/2015,GIÁ TRỊ CÔN LẠI > Tại ngày 01/01/2015,Tại ngày 01/01/2015,8.496.192.724,8.053.778.029,11.290.800.085,1.104.080.549,115.030.940,29.059.882.327,8496192724.0,8053778029.0,11290800085.0,1104080549.0,115030940.0,29059882327.0
Tại ngày 31/12/2015,GIÁ TRỊ CÔN LẠI > Tại ngày 31/12/2015,Tại ngày 31/12/2015,8.792.917.493,14.381.988.500,20.073.723.416,1.121.142.855,206.000.000,44.575.772.264,8792917493.0,14381988500.0,20073723416.0,1121142855.0,206000000.0,44575772264.0
