row_label_raw,row_label_full,NGUỒN VỐN,Số liệu trình bày tại 31/12/2014 (số kiểm toán) > Mã số,Số liệu trình bày tại 31/12/2014 (số kiểm toán) > Số tiền,Thay đổi > Số tiền,Số liệu trình bày tại 01/01/2015 (số trình bày) > Mã số,Số liệu trình bày tại 01/01/2015 (số trình bày) > Số tiền,numeric__Số liệu trình bày tại 31/12/2014 (số kiểm toán) > Mã số,numeric__Số liệu trình bày tại 31/12/2014 (số kiểm toán) > Số tiền,numeric__Thay đổi > Số tiền,numeric__Số liệu trình bày tại 01/01/2015 (số trình bày) > Mã số,numeric__Số liệu trình bày tại 01/01/2015 (số trình bày) > Số tiền
C. NỘ PHẢI TRẢ,C. NỘ PHẢI TRẢ,C. NỘ PHẢI TRẢ,300,847.553.706.507,-,300,847.553.706.507,300.0,847553706507.0,,300.0,847553706507.0
I. Nợ ngắn hạn,I. Nợ ngắn hạn,I. Nợ ngắn hạn,310,274.283.309.232,22.833.994.662,310,297.117.303.894,310.0,274283309232.0,22833994662.0,310.0,297117303894.0
1. Vay và nợ ngắn hạn,1. Vay và nợ ngắn hạn,1. Vay và nợ ngắn hạn,311,93.531.558.855,(93.531.558.855),,-,311.0,93531558855.0,-93531558855.0,,
2. Phải trả người bán ngắn hạn,2. Phải trả người bán ngắn hạn,2. Phải trả người bán ngắn hạn,312,78.715.125.339,-,311,78.715.125.339,312.0,78715125339.0,,311.0,78715125339.0
3. Người mua trả tiền trước ngắn hạn,3. Người mua trả tiền trước ngắn hạn,3. Người mua trả tiền trước ngắn hạn,313,11.039.500,-,312,11.039.500,313.0,11039500.0,,312.0,11039500.0
4. Thuế và các khoản phải nộp Nhà nước,4. Thuế và các khoản phải nộp Nhà nước,4. Thuế và các khoản phải nộp Nhà nước,314,46.138.885.957,-,313,46.138.885.957,314.0,46138885957.0,,313.0,46138885957.0
5. Phải trả người lao động,5. Phải trả người lao động,5. Phải trả người lao động,315,3.965.381.243,-,314,3.965.381.243,315.0,3965381243.0,,314.0,3965381243.0
6. Chỉ phí phải trả ngắn hạn,6. Chỉ phí phải trả ngắn hạn,6. Chỉ phí phải trả ngắn hạn,316,20.187.965.807,,315,20.187.965.807,316.0,20187965807.0,,315.0,20187965807.0
7. Doanh thu chưa thực hiện ngắn hạn,7. Doanh thu chưa thực hiện ngắn hạn,7. Doanh thu chưa thực hiện ngắn hạn,,-,24.142.541.715,318,24.142.541.715,,,24142541715.0,318.0,24142541715.0
8. Vay và nợ thuê tài chính ngắn hạn,8. Vay và nợ thuê tài chính ngắn hạn,8. Vay và nợ thuê tài chính ngắn hạn,,-,93.531.558.855,320,93.531.558.855,,,93531558855.0,320.0,93531558855.0
9. Dự phòng phải trả ngắn hạn,9. Dự phòng phải trả ngắn hạn,9. Dự phòng phải trả ngắn hạn,320,1.308.547.053,(1.308.547.053),321,-,320.0,1308547053.0,-1308547053.0,321.0,
"9. Quỹ khen thưởng, phúc lợi","9. Quỹ khen thưởng, phúc lợi","9. Quỹ khen thưởng, phúc lợi",323,3.910.086.457,-,322,3.910.086.457,323.0,3910086457.0,,322.0,3910086457.0
II. Nợ dài hạn,II. Nợ dài hạn,II. Nợ dài hạn,330,573.270.397.275,(22.833.994.662),330,550.436.402.613,330.0,573270397275.0,-22833994662.0,330.0,550436402613.0
1. Doanh thu chưa thực hiện dài hạn,1. Doanh thu chưa thực hiện dài hạn,1. Doanh thu chưa thực hiện dài hạn,338,198.153.225.566,(24.142.541.715),336,174.010.683.851,338.0,198153225566.0,-24142541715.0,336.0,174010683851.0
2. Phải trả dài hạn khác,2. Phải trả dài hạn khác,2. Phải trả dài hạn khác,333,3.468.010.302,-,337,3.468.010.302,333.0,3468010302.0,,337.0,3468010302.0
12. Dự phòng phải trả dài hạn,12. Dự phòng phải trả dài hạn,12. Dự phòng phải trả dài hạn,337,-,1.308.547.053,342,1.308.547.053,337.0,,1308547053.0,342.0,1308547053.0
D. VỐN CHỦ SỐ HỮU,D. VỐN CHỦ SỐ HỮU,D. VỐN CHỦ SỐ HỮU,400,466.346.197.594,,400,545.378.536.846,400.0,466346197594.0,,400.0,545378536846.0
I. Vốn chủ sở hữu,I. Vốn chủ sở hữu,I. Vốn chủ sở hữu,410,466.346.197.594,79.032.339.252,410,545.378.536.846,410.0,466346197594.0,79032339252.0,410.0,545378536846.0
1. Quỹ đầu tư phát triển,1. Quỹ đầu tư phát triển,1. Quỹ đầu tư phát triển,417,24.041.115.256,16.223.056.625,418,40.264.171.881,417.0,24041115256.0,16223056625.0,418.0,40264171881.0
2. Quỹ dự phòng tài chính,2. Quỹ dự phòng tài chính,2. Quỹ dự phòng tài chính,418,16.223.056.625,(16.223.056.625),,-,418.0,16223056625.0,-16223056625.0,,
3. Quỹ khác thuộc vốn chủ sở hữu,3. Quỹ khác thuộc vốn chủ sở hữu,3. Quỹ khác thuộc vốn chủ sở hữu,419,136.172.652,-,420,136.172.652,419.0,136172652.0,,420.0,136172652.0
II. Lợi ích cổ đông không kiểm soát,II. Lợi ích cổ đông không kiểm soát,II. Lợi ích cổ đông không kiểm soát,,,79.032.339.252,429,79.032.339.252,,,79032339252.0,429.0,79032339252.0
E. LỢI ÍCH CỔ ĐÔNG THIỀU SỐ,E. LỢI ÍCH CỔ ĐÔNG THIỀU SỐ,E. LỢI ÍCH CỔ ĐÔNG THIỀU SỐ,439,79.032.339.252,(79.032.339.252),,-,439.0,79032339252.0,-79032339252.0,,
TỔNG CỘNG NGUỒN VỐN,TỔNG CỘNG NGUỒN VỐN,TỔNG CỘNG NGUỒN VỐN,440,1.392.932.243.353,-,440,1.392.932.243.353,440.0,1392932243353.0,,440.0,1392932243353.0
