row_label_raw,row_label_full,col_0,Số đầu kỳ,Số đầu kỳ_1,Số phát sinh trong kỳ,Số phát sinh trong kỳ_1,Số cuối kỳ,Số cuối kỳ_1,numeric__Số đầu kỳ,numeric__Số đầu kỳ_1,numeric__Số phát sinh trong kỳ,numeric__Số phát sinh trong kỳ_1,numeric__Số cuối kỳ,numeric__Số cuối kỳ_1
,,,Phải thu,Phải nộp,Phải nộp,Thực nộp,Phải thu,Phải nộp,,,,,,
Thuế giá trị gia tăng,Thuế giá trị gia tăng,Thuế giá trị gia tăng,-,20.672.351.356,237.328.819.810,254.052.926.648,-,3.948.244.518,,20672351356.0,237328819810.0,254052926648.0,,3948244518.0
Thuế giá trị gia tăng NK,Thuế giá trị gia tăng NK,Thuế giá trị gia tăng NK,-,-,28.300.897.819,28.300.897.819,-,-,,,28300897819.0,28300897819.0,,
Thuế tiêu thụ đặc biệt,Thuế tiêu thụ đặc biệt,Thuế tiêu thụ đặc biệt,-,34.726.338.122,332.616.776.551,339.933.578.280,-,27.409.536.393,,34726338122.0,332616776551.0,339933578280.0,,27409536393.0
Thuế xuất nhập khẩu,Thuế xuất nhập khẩu,Thuế xuất nhập khẩu,-,86.827.002,7.607.676.775,9.602.158.129,1.907.654.352,-,,86827002.0,7607676775.0,9602158129.0,1907654352.0,
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,-,59.432.022.421,132.996.929.570,136.705.101.480,-,55.723.850.511,,59432022421.0,132996929570.0,136705101480.0,,55723850511.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,-,229.480.692,24.554.705.529,24.605.002.856,-,179.183.365,,229480692.0,24554705529.0,24605002856.0,,179183365.0
Thuế tài nguyên,Thuế tài nguyên,Thuế tài nguyên,-,119.410.856,1.787.805.960,1.782.324.980,-,124.891.836,,119410856.0,1787805960.0,1782324980.0,,124891836.0
"Thuế nhà đất, tiền thuê đất","Thuế nhà đất, tiền thuê đất","Thuế nhà đất, tiền thuê đất",-,-,3.378.312.792,3.378.312.792,-,-,,,3378312792.0,3378312792.0,,
Các loại thuế khác,Các loại thuế khác,Các loại thuế khác,-,(63.000),2.295.951.943,1.754.056.530,-,541.832.413,,-63000.0,2295951943.0,1754056530.0,,541832413.0
Phí và lệ phí,Phí và lệ phí,Phí và lệ phí,-,7.227.998,130.557.550,128.040.050,-,9.745.498,,7227998.0,130557550.0,128040050.0,,9745498.0
Cộng,Cộng,Cộng,-,115.273.595.447,770.998.434.299,800.242.399.564,1.907.654.352,87.937.284.534,,115273595447.0,770998434299.0,800242399564.0,1907654352.0,87937284534.0
