row_label_raw,row_label_full,NGUỒN VỐN,NGUỒN VỐN_1,Mã số,Thuyết minh,31/12/2016 VND,01/01/2016 VND,numeric__NGUỒN VỐN_1,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2016 VND,numeric__01/01/2016 VND
C.,C.,C.,NỘ PHẢI TRẢ,300,,2.213.173.298.750,2.564.624.046.706,,300.0,,2213173298750.0,2564624046706.0
I.,I.,I.,Nợ ngắn hạn,310,,1.968.146.714.290,2.219.682.706.699,,310.0,,1968146714290.0,2219682706699.0
1.,1.,1.,Phải trả người bán ngắn hạn,311,19,475.096.509.480,269.760.930.024,,311.0,19.0,475096509480.0,269760930024.0
2.,2.,2.,Người mua trả tiền trước ngắn hạn,312,20,44.330.632.801,71.666.358.599,,312.0,20.0,44330632801.0,71666358599.0
3.,3.,3.,Thuế và các khoản khác phải nộp Nhà nước,313,21,87.937.284.534,115.273.595.447,,313.0,21.0,87937284534.0,115273595447.0
4.,4.,4.,Phải trả người lao động,314,,129.973.295.169,132.814.650.415,,314.0,,129973295169.0,132814650415.0
5.,5.,5.,Chi phí phải trả ngắn hạn,315,22,1.442.907.348,1.681.530.550,,315.0,22.0,1442907348.0,1681530550.0
6.,6.,6.,Phải trả ngắn hạn khác,319,23a,14.485.250.748,104.299.100.566,,319.0,,14485250748.0,104299100566.0
7.,7.,7.,Vay và nợ thuê tài chính ngắn hạn,320,24a,1.178.137.352.767,1.488.578.847.373,,320.0,,1178137352767.0,1488578847373.0
8.,8.,8.,"Quỹ khen thưởng, phúc lợi",322,,36.743.481.443,35.607.693.725,,322.0,,36743481443.0,35607693725.0
II.,II.,II.,Nợ dài hạn,330,,245.026.584.460,344.941.340.007,,330.0,,245026584460.0,344941340007.0
1.,1.,1.,Phải trả dài hạn khác,337,23b,16.774.957.534,15.794.327.332,,337.0,,16774957534.0,15794327332.0
2.,2.,2.,Vay và nợ thuê tài chính dài hạn,338,24b,213.444.295.806,201.042.030.988,,338.0,,213444295806.0,201042030988.0
3.,3.,3.,Quỹ phát triển khoa học và công nghệ,343,25,14.807.331.120,128.104.981.687,,343.0,25.0,14807331120.0,128104981687.0
D.,D.,D.,VỐN CHỦ SỞ HỮU,400,,3.911.215.890.883,2.607.714.696.164,,400.0,,3911215890883.0,2607714696164.0
I.,I.,I.,Vốn chủ sở hữu,410,26,3.911.215.890.883,2.607.714.696.164,,410.0,26.0,3911215890883.0,2607714696164.0
1.,1.,1.,Vốn góp của chủ sở hữu,411,26,1.875.493.730.000,1.410.152.520.000,,411.0,26.0,1875493730000.0,1410152520000.0
1.,1.,1.,- Cổ phiếu phố thông có quyền biểu quyết,411a,26,1.875.493.730.000,1.410.152.520.000,,,26.0,1875493730000.0,1410152520000.0
1.,1.,1.,- Cổ phiếu ưu đãi,411b,,-,-,,,,,
2.,1. > 2.,2.,Thặng dư vốn cổ phần,412,26,288.350.082.456,227.419.225.906,,412.0,26.0,288350082456.0,227419225906.0
3.,1. > 3.,3.,Cổ phiếu quỹ,415,26,(834.457.318.216),(834.457.318.216),,415.0,26.0,-834457318216.0,-834457318216.0
4.,1. > 4.,4.,Quỹ đầu tư phát triển,418,26,383.972.302.694,322.472.302.694,,418.0,26.0,383972302694.0,322472302694.0
5.,1. > 5.,5.,Lợi nhuận sau thuế chưa phân phối,421,26,2.197.857.093.949,1.482.127.965.780,,421.0,26.0,2197857093949.0,1482127965780.0
5.,1. > 5.,5.,- LNST chưa phân phối lũy kế đến cuối kỳ trước,421a,,866.922.397.833,488.453.478.833,,,,866922397833.0,488453478833.0
5.,1. > 5.,5.,- LNST chưa phân phối kỳ này,421b,,1.330.934.696.116,993.674.486.947,,,,1330934696116.0,993674486947.0
II.,1. > II.,II.,Nguồn kinh phí và quỹ khác,430,,-,-,,430.0,,,
,,,TỔNG CỘNG NGUỒN VỐN,440,,6.124.389.189.633,5.172.338.742.870,,440.0,,6124389189633.0,5172338742870.0
