row_label_raw,row_label_full,31/12/2016,Tài sân cúa bó phân > Nguyên giá TSCD HH,Tài sân cúa bó phân > Hao mòn luy ké,Tài sân cúa bó phân > Nợ phải thu,Tài sân cúa bó phân > Tộng tài sân,Tài sân cúa bó phân > Nợ phải trà,Khái hao TSCD Nám 2016,numeric__Tài sân cúa bó phân > Nguyên giá TSCD HH,numeric__Tài sân cúa bó phân > Hao mòn luy ké,numeric__Tài sân cúa bó phân > Nợ phải thu,numeric__Tài sân cúa bó phân > Tộng tài sân,numeric__Tài sân cúa bó phân > Nợ phải trà,numeric__Khái hao TSCD Nám 2016
Hoạt động SXKD sân phám Duong,Hoạt động SXKD sân phám Duong,Hoạt động SXKD sân phám Duong,1.828.619.697.657,(1.090.885.210.682),223.490.328.971,1.156.812.768.961,28.396.348.174,112.419.252.973,1828619697657.0,-1090885210682.0,223490328971.0,1156812768961.0,28396348174.0,112419252973.0
Hoạt động SXKD sân phám Sua dau nanh,Hoạt động SXKD sân phám Sua dau nanh,Hoạt động SXKD sân phám Sua dau nanh,1.170.867.579.528,(678.903.580.717),45.011.022.295,1.326.871.556.961,504.288.703.875,163.000.000.000,1170867579528.0,-678903580717.0,45011022295.0,1326871556961.0,504288703875.0,163000000000.0
Cộng ty TNHH MTV Thuong mai Thanh Phát,Cộng ty TNHH MTV Thuong mai Thanh Phát,Cộng ty TNHH MTV Thuong mai Thanh Phát,4.816.625.056,(4.570.309.370),560.819.319,838.823.355.623,795.755.866.029,264.885.695,4816625056.0,-4570309370.0,560819319.0,838823355623.0,795755866029.0,264885695.0
Hoa tòng SXKD khác,Hoa tòng SXKD khác,Hoa tòng SXKD khác,1.049.583.993.540,(757.292.416.633),904.768.166.682,4.420.882.966.223,1.663.262.279.057,43.224.589.157,1049583993540.0,-757292416633.0,904768166682.0,4420882966223.0,1663262279057.0,43224589157.0
,,,4.053.887.895.781,(2.531.651.517.402),1.173.830.337.267,7.743.390.647.768,2.991.703.197.135,318.908.727.825,4053887895781.0,-2531651517402.0,1173830337267.0,7743390647768.0,2991703197135.0,318908727825.0
Các khoản loai trù,Các khoản loai trù,Các khoản loai trù,-,-,(778.529.898.385),(1.619.001.458.135),(778.529.898.385),-,,,-778529898385.0,-1619001458135.0,-778529898385.0,
Tộng cóng,Tộng cóng,Tộng cóng,4.053.887.895.781,(2.531.651.517.402),395.300.438.882,6.124.389.189.633,2.213.173.298.750,318.908.727.825,4053887895781.0,-2531651517402.0,395300438882.0,6124389189633.0,2213173298750.0,318908727825.0
01/01/2016,01/01/2016,01/01/2016,Tài sân cúa bó phân,Tài sân cúa bó phân,Tài sân cúa bó phân,Tài sân cúa bó phân,Tài sân cúa bó phân,Khái hao TSCD Nám 2015,,,,,,
01/01/2016,01/01/2016,01/01/2016,Nguyên giá TSCD HH,Hao mòn luy ké,Nợ phải thu,Tộng tài sân,Nợ phải trà,Khái hao TSCD Nám 2015,,,,,,
,,,VND,VND,VND,VND,VND,VND,,,,,,
Hoạt động SXKD sân phám Duong,01/01/2016 > Hoạt động SXKD sân phám Duong,Hoạt động SXKD sân phám Duong,1.826.650.466.821,(978.500.683.461),175.111.452.843,1.192.968.875.034,72.736.760.152,108.088.916.817,1826650466821.0,-978500683461.0,175111452843.0,1192968875034.0,72736760152.0,108088916817.0
Hoạt động SXKD sân phám Sua dau nanh,01/01/2016 > Hoạt động SXKD sân phám Sua dau nanh,Hoạt động SXKD sân phám Sua dau nanh,861.320.724.948,(593.136.493.720),17.890.527.123,902.131.770.078,445.997.525.371,190.524.146.671,861320724948.0,-593136493720.0,17890527123.0,902131770078.0,445997525371.0,190524146671.0
Cộng ty TNHH MTV Thuong mai Thanh Phát,01/01/2016 > Cộng ty TNHH MTV Thuong mai Thanh Phát,Cộng ty TNHH MTV Thuong mai Thanh Phát,4.816.625.056,(4.305.423.675),23.037.418.821,866.977.327.217,770.301.230.875,611.350.220,4816625056.0,-4305423675.0,23037418821.0,866977327217.0,770301230875.0,611350220.0
Hoa tòng SXKD khác,01/01/2016 > Hoa tòng SXKD khác,Hoa tòng SXKD khác,950.239.530.556,(692.624.862.735),1.260.935.906.670,3.824.167.308.516,2.049.033.031.513,44.794.426.046,950239530556.0,-692624862735.0,1260935906670.0,3824167308516.0,2049033031513.0,44794426046.0
,,,3.643.027.347.381,(2.268.567.463.591),1.476.975.305.457,6.786.245.280.845,3.338.068.547.911,344.018.839.754,3643027347381.0,-2268567463591.0,1476975305457.0,6786245280845.0,3338068547911.0,344018839754.0
,,,-,-,(773.444.501.205),(1.613.906.537.975),(773.444.501.205),-,,,-773444501205.0,-1613906537975.0,-773444501205.0,
Tộng cóng,01/01/2016 > Tộng cóng,Tộng cóng,3.643.027.347.381,(2.268.567.463.591),703.530.804.252,5.172.338.742.870,2.564.624.046.706,344.018.839.754,3643027347381.0,-2268567463591.0,703530804252.0,5172338742870.0,2564624046706.0,344018839754.0
