row_label_raw,row_label_full,31/12/2016,Không quá 1 năm,Trên 1 năm,Tổng,numeric__Không quá 1 năm,numeric__Trên 1 năm,numeric__Tổng
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,136.507.337.409,-,136.507.337.409,136507337409.0,,136507337409.0
Đầu tư nằm giữ đến ngày đáo hạn,Đầu tư nằm giữ đến ngày đáo hạn,Đầu tư nằm giữ đến ngày đáo hạn,555.000.000.000,-,555.000.000.000,555000000000.0,,555000000000.0
Phải thu khách hàng,Phải thu khách hàng,Phải thu khách hàng,18.627.279.023,-,18.627.279.023,18627279023.0,,18627279023.0
Phải thu về cho vay,Phải thu về cho vay,Phải thu về cho vay,-,-,-,,,
Phải thu khác,Phải thu về cho vay > Phải thu khác,Phải thu khác,11.885.736.128,690.181.497,12.575.917.625,11885736128.0,690181497.0,12575917625.0
Cộng,Phải thu về cho vay > Cộng,Cộng,722.020.352.560,690.181.497,722.710.534.057,722020352560.0,690181497.0,722710534057.0
01/01/2016,01/01/2016,01/01/2016,Không quá 1 năm,Trên 1 năm,Tổng,,,
Tiền và các khoản tương đương tiền,01/01/2016 > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,1.008.800.250.402,-,1.008.800.250.402,1008800250402.0,,1008800250402.0
Đầu tư nằm giữ đến ngày đáo hạn,01/01/2016 > Đầu tư nằm giữ đến ngày đáo hạn,Đầu tư nằm giữ đến ngày đáo hạn,1.168.000.000.000,-,1.168.000.000.000,1168000000000.0,,1168000000000.0
Phải thu khách hàng,01/01/2016 > Phải thu khách hàng,Phải thu khách hàng,19.405.287.313,197.412.500,19.602.699.813,19405287313.0,197412500.0,19602699813.0
Phải thu về cho vay,01/01/2016 > Phải thu về cho vay,Phải thu về cho vay,12.954.861.601,-,12.954.861.601,12954861601.0,,12954861601.0
Phải thu khác,01/01/2016 > Phải thu khác,Phải thu khác,14.537.634.869,10.000.000,14.547.634.869,14537634869.0,10000000.0,14547634869.0
Cộng,01/01/2016 > Cộng,Cộng,2.223.698.034.185,207.412.500,2.223.905.446.685,2223698034185.0,207412500.0,2223905446685.0
