row_label_raw,row_label_full,col_0,Đơn vị tính,31/12/2016 > Lượng,31/12/2016 > Giá trị,01/01/2016 > Lượng,01/01/2016 > Giá trị,numeric__Đơn vị tính,numeric__31/12/2016 > Lượng,numeric__31/12/2016 > Giá trị,numeric__01/01/2016 > Lượng,numeric__01/01/2016 > Giá trị
Hàng hóa nhận giữ hộ,Hàng hóa nhận giữ hộ,Hàng hóa nhận giữ hộ,Hàng hóa nhận giữ hộ,Hàng hóa nhận giữ hộ,Hàng hóa nhận giữ hộ,Hàng hóa nhận giữ hộ,Hàng hóa nhận giữ hộ,,,,,
- Bánh kéo,Hàng hóa nhận giữ hộ > - Bánh kéo,- Bánh kéo,Kg,"53.968,19",4.001.447.650,"48.026,32",3.317.114.933,,53968.19,4001447650.0,48026.32,3317114933.0
- Sữa,Hàng hóa nhận giữ hộ > - Sữa,- Sữa,Lít,"6.890.153,00",119.850.580.035,"8.399.316,00",149.631.799.282,,6890153.0,119850580035.0,8399316.0,149631799282.0
- Đường,Hàng hóa nhận giữ hộ > - Đường,- Đường,Tấn,-,-,"2.926,50",40.678.350.000,,,,2926.5,40678350000.0
- Nước khoáng,Hàng hóa nhận giữ hộ > - Nước khoáng,- Nước khoáng,Lít,"368.624,46",1.682.404.919,-,-,,368624.46,1682404919.0,,
Cộng,Hàng hóa nhận giữ hộ > Cộng,Cộng,Cộng,Cộng,125.534.432.604,,193.627.264.215,,,125534432604.0,,193627264215.0
