row_label_raw,row_label_full,CHỈ TIÊU,Mã số,Thuyết minh,Năm 2016 VND,Năm 2015 VND,numeric__Mã số,numeric__Thuyết minh,numeric__Năm 2016 VND,numeric__Năm 2015 VND
1. Doanh thu bán hàng và cung cấp dịch vụ,1. Doanh thu bán hàng và cung cấp dịch vụ,1. Doanh thu bán hàng và cung cấp dịch vụ,01,28,7.008.333.702.536,7.804.039.941.074,1.0,28.0,7008333702536.0,7804039941074.0
2. Các khoản giảm trừ doanh thu,2. Các khoản giảm trừ doanh thu,2. Các khoản giảm trừ doanh thu,02,29,36.229.448.622,18.805.310.551,2.0,29.0,36229448622.0,18805310551.0
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,10,,6.972.104.253.914,7.785.234.630.523,10.0,,6972104253914.0,7785234630523.0
4. Giá vốn hàng bán,4. Giá vốn hàng bán,4. Giá vốn hàng bán,11,30,4.696.861.298.129,5.487.097.668.908,11.0,30.0,4696861298129.0,5487097668908.0
5. Lợi nhuận gộp bán hàng và cung cấp dịch vụ,5. Lợi nhuận gộp bán hàng và cung cấp dịch vụ,5. Lợi nhuận gộp bán hàng và cung cấp dịch vụ,20,,2.275.242.955.785,2.298.136.961.615,20.0,,2275242955785.0,2298136961615.0
6. Doanh thu hoạt động tài chính,6. Doanh thu hoạt động tài chính,6. Doanh thu hoạt động tài chính,21,31,72.794.068.650,71.761.445.415,21.0,31.0,72794068650.0,71761445415.0
7. Chi phí tài chính,7. Chi phí tài chính,7. Chi phí tài chính,22,32,77.040.744.288,62.996.437.228,22.0,32.0,77040744288.0,62996437228.0
Trong đó: Chi phí lãi vay,Trong đó: Chi phí lãi vay,Trong đó: Chi phí lãi vay,23,,69.616.614.945,48.086.746.546,23.0,,69616614945.0,48086746546.0
"8. Phần lãi hoặc lỗ trong công ty liên doanh, liên kết","8. Phần lãi hoặc lỗ trong công ty liên doanh, liên kết","8. Phần lãi hoặc lỗ trong công ty liên doanh, liên kết",24,,-,,24.0,,,
9. Chi phí bán hàng,9. Chi phí bán hàng,9. Chi phí bán hàng,25,33a,714.777.465.910,735.536.116.121,25.0,,714777465910.0,735536116121.0
10. Chi phí quản lý doanh nghiệp,10. Chi phí quản lý doanh nghiệp,10. Chi phí quản lý doanh nghiệp,26,33b,44.089.371.433,229.463.439.212,26.0,,44089371433.0,229463439212.0
11. Lợi nhuận thuần từ hoạt động kinh doanh,11. Lợi nhuận thuần từ hoạt động kinh doanh,11. Lợi nhuận thuần từ hoạt động kinh doanh,30,,1.512.129.442.804,1.341.902.414.469,30.0,,1512129442804.0,1341902414469.0
12. Thu nhập khác,12. Thu nhập khác,12. Thu nhập khác,31,34,33.216.796.347,22.788.531.320,31.0,34.0,33216796347.0,22788531320.0
13. Chi phí khác,13. Chi phí khác,13. Chi phí khác,32,35,2.573.482.675,2.841.414.210,32.0,35.0,2573482675.0,2841414210.0
14. Lợi nhuận khác,14. Lợi nhuận khác,14. Lợi nhuận khác,40,,30.643.313.672,19.947.117.110,40.0,,30643313672.0,19947117110.0
15. Tổng lợi nhuận kế toán trước thuế,15. Tổng lợi nhuận kế toán trước thuế,15. Tổng lợi nhuận kế toán trước thuế,50,,1.542.772.756.476,1.361.849.531.579,50.0,,1542772756476.0,1361849531579.0
16. Chi phí thuế TNDN hiện hành,16. Chi phí thuế TNDN hiện hành,16. Chi phí thuế TNDN hiện hành,51,36,132.996.929.570,131.457.727.408,51.0,36.0,132996929570.0,131457727408.0
17. Chi phí thuế TNDN hoãn lại,17. Chi phí thuế TNDN hoãn lại,17. Chi phí thuế TNDN hoãn lại,52,,(100.594.210),326.695.224,52.0,,-100594210.0,326695224.0
18. Lợi nhuận sau thuế TNDN,18. Lợi nhuận sau thuế TNDN,18. Lợi nhuận sau thuế TNDN,60,,1.409.876.421.116,1.230.065.108.947,60.0,,1409876421116.0,1230065108947.0
19. Lợi nhuận sau thuế của công ty mẹ,19. Lợi nhuận sau thuế của công ty mẹ,19. Lợi nhuận sau thuế của công ty mẹ,61,,1.409.876.421.116,1.230.065.108.947,61.0,,1409876421116.0,1230065108947.0
20. Lợi nhuận sau thuế của cổ đông không kiểm soát,20. Lợi nhuận sau thuế của cổ đông không kiểm soát,20. Lợi nhuận sau thuế của cổ đông không kiểm soát,62,,-,-,62.0,,,
21. Lãi cơ bản trên cổ phiếu,21. Lãi cơ bản trên cổ phiếu,21. Lãi cơ bản trên cổ phiếu,70,37,8.937,7.924,70.0,37.0,8937.0,7924.0
22. Lãi suy giảm trên cổ phiếu,22. Lãi suy giảm trên cổ phiếu,22. Lãi suy giảm trên cổ phiếu,71,37,8.937,7.924,71.0,37.0,8937.0,7924.0
