row_label_raw,row_label_full,col_0,31/12/2016 > Số lượng cổ phần,31/12/2016 > Giá gốc VND,31/12/2016 > Giá trị hợp lý VND,31/12/2016 > Dự phòng VND,01/01/2016 > Số lượng cổ phần,01/01/2016 > Giá gốc VND,01/01/2016 > Giá trị hợp lý VND,01/01/2016 > Dự phòng VND,numeric__31/12/2016 > Số lượng cổ phần,numeric__31/12/2016 > Giá gốc VND,numeric__31/12/2016 > Giá trị hợp lý VND,numeric__31/12/2016 > Dự phòng VND,numeric__01/01/2016 > Số lượng cổ phần,numeric__01/01/2016 > Giá gốc VND,numeric__01/01/2016 > Giá trị hợp lý VND,numeric__01/01/2016 > Dự phòng VND
Công ty TNHH C.E.O Quốc tế,Công ty TNHH C.E.O Quốc tế,Công ty TNHH C.E.O Quốc tế,-,83.919.980.000,83.919.980.000,-,-,83.919.980.000,83.919.980.000,-,,83919980000.0,83919980000.0,,,83919980000.0,83919980000.0,
Công ty Cổ phần Xây dựng C.E.O,Công ty Cổ phần Xây dựng C.E.O,Công ty Cổ phần Xây dựng C.E.O,1.530.000,15.300.000.000,15.300.000.000,-,1.530.000,15.300.000.000,15.300.000.000,-,1530000.0,15300000000.0,15300000000.0,,1530000.0,15300000000.0,15300000000.0,
Công ty Cổ phần Phát triển dịch vụ C.E.O,Công ty Cổ phần Phát triển dịch vụ C.E.O,Công ty Cổ phần Phát triển dịch vụ C.E.O,2.295.000,22.950.000.000,22.950.000.000,-,2.295.000,22.950.000.000,22.950.000.000,-,2295000.0,22950000000.0,22950000000.0,,2295000.0,22950000000.0,22950000000.0,
Trường Cao đẳng Đại Việt,Trường Cao đẳng Đại Việt,Trường Cao đẳng Đại Việt,4.290.000,42.900.000.000,34.300.515.385,8.599.484.615,4.290.000,42.900.000.000,33.318.755.417,9.581.244.583,4290000.0,42900000000.0,34300515385.0,8599484615.0,4290000.0,42900000000.0,33318755417.0,9581244583.0
Công ty Cổ phần Đầu tư và Phát triển Phú Quốc,Công ty Cổ phần Đầu tư và Phát triển Phú Quốc,Công ty Cổ phần Đầu tư và Phát triển Phú Quốc,1.800.000,270.029.000.000,270.029.000.000,-,1.800.000,270.029.000.000,270.029.000.000,-,1800000.0,270029000000.0,270029000000.0,,1800000.0,270029000000.0,270029000000.0,
Công ty Cổ phần Đầu tư BMC - C.E.O,Công ty Cổ phần Đầu tư BMC - C.E.O,Công ty Cổ phần Đầu tư BMC - C.E.O,430.000,17.900.000.000,17.813.084.924,86.915.076,430.000,17.900.000.000,17.814.800.212,85.199.788,430000.0,17900000000.0,17813084924.0,86915076.0,430000.0,17900000000.0,17814800212.0,85199788.0
Công ty Cổ phần Du lịch C.E.O,Công ty Cổ phần Du lịch C.E.O,Công ty Cổ phần Du lịch C.E.O,1.020.000,10.200.000.000,10.178.509.180,21.490.820,,-,-,-,1020000.0,10200000000.0,10178509180.0,21490820.0,,,,
Công ty Cổ phần Phát triển Nhà và Đô thị Phú Quốc,Công ty Cổ phần Phát triển Nhà và Đô thị Phú Quốc,Công ty Cổ phần Phát triển Nhà và Đô thị Phú Quốc,10.317.180,225.181.028.803,225.181.028.803,-,,-,-,-,10317180.0,225181028803.0,225181028803.0,,,,,
Công TNHH Một thành viên Dịch vụ bảo vệ C.E.O,Công TNHH Một thành viên Dịch vụ bảo vệ C.E.O,Công TNHH Một thành viên Dịch vụ bảo vệ C.E.O,-,2.000.000.000,1.990.647.500,9.352.500,,-,-,-,,2000000000.0,1990647500.0,9352500.0,,,,
Công ty TNHH Một thành viên Khách sạn và Nghi dưỡng C.E.O,Công ty TNHH Một thành viên Khách sạn và Nghi dưỡng C.E.O,Công ty TNHH Một thành viên Khách sạn và Nghi dưỡng C.E.O,-,20.000.000.000,19.994.879.090,5.120.910,,-,-,-,,20000000000.0,19994879090.0,5120910.0,,,,
Cộng,Cộng,Cộng,,710.380.008.803,701.657.644.882,8.722.363.921,,452.998.980.000,443.332.535.629,9.666.444.371,,710380008803.0,701657644882.0,8722363921.0,,452998980000.0,443332535629.0,9666444371.0
