row_label_raw,row_label_full,col_0,Năm,numeric__Năm
Phần mềm máy tính,Phần mềm máy tính,Phần mềm máy tính,03 - 04,
Nhân hiệu hàng hóa quốc tế,Phần mềm máy tính > Nhân hiệu hàng hóa quốc tế,Nhân hiệu hàng hóa quốc tế,05,5.0
Tài sản cố định vô hình khác,Phần mềm máy tính > Tài sản cố định vô hình khác,Tài sản cố định vô hình khác,05,5.0
