row_label_raw,row_label_full,col_0,Giá trị ghi sổ > 31/12/2016VND,Giá trị ghi sổ > 01/01/2016VND,numeric__Giá trị ghi sổ > 31/12/2016VND,numeric__Giá trị ghi sổ > 01/01/2016VND
Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,,
Tiền và các khoản tương đương tiền,Tài sản tài chính > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,1.339.907.888,11.903.115.914,1339907888.0,11903115914.0
Phải thu khách hàng và phải thu khác,Tài sản tài chính > Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,277.632.252.335,225.441.469.729,277632252335.0,225441469729.0
Đầu tư ngắn hạn,Tài sản tài chính > Đầu tư ngắn hạn,Đầu tư ngắn hạn,10.000.000,10.000.000,10000000.0,10000000.0
Các khoản ký quỹ,Tài sản tài chính > Các khoản ký quỹ,Các khoản ký quỹ,110.635.100.000,5.135.100.000,110635100000.0,5135100000.0
Cộng,Tài sản tài chính > Cộng,Cộng,389.617.260.223,242.489.685.643,389617260223.0,242489685643.0
Cộng nợ tài chính,Cộng nợ tài chính,Cộng nợ tài chính,Cộng nợ tài chính,Cộng nợ tài chính,,
Các khoản vay và nợ,Cộng nợ tài chính > Các khoản vay và nợ,Các khoản vay và nợ,274.688.791.416,224.673.024.972,274688791416.0,224673024972.0
Phải trả người bán và phải trả khác,Cộng nợ tài chính > Phải trả người bán và phải trả khác,Phải trả người bán và phải trả khác,124.215.531.773,113.539.751.756,124215531773.0,113539751756.0
Chi phí phải trả,Cộng nợ tài chính > Chi phí phải trả,Chi phí phải trả,17.520.193.422,19.918.629.256,17520193422.0,19918629256.0
Cộng,Cộng nợ tài chính > Cộng,Cộng,416.424.516.611,358.131.405.984,416424516611.0,358131405984.0
