row_label_raw,row_label_full,col_0,Nhà cửa vật kiến trúc VND,Phương tiện vận tải VND,Thiết bị văn phòng VND,Tài sản khác VND,Tổng VND,numeric__Nhà cửa vật kiến trúc VND,numeric__Phương tiện vận tải VND,numeric__Thiết bị văn phòng VND,numeric__Tài sản khác VND,numeric__Tổng VND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,
Tại ngày 01/01/2016,NGUYÊN GIÁ > Tại ngày 01/01/2016,Tại ngày 01/01/2016,11.851.773.535,10.599.454.545,2.227.438.226,1.550.417.005,26.229.083.311,11851773535.0,10599454545.0,2227438226.0,1550417005.0,26229083311.0
Mua trong năm,NGUYÊN GIÁ > Mua trong năm,Mua trong năm,231.300.000,13.619.214.545,344.842.727,-,14.195.357.272,231300000.0,13619214545.0,344842727.0,,14195357272.0
Đầu tư XDCB hoàn thành,NGUYÊN GIÁ > Đầu tư XDCB hoàn thành,Đầu tư XDCB hoàn thành,13.526.774.355,-,-,-,13.526.774.355,13526774355.0,,,,13526774355.0
Giảm do góp vốn,NGUYÊN GIÁ > Giảm do góp vốn,Giảm do góp vốn,-,-,(686.261.932),-,(686.261.932),,,-686261932.0,,-686261932.0
"Thanh lý, nhượng bán","NGUYÊN GIÁ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(11.514.712.727),-,-,(11.514.712.727),,-11514712727.0,,,-11514712727.0
Tại ngày 31/12/2016,NGUYÊN GIÁ > Tại ngày 31/12/2016,Tại ngày 31/12/2016,25.609.847.890,12.703.956.363,1.886.019.021,1.550.417.005,41.750.240.279,25609847890.0,12703956363.0,1886019021.0,1550417005.0,41750240279.0
GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,,,,,
Tại ngày 01/01/2016,GIÁ TRỊ HAO MÔN LỦY KẾ > Tại ngày 01/01/2016,Tại ngày 01/01/2016,2.095.747.651,1.564.005.859,1.681.444.038,1.550.417.005,6.891.614.553,2095747651.0,1564005859.0,1681444038.0,1550417005.0,6891614553.0
Khấu hao trong năm,GIÁ TRỊ HAO MÔN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,408.948.461,1.434.531.602,260.342.120,-,2.103.822.183,408948461.0,1434531602.0,260342120.0,,2103822183.0
Giảm do góp vốn,GIÁ TRỊ HAO MÔN LỦY KẾ > Giảm do góp vốn,Giảm do góp vốn,-,-,(571.884.950),-,(571.884.950),,,-571884950.0,,-571884950.0
"Thanh lý, nhượng bán","GIÁ TRỊ HAO MÔN LỦY KẾ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(1.533.756.391),-,-,(1.533.756.391),,-1533756391.0,,,-1533756391.0
Tại ngày 31/12/2016,GIÁ TRỊ HAO MÔN LỦY KẾ > Tại ngày 31/12/2016,Tại ngày 31/12/2016,2.504.696.112,1.464.781.070,1.369.901.208,1.550.417.005,6.889.795.395,2504696112.0,1464781070.0,1369901208.0,1550417005.0,6889795395.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,
Tại ngày 01/01/2016,GIÁ TRỊ CÒN LẠI > Tại ngày 01/01/2016,Tại ngày 01/01/2016,9.756.025.884,9.035.448.686,545.994.188,-,19.337.468.758,9756025884.0,9035448686.0,545994188.0,,19337468758.0
Tại ngày 31/12/2016,GIÁ TRỊ CÒN LẠI > Tại ngày 31/12/2016,Tại ngày 31/12/2016,23.105.151.778,11.239.175.293,516.117.813,-,34.860.444.884,23105151778.0,11239175293.0,516117813.0,,34860444884.0
