row_label_raw,row_label_full,col_0,Nhà cửa vật kiến trúcVND,Quyền sử dụngđấtVND,TổngVND,numeric__Nhà cửa vật kiến trúcVND,numeric__Quyền sử dụngđấtVND,numeric__TổngVND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,
Tại ngày 01/01/2016,NGUYÊN GIÁ > Tại ngày 01/01/2016,Tại ngày 01/01/2016,178.845.995.929,3.407.568.000,182.253.563.929,178845995929.0,3407568000.0,182253563929.0
Tăng trong năm,NGUYÊN GIÁ > Tăng trong năm,Tăng trong năm,134.802.907.936,-,134.802.907.936,134802907936.0,,134802907936.0
Giảm khác trong năm (*),NGUYÊN GIÁ > Giảm khác trong năm (*),Giảm khác trong năm (*),(32.308.182),-,(32.308.182),-32308182.0,,-32308182.0
Tại ngày 31/12/2016,NGUYÊN GIÁ > Tại ngày 31/12/2016,Tại ngày 31/12/2016,313.616.595.683,3.407.568.000,317.024.163.683,313616595683.0,3407568000.0,317024163683.0
GIÁ TRỊ HAO MÒN LỦY Kế,GIÁ TRỊ HAO MÒN LỦY Kế,GIÁ TRỊ HAO MÒN LỦY Kế,GIÁ TRỊ HAO MÒN LỦY Kế,GIÁ TRỊ HAO MÒN LỦY Kế,GIÁ TRỊ HAO MÒN LỦY Kế,,,
Tại ngày 01/01/2016,GIÁ TRỊ HAO MÒN LỦY Kế > Tại ngày 01/01/2016,Tại ngày 01/01/2016,23.578.779.149,-,23.578.779.149,23578779149.0,,23578779149.0
Trích khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY Kế > Trích khấu hao trong năm,Trích khấu hao trong năm,3.832.642.600,-,3.832.642.600,3832642600.0,,3832642600.0
Tại ngày 31/12/2016,GIÁ TRỊ HAO MÒN LỦY Kế > Tại ngày 31/12/2016,Tại ngày 31/12/2016,27.411.421.749,-,27.411.421.749,27411421749.0,,27411421749.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,
Tại ngày 01/01/2016,GIÁ TRỊ CÒN LẠI > Tại ngày 01/01/2016,Tại ngày 01/01/2016,155.267.216.780,3.407.568.000,158.674.784.780,155267216780.0,3407568000.0,158674784780.0
Tại ngày 31/12/2016,GIÁ TRỊ CÒN LẠI > Tại ngày 31/12/2016,Tại ngày 31/12/2016,286.205.173.934,3.407.568.000,289.612.741.934,286205173934.0,3407568000.0,289612741934.0
