row_label_raw,row_label_full,col_0,31/12/2016 > Giá trịVND,31/12/2016 > Số có khả năngtrả nợVND,01/01/2016 > Giá trịVND,01/01/2016 > Số có khả năngtrả nợVND,numeric__31/12/2016 > Giá trịVND,numeric__31/12/2016 > Số có khả năngtrả nợVND,numeric__01/01/2016 > Giá trịVND,numeric__01/01/2016 > Số có khả năngtrả nợVND
a) Phải trả người bán ngắn hạn,a) Phải trả người bán ngắn hạn,a) Phải trả người bán ngắn hạn,a) Phải trả người bán ngắn hạn,a) Phải trả người bán ngắn hạn,a) Phải trả người bán ngắn hạn,a) Phải trả người bán ngắn hạn,,,,
Công ty CP Cáp điện và hệ thống LS-VINA,a) Phải trả người bán ngắn hạn > Công ty CP Cáp điện và hệ thống LS-VINA,Công ty CP Cáp điện và hệ thống LS-VINA,6.074.291.433,6.074.291.433,-,-,6074291433.0,6074291433.0,,
Công ty CP Đầu tư xây dựng Phục Hưng số 7,a) Phải trả người bán ngắn hạn > Công ty CP Đầu tư xây dựng Phục Hưng số 7,Công ty CP Đầu tư xây dựng Phục Hưng số 7,2.596.299.550,2.596.299.550,1.653.190.550,1.653.190.550,2596299550.0,2596299550.0,1653190550.0,1653190550.0
Công ty Cổ phần Tư vấn PCCC Hà Nội,a) Phải trả người bán ngắn hạn > Công ty Cổ phần Tư vấn PCCC Hà Nội,Công ty Cổ phần Tư vấn PCCC Hà Nội,2.123.615.600,2.123.615.600,3.168.985.000,3.168.985.000,2123615600.0,2123615600.0,3168985000.0,3168985000.0
Phải trả cho các đối tượng khác,a) Phải trả người bán ngắn hạn > Phải trả cho các đối tượng khác,Phải trả cho các đối tượng khác,16.302.004.215,16.302.004.215,15.406.567.971,15.406.567.971,16302004215.0,16302004215.0,15406567971.0,15406567971.0
Cộng,a) Phải trả người bán ngắn hạn > Cộng,Cộng,27.096.210.798,27.096.210.798,20.228.743.521,20.228.743.521,27096210798.0,27096210798.0,20228743521.0,20228743521.0
b) Phải trả người bán các bên liên quan(Chỉ tiết trình bày tại thuyết minh số VII.2),a) Phải trả người bán ngắn hạn > b) Phải trả người bán các bên liên quan(Chỉ tiết trình bày tại thuyết minh số VII.2),b) Phải trả người bán các bên liên quan(Chỉ tiết trình bày tại thuyết minh số VII.2),590.564.694,590.564.694,9.007.324.497,9.007.324.497,590564694.0,590564694.0,9007324497.0,9007324497.0
13. Thuế và các khoản phải nộp Nhà nước,13. Thuế và các khoản phải nộp Nhà nước,13. Thuế và các khoản phải nộp Nhà nước,13. Thuế và các khoản phải nộp Nhà nước,13. Thuế và các khoản phải nộp Nhà nước,13. Thuế và các khoản phải nộp Nhà nước,13. Thuế và các khoản phải nộp Nhà nước,,,,
,,,31/12/2016,Số phải nộptrong nămVND,Số đã thực nộp trongnămVND,01/01/2016,,,,
,,,VND,Số phải nộptrong nămVND,Số đã thực nộp trongnămVND,VND,,,,
Thuế giá trị gia tăng,13. Thuế và các khoản phải nộp Nhà nước > Thuế giá trị gia tăng,Thuế giá trị gia tăng,-,1.072.909.926,1.072.909.926,-,,1072909926.0,1072909926.0,
Thuế thu nhập doanh nghiệp,13. Thuế và các khoản phải nộp Nhà nước > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,11.013.352.441,18.595.102.424,10.730.093.483,3.148.343.500,11013352441.0,18595102424.0,10730093483.0,3148343500.0
Thuế thu nhập cá nhân,13. Thuế và các khoản phải nộp Nhà nước > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,433.886.554,3.220.167.209,2.910.334.185,124.053.530,433886554.0,3220167209.0,2910334185.0,124053530.0
"Thuế nhà đất, tiền thuê đất","13. Thuế và các khoản phải nộp Nhà nước > Thuế nhà đất, tiền thuê đất","Thuế nhà đất, tiền thuê đất",-,143.908.600,143.908.600,-,,143908600.0,143908600.0,
Các loại thuế khác,13. Thuế và các khoản phải nộp Nhà nước > Các loại thuế khác,Các loại thuế khác,-,3.000.000,3.000.000,-,,3000000.0,3000000.0,
Cộng,13. Thuế và các khoản phải nộp Nhà nước > Cộng,Cộng,11.447.238.995,23.035.088.159,14.860.246.194,3.272.397.030,11447238995.0,23035088159.0,14860246194.0,3272397030.0
