row_label_raw,row_label_full,col_0,Số suối năm,VND Số đầu năm,numeric__Số suối năm,numeric__VND Số đầu năm
Phải trả bên khác (*),Phải trả bên khác (*),Phải trả bên khác (*),1.212.292.240.528,1.627.457.389.846,1212292240528.0,1627457389846.0
Phải trả bên liên quan (Thuyết minh số 35),Phải trả bên liên quan (Thuyết minh số 35),Phải trả bên liên quan (Thuyết minh số 35),19.002.583.642,20.490.760.303,19002583642.0,20490760303.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,1.231.294.824.170,1.647.948.150.149,1231294824170.0,1647948150149.0
