row_label_raw,row_label_full,BẢNG CẦN ĐỐI KẾ TOÁN HỢP NHẤT VẢO NGÀY 31 THẢNG 12 NĂM 2018,Số đầu năm(dã được trình bày trước đây) > BẢNG CẦN ĐỐI KẾ TOÁN HỢP NHẤT VẢO NGÀY 31 THẢNG 12 NĂM 2018,Điều chỉnh lại > BẢNG CẦN ĐỐI KẾ TOÁN HỢP NHẤT VẢO NGÀY 31 THẢNG 12 NĂM 2018,Phân loại lại > BẢNG CẦN ĐỐI KẾ TOÁN HỢP NHẤT VẢO NGÀY 31 THẢNG 12 NĂM 2018,VND Số đầu năm(được trình bày lại) > BẢNG CẦN ĐỐI KẾ TOÁN HỢP NHẤT VẢO NGÀY 31 THẢNG 12 NĂM 2018,numeric__Số đầu năm(dã được trình bày trước đây) > BẢNG CẦN ĐỐI KẾ TOÁN HỢP NHẤT VẢO NGÀY 31 THẢNG 12 NĂM 2018,numeric__Điều chỉnh lại > BẢNG CẦN ĐỐI KẾ TOÁN HỢP NHẤT VẢO NGÀY 31 THẢNG 12 NĂM 2018,numeric__Phân loại lại > BẢNG CẦN ĐỐI KẾ TOÁN HỢP NHẤT VẢO NGÀY 31 THẢNG 12 NĂM 2018,numeric__VND Số đầu năm(được trình bày lại) > BẢNG CẦN ĐỐI KẾ TOÁN HỢP NHẤT VẢO NGÀY 31 THẢNG 12 NĂM 2018
Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,462.203.738.098,95.000.000,53.861.710.522,516.160.448.620,462203738098.0,95000000.0,53861710522.0,516160448620.0
Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,266.314.212.787,-,216.298.528.906,482.612.741.693,266314212787.0,,216298528906.0,482612741693.0
Hàng tồn kho,Hàng tồn kho,Hàng tồn kho,3.975.878.925.817,(16.503.327.869),337.612.882.541,4.296.988.480.489,3975878925817.0,-16503327869.0,337612882541.0,4296988480489.0
Thuế và các khoản khác phải thu Nhà nước,Thuế và các khoản khác phải thu Nhà nước,Thuế và các khoản khác phải thu Nhà nước,27.356.817.321,-,(16.298.528.906),11.058.288.415,27356817321.0,,-16298528906.0,11058288415.0
Tài sản cố định vô hình,Tài sản cố định vô hình,Tài sản cố định vô hình,641.034.958.660,-,(436.623.327.869),204.411.630.791,641034958660.0,,-436623327869.0,204411630791.0
Nguyên giá,Nguyên giá,Nguyên giá,658.307.170.061,-,(441.105.500.000),217.201.670.061,658307170061.0,,-441105500000.0,217201670061.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,(17.272.211.401),-,4.482.172.131,(12.790.039.270),-17272211401.0,,4482172131.0,-12790039270.0
Dầu tư góp vốn vào đơn vị khác,Dầu tư góp vốn vào đơn vị khác,Dầu tư góp vốn vào đơn vị khác,242.475.000.000,-,(200.000.000.000),42.475.000.000,242475000000.0,,-200000000000.0,42475000000.0
Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,24.380.096.743,-,243.983.045.942,268.363.142.685,24380096743.0,,243983045942.0,268363142685.0
Tài sản dài hạn khác,Tài sản dài hạn khác,Tài sản dài hạn khác,139.270.840.614,-,(139.270.840.614),-,139270840614.0,,-139270840614.0,
Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,1.199.804.327.288,-,53.861.710.522,1.253.666.037.810,1199804327288.0,,53861710522.0,1253666037810.0
Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,98.314.255.172,(4.178.100.000),-,94.136.155.172,98314255172.0,-4178100000.0,,94136155172.0
Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,331.191.377.780,-,33.864.289.356,365.055.667.136,331191377780.0,,33864289356.0,365055667136.0
Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,,,,,,,,
lũy kế đến cuối năm trước,Lợi nhuận sau thuế chưa phân phối > lũy kế đến cuối năm trước,lũy kế đến cuối năm trước,116.612.441.397,-,46.446.259.436,163.058.700.833,116612441397.0,,46446259436.0,163058700833.0
Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,,,,,,,,
lũy kế năm nay,Lợi nhuận sau thuế chưa phân phối > lũy kế năm nay,lũy kế năm nay,214.578.936.383,(12.581.970.080),-,201.996.966.303,214578936383.0,-12581970080.0,,201996966303.0
Lợi ích cố đông không kiểm soát,Lợi nhuận sau thuế chưa phân phối > Lợi ích cố đông không kiểm soát,Lợi ích cố đông không kiểm soát,272.322.245.425,351.748.551,(46.446.259.436),226.227.734.540,272322245425.0,351748551.0,-46446259436.0,226227734540.0
BẢO CẢO KẾT QUẢ HOẠT ĐỘNG KINH DOANH CHO NĂM TÀI CHÍNH KẾT THỨC NGÀY 31 THÁNG 12 NĂM 2018,BẢO CẢO KẾT QUẢ HOẠT ĐỘNG KINH DOANH CHO NĂM TÀI CHÍNH KẾT THỨC NGÀY 31 THÁNG 12 NĂM 2018,BẢO CẢO KẾT QUẢ HOẠT ĐỘNG KINH DOANH CHO NĂM TÀI CHÍNH KẾT THỨC NGÀY 31 THÁNG 12 NĂM 2018,BẢO CẢO KẾT QUẢ HOẠT ĐỘNG KINH DOANH CHO NĂM TÀI CHÍNH KẾT THỨC NGÀY 31 THÁNG 12 NĂM 2018,BẢO CẢO KẾT QUẢ HOẠT ĐỘNG KINH DOANH CHO NĂM TÀI CHÍNH KẾT THỨC NGÀY 31 THÁNG 12 NĂM 2018,BẢO CẢO KẾT QUẢ HOẠT ĐỘNG KINH DOANH CHO NĂM TÀI CHÍNH KẾT THỨC NGÀY 31 THÁNG 12 NĂM 2018,BẢO CẢO KẾT QUẢ HOẠT ĐỘNG KINH DOANH CHO NĂM TÀI CHÍNH KẾT THỨC NGÀY 31 THÁNG 12 NĂM 2018,,,,
Doanh thu hoạt động tài chính,BẢO CẢO KẾT QUẢ HOẠT ĐỘNG KINH DOANH CHO NĂM TÀI CHÍNH KẾT THỨC NGÀY 31 THÁNG 12 NĂM 2018 > Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,222.551.445.335,(17.064.148.551),-,205.487.296.784,222551445335.0,-17064148551.0,,205487296784.0
Chi phí quản lý doanh nghiệp,BẢO CẢO KẾT QUẢ HOẠT ĐỘNG KINH DOANH CHO NĂM TÀI CHÍNH KẾT THỨC NGÀY 31 THÁNG 12 NĂM 2018 > Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,(178.058.544.462),4.482.172.131,-,(173.576.372.331),-178058544462.0,4482172131.0,,-173576372331.0
Lợi nhuận sau thuế TNDN,BẢO CẢO KẾT QUẢ HOẠT ĐỘNG KINH DOANH CHO NĂM TÀI CHÍNH KẾT THỨC NGÀY 31 THÁNG 12 NĂM 2018 > Lợi nhuận sau thuế TNDN,Lợi nhuận sau thuế TNDN,220.046.086.158,(12.581.970.080),-,207.464.116.078,220046086158.0,-12581970080.0,,207464116078.0
Lợi nhuận sau thuế của cố đông công ty mẹ,BẢO CẢO KẾT QUẢ HOẠT ĐỘNG KINH DOANH CHO NĂM TÀI CHÍNH KẾT THỨC NGÀY 31 THÁNG 12 NĂM 2018 > Lợi nhuận sau thuế của cố đông công ty mẹ,Lợi nhuận sau thuế của cố đông công ty mẹ,214.578.942.723,(12.581.970.080),-,201.996.966.303,214578942723.0,-12581970080.0,,201996966303.0
Lỗ sau thuế của cố đông không kiểm soát,BẢO CẢO KẾT QUẢ HOẠT ĐỘNG KINH DOANH CHO NĂM TÀI CHÍNH KẾT THỨC NGÀY 31 THÁNG 12 NĂM 2018 > Lỗ sau thuế của cố đông không kiểm soát,Lỗ sau thuế của cố đông không kiểm soát,5.467.149.775,-,-,5.467.149.775,5467149775.0,,,5467149775.0
