row_label_raw,row_label_full,Số đầu năm,Năm nay > 226.227.734.540,VND > Năm trước(Trình bày lại –Thuyết minh số 38) > 150.046.792.797,numeric__Năm nay > 226.227.734.540,numeric__VND > Năm trước(Trình bày lại –Thuyết minh số 38) > 150.046.792.797
Tăng vốn bằng tiền,Tăng vốn bằng tiền,Tăng vốn bằng tiền,22.400.000.000,55.211.800.000,22400000000.0,55211800000.0
Tăng vốn do hợp nhất kinh doanh,Tăng vốn do hợp nhất kinh doanh,Tăng vốn do hợp nhất kinh doanh,8.384.865.593,15.939.006.203,8384865593.0,15939006203.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,3.725.766.159,5.467.149.775,3725766159.0,5467149775.0
"Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",(351.439.218),-,-351439218.0,
Cổ tức công bố và đã trả,Cổ tức công bố và đã trả,Cổ tức công bố và đã trả,(1.500.000.000),(165.855.200),-1500000000.0,-165855200.0
Giảm do thanh lý công ty con,Giảm do thanh lý công ty con,Giảm do thanh lý công ty con,(27.190.828.409),-,-27190828409.0,
Chuyển lợi ích cổ đông không kiểm soát cho,Chuyển lợi ích cổ đông không kiểm soát cho,Chuyển lợi ích cổ đông không kiểm soát cho,,,,
Tập đoàn,Chuyển lợi ích cổ đông không kiểm soát cho > Tập đoàn,Tập đoàn,-,(271.159.035),,-271159035.0
Số cuối năm,Chuyển lợi ích cổ đông không kiểm soát cho > Số cuối năm,Số cuối năm,231.696.098.665,226.227.734.540,231696098665.0,226227734540.0
