row_label_raw,row_label_full,Các bên liên quan,Môi quan hệ,Nội dung nghiệp vụ,Năm nay,Năm trước,numeric__Môi quan hệ,numeric__Nội dung nghiệp vụ,numeric__Năm nay,numeric__Năm trước
Bùi Tiến Thắng,Bùi Tiến Thắng,Bùi Tiến Thắng,Chủ tịch công ty con,VayBán hàng hóaChi phí lãi vay,13.400.000.000590.909.091469.821.199,-,,,1.340000000059091e+28,
Bùi Tiến Thắng,Bùi Tiến Thắng,Bùi Tiến Thắng,Chủ tịch công ty con,VayBán hàng hóaChi phí lãi vay,13.400.000.000590.909.091469.821.199,-,,,1.340000000059091e+28,
Bùi Tiến Thắng,Bùi Tiến Thắng,Bùi Tiến Thắng,Chủ tịch công ty con,VayBán hàng hóaChi phí lãi vay,13.400.000.000590.909.091469.821.199,-,,,1.340000000059091e+28,
Công ty TNHH Sàn xuất Xây dựng Dịch vụ Hoa Đồng,Công ty TNHH Sàn xuất Xây dựng Dịch vụ Hoa Đồng,Công ty TNHH Sàn xuất Xây dựng Dịch vụ Hoa Đồng,Công ty liên kết,Cho vayCung cấp dịch vụLãi cho vay,9.228.000.0006.297.000.0001.202.157.942,2.300.000.0001.575.212.99192.050.000,,,9.2280000006297e+29,2.3000000001575213e+27
Công ty Cổ phần Bất Đồng Sản 66,Công ty Cổ phần Bất Đồng Sản 66,Công ty Cổ phần Bất Đồng Sản 66,Công ty trong cùng Tập đoàn,Lãi cho vayCho vay,8.570.000.004-,5.347.750.000105.650.000.000,,,,5.34775000010565e+21
Công ty Cổ phần Du Lịch Thành Thành Công Lâm Đồng,Công ty Cổ phần Du Lịch Thành Thành Công Lâm Đồng,Công ty Cổ phần Du Lịch Thành Thành Công Lâm Đồng,Công ty trong cùng Tập đoàn,Lãi phạtMua hàng hóa và dịch vụ,2.184.471.46515.882.728,1.372.583.332317.809.182,,,2.1844714651588272e+17,1.3725833323178092e+18
Nguyễn Thị Hằng Nga,Nguyễn Thị Hằng Nga,Nguyễn Thị Hằng Nga,Cá nhân liên quan,VayChi phí lãi vay,4.000.000.000171.150.684,-,,,4.000000000171151e+18,
Công ty TNHH MTV Tư Văn Sài Gòn Thương Tín,Công ty TNHH MTV Tư Văn Sài Gòn Thương Tín,Công ty TNHH MTV Tư Văn Sài Gòn Thương Tín,Công ty trong cùng Tập đoàn,Bán hàng hóa và dịch vụMua hàng hóa và dịch vụ,3.089.311.746759.823.472,-,,,3.0893117467598234e+18,
Công ty Cổ phần Đầu tư Xây dựng Idico Long An,Công ty Cổ phần Đầu tư Xây dựng Idico Long An,Công ty Cổ phần Đầu tư Xây dựng Idico Long An,Công ty liên kết,Thông báo chiacổ tứcĐầu tư,2.462.400.0001.170.000.000,-,,,2.462400000117e+19,
Công ty Cổ phần Du Lịch Thành Thành Công,Công ty Cổ phần Du Lịch Thành Thành Công,Công ty Cổ phần Du Lịch Thành Thành Công,Công ty trong cùng Tập đoàn,VayBán hàng hóa và dịch vụLãi vayMua hàng hóa dịch vụ,5.000.000.0001.924.414.883276.164.382-,-712.169.091-4.186.813.696,,,,
