row_label_raw,row_label_full,Giá trị đầu tư > Số đầu năm > Tăng trong năm > Thanh lý trong năm > Số cuối năm,Năm nay > Giá trị đầu tư > 627.415.493.044 > 68.600.000.000 > (522.703.444.137) > 173.312.048.907,VNDNăm trước > Giá trị đầu tư > 641.222.708.185 > - > (13.807.215.141) > 627.415.493.044,numeric__Năm nay > Giá trị đầu tư > 627.415.493.044 > 68.600.000.000 > (522.703.444.137) > 173.312.048.907,numeric__VNDNăm trước > Giá trị đầu tư > 641.222.708.185 > - > (13.807.215.141) > 627.415.493.044
Phần lũy kế lợi nhuận sau khi đầu tư vào công ty liên kết,Phần lũy kế lợi nhuận sau khi đầu tư vào công ty liên kết,Phần lũy kế lợi nhuận sau khi đầu tư vào công ty liên kết,Phần lũy kế lợi nhuận sau khi đầu tư vào công ty liên kết,Phần lũy kế lợi nhuận sau khi đầu tư vào công ty liên kết,,
Số đầu năm,Phần lũy kế lợi nhuận sau khi đầu tư vào công ty liên kết > Số đầu năm,Số đầu năm,(24.606.343.085),5.957.880.612,-24606343085.0,5957880612.0
Lợi nhuận từ các công ty liên kết,Phần lũy kế lợi nhuận sau khi đầu tư vào công ty liên kết > Lợi nhuận từ các công ty liên kết,Lợi nhuận từ các công ty liên kết,28.812.603.442,1.189.378.303,28812603442.0,1189378303.0
Thanh lý trong năm,Phần lũy kế lợi nhuận sau khi đầu tư vào công ty liên kết > Thanh lý trong năm,Thanh lý trong năm,(29.148.481.768),-,-29148481768.0,
Cổ tức được chia trong năm,Phần lũy kế lợi nhuận sau khi đầu tư vào công ty liên kết > Cổ tức được chia trong năm,Cổ tức được chia trong năm,(2.462.400.000),(31.753.602.000),-2462400000.0,-31753602000.0
Số cuối năm,Phần lũy kế lợi nhuận sau khi đầu tư vào công ty liên kết > Số cuối năm,Số cuối năm,(27.404.621.411),(24.606.343.085),-27404621411.0,-24606343085.0
Giá trị đầu tư còn lại,Giá trị đầu tư còn lại,Giá trị đầu tư còn lại,Giá trị đầu tư còn lại,Giá trị đầu tư còn lại,,
Số đầu năm,Giá trị đầu tư còn lại > Số đầu năm,Số đầu năm,602.809.149.959,647.180.588.797,602809149959.0,647180588797.0
Số cuối năm,Giá trị đầu tư còn lại > Số cuối năm,Số cuối năm,145.907.427.496,602.809.149.959,145907427496.0,602809149959.0
