row_label_raw,row_label_full,Mã số,CHỈ TIÊU,Thuyết minh,Năm nay,Năm trước (Trình bày lại – Thuyết minh số 38),numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__Năm nay,numeric__Năm trước (Trình bày lại – Thuyết minh số 38)
,,,III. LƯU CHUYẾN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,,,,,
31,31,31,Tiền thu từ phát hành cổ phiếu,,-,731.433.700.000,,,,731433700000.0
31,31,31,Tiền thu từ vốn góp của cổ đông thiếu số,27,22.400.000.000,55.211.800.000,,27.0,22400000000.0,55211800000.0
33,33,33,Tiền thu từ đi vay,25,2.250.084.657.663,2.976.610.859.596,,25.0,2250084657663.0,2976610859596.0
34,34,34,Tiền chỉ trả nợ gốc vay,,(2.498.193.218.274),(2.684.973.147.268),,,-2498193218274.0,-2684973147268.0
35,35,35,Tiền chỉ trả nợ thuê tài chính,,(109.204.034),(262.089.676),,,-109204034.0,-262089676.0
36,36,36,Cổ tức đã trả cho cổ đông thiếu số,26.3,(1.500.000.000),-,,263.0,-1500000000.0,
40,40,40,Lưu chuyển tiền thuần (sử dụng vào) từ hoạt động tài chính,,(227.317.764.645),1.078.021.122.652,,,-227317764645.0,1078021122652.0
50,50,50,Lưu chuyển tiền thuần trong năm,,(74.706.496.505),53.807.749.273,,,-74706496505.0,53807749273.0
60,60,60,Tiền và tương đương tiền đầu năm,,158.244.579.555,104.436.830.282,,,158244579555.0,104436830282.0
70,70,70,Tiền và tương đương tiền cuối năm,5,83.538.083.050,158.244.579.555,,5.0,83538083050.0,158244579555.0
