row_label_raw,row_label_full,col_0,Số cuối năm,VND > Số đầu năm(Trình bày lại –Thuyết minh số 38),numeric__Số cuối năm,numeric__VND > Số đầu năm(Trình bày lại –Thuyết minh số 38)
Vốn điều lệ đã góp,Vốn điều lệ đã góp,Vốn điều lệ đã góp,203.342.847.003,199.748.809.819,203342847003.0,199748809819.0
Quỹ đầu tư và phát triển,Quỹ đầu tư và phát triển,Quỹ đầu tư và phát triển,50.946.860,402.386.079,50946860.0,402386079.0
Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,28.302.304.802,26.076.538.642,28302304802.0,26076538642.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,231.696.098.665,226.227.734.540,231696098665.0,226227734540.0
