row_label_raw,row_label_full,Ngân hàng,Số cuối nămVND,Ngàyđảo hạn,Mục đíchvay,Lãisuấtt%/năm,Hình thức đãm bảo,numeric__Số cuối nămVND,numeric__Ngàyđảo hạn,numeric__Mục đíchvay,numeric__Lãisuấtt%/năm,numeric__Hình thức đãm bảo
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,,,,
Ngân hàngTMCP ÁChâu,Dài hạn > Ngân hàngTMCP ÁChâu,Ngân hàngTMCP ÁChâu,45.000.000.000,Ngày 26tháng 11năm 2022,Tài trợđầu tư dự án,"11,0",5.400.000.000 cổ phầnCông ty Cổ phần Đầutur Tín nghĩa Á Châuthuộc sở hữu của Côngty Cổ phần May TiênPhát;và hợp đồng mua 3 cãnhộ thuộc dự án JamonaGolden Silk,45000000000.0,,,11.0,
Ngân hàngTMCP CôngThương ViệtNam,Dài hạn > Ngân hàngTMCP CôngThương ViệtNam,Ngân hàngTMCP CôngThương ViệtNam,39.000.000.000,2023,Bổ sungvốn lưu động,"12,0","Quyền sử dụng đất tạisố 22A- 24 Thoại NgọcHầu, Phường HòaThanh, Quận Tân Phú,Thành phốHồ Chí Minh",39000000000.0,2023.0,,12.0,
Ngân hàngTMCP TiênPhong,Dài hạn > Ngân hàngTMCP TiênPhong,Ngân hàngTMCP TiênPhong,19.285.999.999,2021,Tài trợđầu tư dự án,"11,1-11,5","Quyền sử dụng đấthuộc dự án Carillon 5,toạ lạc tại 291/2 LũyBán Bích, phường HòaThanh, quận Tân Phú,thành phố Hồ Chí Minh",19285999999.0,2021.0,,,
