row_label_raw,row_label_full,Mã số,CHÍ TIÊU,Thuyết minh,Năm nay,Năm trước (Trình bày lại – Thuyết minh số 38),numeric__CHÍ TIÊU,numeric__Thuyết minh,numeric__Năm nay,numeric__Năm trước (Trình bày lại – Thuyết minh số 38)
01,01,01,1. Doanh thu bán hàng và cung cấp dịch vụ,29.1,1.046.718.751.221,3.040.165.557.149,,291.0,1046718751221.0,3040165557149.0
02,02,02,2. Các khoản giảm trừ doanh thu,29.1,(16.227.382.424),(111.494.351.305),,291.0,-16227382424.0,-111494351305.0
10,10,10,3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,29.1,1.030.491.368.797,2.928.671.205.844,,291.0,1030491368797.0,2928671205844.0
11,11,11,4. Giá vốn hàng bán và dịch vụ cung cấp,30,(608.296.023.820),(2.290.919.566.241),,30.0,-608296023820.0,-2290919566241.0
20,20,20,5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,,422.195.344.977,637.751.639.603,,,422195344977.0,637751639603.0
21,21,21,6. Doanh thu hoạt động tài chính,29.2,283.052.480.485,205.487.303.124,,292.0,283052480485.0,205487303124.0
22,22,22,7. Chi phí hoạt động tài chính Trong đó: Chi phí lãi vay,32,(175.051.332.989) (147.246.982.259),(200.698.912.281) (173.155.386.654),,32.0,,
23,23,23,7. Chi phí hoạt động tài chính Trong đó: Chi phí lãi vay,32,(175.051.332.989) (147.246.982.259),(200.698.912.281) (173.155.386.654),,32.0,,
24,24,24,8. Phần lãi trong công ty liên kết,17.1,28.812.603.442,1.189.378.303,,171.0,28812603442.0,1189378303.0
25,25,25,9. Chi phí bán hàng,31,(54.215.378.527),(156.299.628.620),,31.0,-54215378527.0,-156299628620.0
26,26,26,10. Chi phí quản lý doanh nghiệp,31,(159.238.628.810),(173.576.372.331),,31.0,-159238628810.0,-173576372331.0
30,30,30,11. Lợi nhuận thuần từ hoạt động kinh doanh,,345.555.088.578,313.853.407.798,,,345555088578.0,313853407798.0
31,31,31,12. Thu nhập khác,33,16.612.210.919,10.155.829.635,,33.0,16612210919.0,10155829635.0
32,32,32,13. Chi phí khác,33,(15.636.254.787),(14.969.175.441),,33.0,-15636254787.0,-14969175441.0
40,40,40,14. Lợi nhuận (lỗ) khác,,975.956.132,(4.813.345.806),,,975956132.0,-4813345806.0
50,50,50,15. Tổng lợi nhuận kế toán trước thuế TNDN,,346.531.044.710,309.040.061.992,,,346531044710.0,309040061992.0
51,51,51,16. Chi phí thuế TNDN hiện hành,34.1,(77.532.430.714),(76.854.243.124),,341.0,-77532430714.0,-76854243124.0
52,52,52,17. Thu nhập (chi phí) thuế TNDN hoãn lại,34.3,8.979.561.219,(24.721.702.790),,343.0,8979561219.0,-24721702790.0
