row_label_raw,row_label_full,col_0,Năm nay,VNDNăm trước(Trình bày lại –Thuyết minh số 38),numeric__Năm nay,numeric__VNDNăm trước(Trình bày lại –Thuyết minh số 38)
Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,82.513.527.348,65.087.526.451,82513527348.0,65087526451.0
Điều chính thuế TNDN trích (thừa) thiếu năm trước(Thu nhập) chi phí thuế TNDN hoãn lại,Điều chính thuế TNDN trích (thừa) thiếu năm trước(Thu nhập) chi phí thuế TNDN hoãn lại,Điều chính thuế TNDN trích (thừa) thiếu năm trước(Thu nhập) chi phí thuế TNDN hoãn lại,(4.981.096.634)(8.979.561.219),11.766.716.67324.721.702.790,,1.1766716673247217e+21
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,68.552.869.495,101.575.945.914,68552869495.0,101575945914.0
