row_label_raw,row_label_full,Mã số,CHÍ TIÊU,Thuyết minh,Năm nay,Năm trước (Trình bày lại – Thuyết minh số 38),numeric__CHÍ TIÊU,numeric__Thuyết minh,numeric__Năm nay,numeric__Năm trước (Trình bày lại – Thuyết minh số 38)
,,,I. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH Lợi nhuận kê toán trước thuế Điều chỉnh cho các khoản: Khầu hao và hao mòn (bao gồm lợi thể thương mại) (Hoàn nhập dự phòng) dự phòng Lãi từ hoạt động đầu tư Chi phí lãi vay,32,346.531.044.710,309.040.061.992,,32.0,346531044710.0,309040061992.0
02,02,02,I. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH Lợi nhuận kê toán trước thuế Điều chỉnh cho các khoản: Khầu hao và hao mòn (bao gồm lợi thể thương mại) (Hoàn nhập dự phòng) dự phòng Lãi từ hoạt động đầu tư Chi phí lãi vay,32,35.579.351.927,21.617.864.228,,32.0,35579351927.0,21617864228.0
03,03,03,I. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH Lợi nhuận kê toán trước thuế Điều chỉnh cho các khoản: Khầu hao và hao mòn (bao gồm lợi thể thương mại) (Hoàn nhập dự phòng) dự phòng Lãi từ hoạt động đầu tư Chi phí lãi vay,32,(5.701.760.000),5.701.760.000,,32.0,-5701760000.0,5701760000.0
05,05,05,I. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH Lợi nhuận kê toán trước thuế Điều chỉnh cho các khoản: Khầu hao và hao mòn (bao gồm lợi thể thương mại) (Hoàn nhập dự phòng) dự phòng Lãi từ hoạt động đầu tư Chi phí lãi vay,32,(309.993.152.225),(232.364.566.412),,32.0,-309993152225.0,-232364566412.0
06,06,06,I. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH Lợi nhuận kê toán trước thuế Điều chỉnh cho các khoản: Khầu hao và hao mòn (bao gồm lợi thể thương mại) (Hoàn nhập dự phòng) dự phòng Lãi từ hoạt động đầu tư Chi phí lãi vay,32,147.246.982.259,173.155.386.654,,32.0,147246982259.0,173155386654.0
08,08,08,Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,,213.662.466.671,277.150.506.462,,,213662466671.0,277150506462.0
09,09,09,Tăng các khoản phải thu (Tăng) giảm hàng tồn kho,21,(271.926.582.629),(117.501.567.790),,21.0,-271926582629.0,-117501567790.0
10,10,10,Tăng các khoản phải thu (Tăng) giảm hàng tồn kho,21,(344.505.744.810),780.368.002.368,,21.0,-344505744810.0,780368002368.0
11,11,11,Tăng (giám) các khoản phải trả,21,32.902.026.366,(169.744.102.335),,21.0,32902026366.0,-169744102335.0
12,12,12,Tăng chi phí trả trước,,(30.451.222.624),(242.312.317.871),,,-30451222624.0,-242312317871.0
14,14,14,Tiền lãi vay đã trả,,(130.741.555.431),(210.821.137.572),,,-130741555431.0,-210821137572.0
15,15,15,Thuế TNDN đã nộp,,(31.394.565.299),(60.496.109.695),,,-31394565299.0,-60496109695.0
17,17,17,Tiền chi khác cho hoạt động kinh doanh,,(14.162.764.511),(13.946.154.068),,,-14162764511.0,-13946154068.0
20,20,20,Lưu chuyển tiền thuần (sử dụng vào) từ hoạt động kinh doanh,,(576.617.942.267),242.697.119.499,,,-576617942267.0,242697119499.0
,,,II. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,,,,,
21,21,21,Tiền chi để mua sắm tài sản cố định,,(40.828.840.582),(57.201.796.186),,,-40828840582.0,-57201796186.0
22,22,22,Tiền thu do thanh lý tài sản cố định và bất động sản đầu tư,,143.739.783.972,400.709.235.275,,,143739783972.0,400709235275.0
23,23,23,Tiền chi cho vay,,(885.370.855.901),(3.175.512.841.420),,,-885370855901.0,-3175512841420.0
24,24,24,Tiền thu hồi cho vay,,1.186.175.557.400,2.126.289.848.758,,,1186175557400.0,2126289848758.0
25,25,25,Tiền chi đầu tư góp vốn vào các đơn vị khác,,(257.966.683.202),(850.994.507.865),,,-257966683202.0,-850994507865.0
26,26,26,Tiền thu hồi đầu tư góp vốn vào đơn vị khác,,525.411.554.816,172.073.397.000,,,525411554816.0,172073397000.0
27,27,27,Tiền thu lãi cho vay và cổ tức,,58.068.693.904,117.726.171.560,,,58068693904.0,117726171560.0
30,30,30,Lưu chuyển tiền thuần từ (sử dụng vào) hoạt động đầu tư,,729.229.210.407,(1.266.910.492.878),,,729229210407.0,-1266910492878.0
