row_label_raw,row_label_full,col_0,Số cuối năm VND,Ngày đáo hạn,Lãi suất %/năm,numeric__Số cuối năm VND,numeric__Ngày đáo hạn,numeric__Lãi suất %/năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,,
Vay từ cá nhân,Ngắn hạn > Vay từ cá nhân,Vay từ cá nhân,420.920.064.072,Ngày 8 tháng 6 năm 2020,"5,0 – 12,0",420920064072.0,,
Công ty Cổ phần Đầu tư Tín Nghĩa Á Châu,Ngắn hạn > Công ty Cổ phần Đầu tư Tín Nghĩa Á Châu,Công ty Cổ phần Đầu tư Tín Nghĩa Á Châu,59.750.000.000,Ngày 28 tháng 2 năm 2020,"10,5",59750000000.0,,10.5
Công ty TNHH Đầu tư Thành Tạo,Ngắn hạn > Công ty TNHH Đầu tư Thành Tạo,Công ty TNHH Đầu tư Thành Tạo,38.431.000.000,Ngày 26 tháng 8 năm 2020,"10,5",38431000000.0,,10.5
Công ty Cổ phần Khu Công Nghiệp Thành Thành Công,Ngắn hạn > Công ty Cổ phần Khu Công Nghiệp Thành Thành Công,Công ty Cổ phần Khu Công Nghiệp Thành Thành Công,30.000.000.000,Ngày 1 tháng 3 năm 2020,"12,0",30000000000.0,,12.0
Công ty Cổ phần Xây dựng và Kết cấu Thép Đại Tín,Ngắn hạn > Công ty Cổ phần Xây dựng và Kết cấu Thép Đại Tín,Công ty Cổ phần Xây dựng và Kết cấu Thép Đại Tín,28.400.000.000,Ngày 29 tháng 11 năm 2020,"10,5",28400000000.0,,10.5
Công ty TNHH Xây dựng Thương mại Thuận Việt,Ngắn hạn > Công ty TNHH Xây dựng Thương mại Thuận Việt,Công ty TNHH Xây dựng Thương mại Thuận Việt,28.000.000.000,Ngày 25 tháng 6 năm 2020,"7,0",28000000000.0,,7.0
Công ty Cổ phần Bao bì và Kho bãi Bình Tây,Ngắn hạn > Công ty Cổ phần Bao bì và Kho bãi Bình Tây,Công ty Cổ phần Bao bì và Kho bãi Bình Tây,23.552.000.000,Ngày 25 tháng 6 năm 2020,"10,0",23552000000.0,,10.0
Công ty Cổ phần Chê Ngọc Bảo,Ngắn hạn > Công ty Cổ phần Chê Ngọc Bảo,Công ty Cổ phần Chê Ngọc Bảo,16.000.000.000,Ngày 30 tháng 1 năm 2020,"5,0",16000000000.0,,5.0
Công ty TNHH MTV Kỹ thuật Xây dựng Toàn Thịnh Phát,Ngắn hạn > Công ty TNHH MTV Kỹ thuật Xây dựng Toàn Thịnh Phát,Công ty TNHH MTV Kỹ thuật Xây dựng Toàn Thịnh Phát,11.828.000.000,Ngày 24 tháng 9 năm 2020,"10,5",11828000000.0,,10.5
Công ty Cổ phần Đầu tư Địa ốc Kim Thành,Ngắn hạn > Công ty Cổ phần Đầu tư Địa ốc Kim Thành,Công ty Cổ phần Đầu tư Địa ốc Kim Thành,9.500.000.000,Ngày 21 tháng 1 năm 2020,"10,0",9500000000.0,,10.0
Công ty Cổ phần Du lịch Thành Thành Công,Ngắn hạn > Công ty Cổ phần Du lịch Thành Thành Công,Công ty Cổ phần Du lịch Thành Thành Công,5.000.000.000,Ngày 17 tháng 1 năm 2020,"12,0",5000000000.0,,12.0
Công ty Cổ phần Đầu tư Hà tầng Cụm Công nghiệp Tân Hội,Ngắn hạn > Công ty Cổ phần Đầu tư Hà tầng Cụm Công nghiệp Tân Hội,Công ty Cổ phần Đầu tư Hà tầng Cụm Công nghiệp Tân Hội,5.000.000.000,Ngày 15 tháng 1 năm 2020,"11,0",5000000000.0,,11.0
Công ty Cổ phần Khai thác Và Quản lý Khu Công Nghiệp Đăng Huỳnh,Ngắn hạn > Công ty Cổ phần Khai thác Và Quản lý Khu Công Nghiệp Đăng Huỳnh,Công ty Cổ phần Khai thác Và Quản lý Khu Công Nghiệp Đăng Huỳnh,4.000.000.000,Ngày 30 tháng 4 năm 2020,"11,0",4000000000.0,,11.0
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,680.381.064.072,,,680381064072.0,,
