row_label_raw,row_label_full,Các bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Số cuối năm,Số đầu năm,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__Số đầu năm
Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,,,,
Công ty Cổ phầnMay Tiến Phát,Phải thu về cho vay ngắn hạn > Công ty Cổ phầnMay Tiến Phát,Công ty Cổ phầnMay Tiến Phát,Công ty liên kết,Cho vay,1.500.622.550.000,1.496.963.550.000,,,1500622550000.0,1496963550000.0
Công ty Cổ phần Khu công nghiệp Thành Thành Công,Phải thu về cho vay ngắn hạn > Công ty Cổ phần Khu công nghiệp Thành Thành Công,Công ty Cổ phần Khu công nghiệp Thành Thành Công,Đầu tư khác,Cho vay,120.000.000.000,120.000.000.000,,,120000000000.0,120000000000.0
Công ty Cổ phần Thành Thành Nam,Phải thu về cho vay ngắn hạn > Công ty Cổ phần Thành Thành Nam,Công ty Cổ phần Thành Thành Nam,Công ty trong cùng Tập đoàn,Cho vay,88.500.000.000,88.000.000.000,,,88500000000.0,88000000000.0
Công ty Cổ phần Bất Đông Sản 66,Phải thu về cho vay ngắn hạn > Công ty Cổ phần Bất Đông Sản 66,Công ty Cổ phần Bất Đông Sản 66,Công ty trong cùng Tập đoàn,Cho vay,85.700.000.000,85.700.000.000,,,85700000000.0,85700000000.0
Huỳnh Thảo Linh,Phải thu về cho vay ngắn hạn > Huỳnh Thảo Linh,Huỳnh Thảo Linh,Chủ tịch công ty con,Cho vay,41.500.000.000,-,,,41500000000.0,
Công ty Cổ phần Đầu tư Thành Thành Công,Phải thu về cho vay ngắn hạn > Công ty Cổ phần Đầu tư Thành Thành Công,Công ty Cổ phần Đầu tư Thành Thành Công,Cổ đông,Cho vay,16.616.000.000,3.316.000.000,,,16616000000.0,3316000000.0
Công ty Cổ phần Sản xuất – Xây dựng – Dịch vụ Hoa Đồng,Phải thu về cho vay ngắn hạn > Công ty Cổ phần Sản xuất – Xây dựng – Dịch vụ Hoa Đồng,Công ty Cổ phần Sản xuất – Xây dựng – Dịch vụ Hoa Đồng,Công ty liên kết,Cho vay,14.328.000.000,5.100.000.000,,,14328000000.0,5100000000.0
Công ty Cổ phần Toàn Hải Vân,Phải thu về cho vay ngắn hạn > Công ty Cổ phần Toàn Hải Vân,Công ty Cổ phần Toàn Hải Vân,Công ty trong cùng Tập đoàn,Cho vay,13.663.095.887,18.094.000.000,,,13663095887.0,18094000000.0
Công ty Cổ phần Đầu tư Kiến trúc Xây dựng Toàn Thịnh Phát,Phải thu về cho vay ngắn hạn > Công ty Cổ phần Đầu tư Kiến trúc Xây dựng Toàn Thịnh Phát,Công ty Cổ phần Đầu tư Kiến trúc Xây dựng Toàn Thịnh Phát,Bên liên quan,Cho vay,6.525.694.445,6.525.694.445,,,6525694445.0,6525694445.0
,,,,,1.887.455.340.332,1.823.699.244.445,,,1887455340332.0,1823699244445.0
Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,,,,
Trần Lam Thông,Phải thu về cho vay dài hạn > Trần Lam Thông,Trần Lam Thông,Cổ đông,Cho vay,616.666.659,816.666.663,,,616666659.0,816666663.0
Công ty Cổ Phần Đầu Tư Tín Nghĩa Á Châu,Phải thu về cho vay dài hạn > Công ty Cổ Phần Đầu Tư Tín Nghĩa Á Châu,Công ty Cổ Phần Đầu Tư Tín Nghĩa Á Châu,Bên liên quan,Cho vay,-,19.061.397.275,,,,19061397275.0
,,,,,616.666.659,19.878.063.938,,,616666659.0,19878063938.0
