row_label_raw,row_label_full,Công ty Cổ phần Đầu tư Thành Thành Công,Cổ đông,Mua hàng hóa và dịch vụ,5.978.069.144,4.307.205.617,numeric__Cổ đông,numeric__Mua hàng hóa và dịch vụ,numeric__5.978.069.144,numeric__4.307.205.617
Công ty Cổ phần Thành Thành Nam,Công ty Cổ phần Thành Thành Nam,Công ty Cổ phần Thành Thành Nam,Cùng Tập đoàn,Mua hàng hóa và dịch vụ,5.026.291.346,788.102.600,,,5026291346.0,788102600.0
Công ty Cổ phần May Tiến Phát,Công ty Cổ phần May Tiến Phát,Công ty Cổ phần May Tiến Phát,Công ty liên kết,Mua hàng hóa và dịch vụ,2.349.037.020,77.900.000.000,,,2349037020.0,77900000000.0
Công ty Cổ phần Khu Công nghiệp Thành Thành Công,Công ty Cổ phần Khu Công nghiệp Thành Thành Công,Công ty Cổ phần Khu Công nghiệp Thành Thành Công,Đầu tư khác,Mua hàng hóa và dịch vụ,2.147.602.261,-,,,2147602261.0,
Công ty Cổ phần Đầu tư Kiến trúc Xây dựng Toàn Thịnh Phát,Công ty Cổ phần Đầu tư Kiến trúc Xây dựng Toàn Thịnh Phát,Công ty Cổ phần Đầu tư Kiến trúc Xây dựng Toàn Thịnh Phát,Bên liên quan,Mua hàng hóa và dịch vụ,1.726.722.673,45.925.218.918,,,1726722673.0,45925218918.0
Công ty TNHH Sản xuất Kinh doanh Hai Thành,Công ty TNHH Sản xuất Kinh doanh Hai Thành,Công ty TNHH Sản xuất Kinh doanh Hai Thành,Bên liên quan,Mua hàng hóa và dịch vụ,536.378.368,593.785.757,,,536378368.0,593785757.0
Công ty Cổ phần Du Lịch Thành Thành Công,Công ty Cổ phần Du Lịch Thành Thành Công,Công ty Cổ phần Du Lịch Thành Thành Công,Công ty trong cứng Tập đoàn,Mua hàng hóa và dịch vụ,392.384.358,741.090.703,,,392384358.0,741090703.0
Công ty TNHH Tư Văn Thiết Kế Kiến Trúc và Xây Dương Hải Thành,Công ty TNHH Tư Văn Thiết Kế Kiến Trúc và Xây Dương Hải Thành,Công ty TNHH Tư Văn Thiết Kế Kiến Trúc và Xây Dương Hải Thành,Bên liên quan,Mua hàng hóa và dịch vụ,48.902.050,-,,,48902050.0,
Công ty Cổ phần Xuất nhập khẩu Bến Tre,Công ty Cổ phần Xuất nhập khẩu Bến Tre,Công ty Cổ phần Xuất nhập khẩu Bến Tre,Bên liên quan,Mua hàng hóa và dịch vụ,6.000.000,-,,,6000000.0,
Công ty Cổ phần Du Lịch Thành Thành Công Lâm Đồng,Công ty Cổ phần Du Lịch Thành Thành Công Lâm Đồng,Công ty Cổ phần Du Lịch Thành Thành Công Lâm Đồng,Công ty trong cứng Tập đoàn,Mua hàng hóa và dịch vụ,936.000,-,,,936000.0,
Công ty TNHH MTV Kỹ Thuật Xây dựng Toàn Thịnh Phát,Công ty TNHH MTV Kỹ Thuật Xây dựng Toàn Thịnh Phát,Công ty TNHH MTV Kỹ Thuật Xây dựng Toàn Thịnh Phát,Bên liên quan,Mua hàng hóa và dịch vụ,-,11.151.238.815,,,,11151238815.0
