row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc",Máy mócvà thiết bị,Phương tiệnvận chuyển,Thiết bịvăn phòng,VNDTổng cộng,"numeric__Nhà cửa,vật kiến trúc",numeric__Máy mócvà thiết bị,numeric__Phương tiệnvận chuyển,numeric__Thiết bịvăn phòng,numeric__VNDTổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,249.090.909,1.270.825.997,11.190.531.998,12.511.401.456,25.221.850.360,249090909.0,1270825997.0,11190531998.0,12511401456.0,25221850360.0
Mua mới,Nguyên giá: > Mua mới,Mua mới,-,165.970.990,1.291.501.909,622.410.000,2.079.882.899,,165970990.0,1291501909.0,622410000.0,2079882899.0
Thanh lý,Nguyên giá: > Thanh lý,Thanh lý,-,(104.727.274),(11.191.202.998),(226.958.760),(11.522.889.032),,-104727274.0,-11191202998.0,-226958760.0,-11522889032.0
Giảm khác,Nguyên giá: > Giảm khác,Giảm khác,-,-,-,(38.237.749),(38.237.749),,,,-38237749.0,-38237749.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,249.090.909,1.332.069.713,1.290.830.909,12.868.614.947,15.740.606.478,249090909.0,1332069713.0,1290830909.0,12868614947.0,15740606478.0
Trong đó:Dã khấu hao hết,Nguyên giá: > Trong đó:Dã khấu hao hết,Trong đó:Dã khấu hao hết,-,1.023.943.943,1.290.830.909,6.343.167.205,8.657.942.057,,1023943943.0,1290830909.0,6343167205.0,8657942057.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,(145.303.032),(1.142.892.617),(2.604.798.817),(8.105.671.230),(11.998.665.696),-145303032.0,-1142892617.0,-2604798817.0,-8105671230.0,-11998665696.0
Khẩu hao trong năm,Giá trị khấu hao lũy kế: > Khẩu hao trong năm,Khẩu hao trong năm,(41.515.152),(51.233.949),(1.533.166.365),(1.283.790.336),(2.909.705.802),-41515152.0,-51233949.0,-1533166365.0,-1283790336.0,-2909705802.0
Thanh lý,Giá trị khấu hao lũy kế: > Thanh lý,Thanh lý,-,34.909.052,3.819.114.326,122.142.066,3.976.165.444,,34909052.0,3819114326.0,122142066.0,3976165444.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,(186.818.184),(1.159.217.514),(318.850.856),(9.267.319.500),(10.932.206.054),-186818184.0,-1159217514.0,-318850856.0,-9267319500.0,-10932206054.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,103.787.877,127.933.380,8.585.733.181,4.405.730.226,13.223.184.664,103787877.0,127933380.0,8585733181.0,4405730226.0,13223184664.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,62.272.725,172.852.199,971.980.053,3.601.295.447,4.808.400.424,62272725.0,172852199.0,971980053.0,3601295447.0,4808400424.0
