row_label_raw,row_label_full,col_0,Số cuối năm,VND Số đầu năm (Trình bày lại – Thuyết minh số 38),numeric__Số cuối năm,numeric__VND Số đầu năm (Trình bày lại – Thuyết minh số 38)
Bất động sản dở dang,Bất động sản dở dang,Bất động sản dở dang,4.145.164.001.718,4.282.920.694.202,4145164001718.0,4282920694202.0
- Dư án Jamona City (*),- Dư án Jamona City (*),- Dư án Jamona City (*),1.954.113.327.359,2.083.461.328.838,1954113327359.0,2083461328838.0
- Dư án Charmington Plaza,- Dư án Charmington Plaza,- Dư án Charmington Plaza,572.646.682.502,563.100.807.666,572646682502.0,563100807666.0
- Dư án Charmington Tamashi Đà Nẵng,- Dư án Charmington Tamashi Đà Nẵng,- Dư án Charmington Tamashi Đà Nẵng,463.327.030.047,434.180.925.672,463327030047.0,434180925672.0
- Dư án Carillon 7 (*),- Dư án Carillon 7 (*),- Dư án Carillon 7 (*),404.857.644.504,137.152.575.084,404857644504.0,137152575084.0
- Dư án Jamona Home Resort,- Dư án Jamona Home Resort,- Dư án Jamona Home Resort,286.064.356.692,359.483.252.300,286064356692.0,359483252300.0
- Dư án Jamona Cầu Tre,- Dư án Jamona Cầu Tre,- Dư án Jamona Cầu Tre,196.498.309.169,196.678.309.168,196498309169.0,196678309168.0
- Dư án Hung Điền – Tân Hưng Quận 8 (*),- Dư án Hung Điền – Tân Hưng Quận 8 (*),- Dư án Hung Điền – Tân Hưng Quận 8 (*),73.291.340.187,2.721.249.139,73291340187.0,2721249139.0
- Dư án TTC Plaza Đức Trọng,- Dư án TTC Plaza Đức Trọng,- Dư án TTC Plaza Đức Trọng,55.294.713.124,5.138.024.409,55294713124.0,5138024409.0
- Dư án Thanh Đa,- Dư án Thanh Đa,- Dư án Thanh Đa,35.331.091.935,34.986.908.935,35331091935.0,34986908935.0
- Khu dân cư Phú Hữu Quận 9,- Khu dân cư Phú Hữu Quận 9,- Khu dân cư Phú Hữu Quận 9,21.776.603.921,21.776.603.921,21776603921.0,21776603921.0
- Dư án Carillon 5,- Dư án Carillon 5,- Dư án Carillon 5,17.940.886.016,45.559.584.658,17940886016.0,45559584658.0
- Dư án Charmington La Pointe (i),- Dư án Charmington La Pointe (i),- Dư án Charmington La Pointe (i),9.281.286.495,52.672.780.469,9281286495.0,52672780469.0
- Dư án Phong Điền Phước Dân,- Dư án Phong Điền Phước Dân,- Dư án Phong Điền Phước Dân,4.358.338.675,4.358.338.675,4358338675.0,4358338675.0
- Dư án Jamona Golden Silk,- Dư án Jamona Golden Silk,- Dư án Jamona Golden Silk,4.219.033.304,590.767.497,4219033304.0,590767497.0
- Dư án Sacomreal Plaza (*),- Dư án Sacomreal Plaza (*),- Dư án Sacomreal Plaza (*),-,188.571.232.924,,188571232924.0
- Dư án Jamona Heights,- Dư án Jamona Heights,- Dư án Jamona Heights,-,131.009.248.506,,131009248506.0
- Các dự án khác,- Các dự án khác,- Các dự án khác,46.163.357.788,21.478.756.341,46163357788.0,21478756341.0
Hàng hóa bất động sản,Hàng hóa bất động sản,Hàng hóa bất động sản,13.906.041.451,12.945.813.379,13906041451.0,12945813379.0
Nguyên vất liệu,Nguyên vất liệu,Nguyên vất liệu,293.840.627,906.283.726,293840627.0,906283726.0
Hàng hóa,Hàng hóa,Hàng hóa,113.660.002,-,113660002.0,
Công cụ và dụng cụ,Công cụ và dụng cụ,Công cụ và dụng cụ,59.966.364,215.689.182,59966364.0,215689182.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,4.159.537.510.162,4.296.988.480.489,4159537510162.0,4296988480489.0
Dư phòng giảm giả hàng tồn kho,Dư phòng giảm giả hàng tồn kho,Dư phòng giảm giả hàng tồn kho,-,(5.701.760.000),,-5701760000.0
GIÁ TRỊ THUẢN,GIÁ TRỊ THUẢN,GIÁ TRỊ THUẢN,4.159.537.510.162,4.291.286.720.489,4159537510162.0,4291286720489.0
