row_label_raw,row_label_full,col_0,Giá trị theo hợp đồng,Giá trị đã ghi nhận,VNDGiá trị cam kết còn lại,numeric__Giá trị theo hợp đồng,numeric__Giá trị đã ghi nhận,numeric__VNDGiá trị cam kết còn lại
Dự án Jamona City,Dự án Jamona City,Dự án Jamona City,3.538.556.430.364,2.999.628.867.890,538.927.562.474,3538556430364.0,2999628867890.0,538927562474.0
Dự án Jamona Golden Silk,Dự án Jamona Golden Silk,Dự án Jamona Golden Silk,1.003.589.907.355,940.603.440.280,62.986.467.075,1003589907355.0,940603440280.0,62986467075.0
Dự án Carillon 6,Dự án Carillon 6,Dự án Carillon 6,935.241.862.000,5.238.090.955,930.003.771.045,935241862000.0,5238090955.0,930003771045.0
Dự án Carillon 7,Dự án Carillon 7,Dự án Carillon 7,852.067.056.364,402.102.450.813,449.964.605.551,852067056364.0,402102450813.0,449964605551.0
Dự án Charmington LaPointe,Dự án Charmington LaPointe,Dự án Charmington LaPointe,592.099.294.475,499.000.377.285,93.098.917.190,592099294475.0,499000377285.0,93098917190.0
Dự án Carillon 5,Dự án Carillon 5,Dự án Carillon 5,278.858.312.607,238.951.361.275,39.906.951.332,278858312607.0,238951361275.0,39906951332.0
Dự án Charmington Tamashi Đà Nẵng,Dự án Charmington Tamashi Đà Nẵng,Dự án Charmington Tamashi Đà Nẵng,203.931.669.128,38.713.684.922,165.217.984.206,203931669128.0,38713684922.0,165217984206.0
Dự án TTC Plaza Đức Trong,Dự án TTC Plaza Đức Trong,Dự án TTC Plaza Đức Trong,151.244.181.818,55.192.452.879,96.051.728.939,151244181818.0,55192452879.0,96051728939.0
Dự án Charmington Plaza,Dự án Charmington Plaza,Dự án Charmington Plaza,6.748.781.818,1.043.895.015,5.704.886.803,6748781818.0,1043895015.0,5704886803.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,7.562.337.495.929,5.180.474.621.314,2.381.862.874.615,7562337495929.0,5180474621314.0,2381862874615.0
