row_label_raw,row_label_full,Các bên liên quan,Môi quan hệ,Nội dung nghiệp vụ,Số cuối năm,Số đầu năm,numeric__Môi quan hệ,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__Số đầu năm
Phải thu khác,Phải thu khác,Phải thu khác,Phải thu khác,Phải thu khác,Phải thu khác,Phải thu khác,,,,
Công ty TNHH Sản xuất Kinh doanh Hai Thành,Phải thu khác > Công ty TNHH Sản xuất Kinh doanh Hai Thành,Công ty TNHH Sản xuất Kinh doanh Hai Thành,Bên liên quan,Phải thu liên quan đến HDHTKD,253.765.946.800,253.286.743.390,,,253765946800.0,253286743390.0
Công ty Cổ phần May Tiến Phát,Phải thu khác > Công ty Cổ phần May Tiến Phát,Công ty Cổ phần May Tiến Phát,Công ty liên kết,Thu nhập từ cho vay,156.576.195.238,70.401.604.052,,,156576195238.0,70401604052.0
Công ty Cổ phần đầu tư Tín Nghĩa Á Châu,Phải thu khác > Công ty Cổ phần đầu tư Tín Nghĩa Á Châu,Công ty Cổ phần đầu tư Tín Nghĩa Á Châu,Công ty trong cùng tập đoàn,Thỏa thuận chuyển giao quyền chọn Khác,97.264.200.000 61.397.275,19.061.397.275,,,,19061397275.0
Công ty Cổ phần Thành Thành Nam,Phải thu khác > Công ty Cổ phần Thành Thành Nam,Công ty Cổ phần Thành Thành Nam,Công ty trong cùng tập đoàn,Thu nhập từ cho vay,57.350.000.000,321.500.000,,,57350000000.0,321500000.0
Công ty Cổ phần Khu Công nghiệp Thành Thành Công,Phải thu khác > Công ty Cổ phần Khu Công nghiệp Thành Thành Công,Công ty Cổ phần Khu Công nghiệp Thành Thành Công,Đầu tư khác,Thu nhập từ cho vay,28.760.918.547,15.568.063.930,,,28760918547.0,15568063930.0
Công ty Cổ phần Đầu Tư Bất Đông Sản 66,Phải thu khác > Công ty Cổ phần Đầu Tư Bất Đông Sản 66,Công ty Cổ phần Đầu Tư Bất Đông Sản 66,Công ty trong cùng Tập đoàn,Thu nhập từ cho vay,13.917.750.004,5.347.750.000,,,13917750004.0,5347750000.0
Trần Lam Thông,Phải thu khác > Trần Lam Thông,Trần Lam Thông,Chủ tịch công ty con,Tạm ứng phục vụ công tác đèn bù,13.379.940.012,18.001.072.972,,,13379940012.0,18001072972.0
Huỳnh Thảo Linh,Phải thu khác > Huỳnh Thảo Linh,Huỳnh Thảo Linh,Chủ tịch công ty con,Khác,2.698.930.445,-,,,2698930445.0,
Công ty Cổ phần Du Lịch Thành Thành Công Lâm Đồng,Phải thu khác > Công ty Cổ phần Du Lịch Thành Thành Công Lâm Đồng,Công ty Cổ phần Du Lịch Thành Thành Công Lâm Đồng,Công ty trong cùng Tập đoàn,Lãi chậm thanh toán,2.712.301.369,2.070.249.998,,,2712301369.0,2070249998.0
Công ty Cổ Phần Toàn Hải Văn,Phải thu khác > Công ty Cổ Phần Toàn Hải Văn,Công ty Cổ Phần Toàn Hải Văn,Công ty trong cùng Tập đoàn,Thu nhập từ cho vay,2.526.145.679,4.346.332.270,,,2526145679.0,4346332270.0
Công ty Cổ phần Đầu tư Thành Thành Công,Phải thu khác > Công ty Cổ phần Đầu tư Thành Thành Công,Công ty Cổ phần Đầu tư Thành Thành Công,Cổ đông,Thu nhập từ cho vay,1.492.151.675,3.270.575,,,1492151675.0,3270575.0
Công ty Cổ phần Sản Xuất Xây Dương Dịch Vụ Hoa Đồng,Phải thu khác > Công ty Cổ phần Sản Xuất Xây Dương Dịch Vụ Hoa Đồng,Công ty Cổ phần Sản Xuất Xây Dương Dịch Vụ Hoa Đồng,Công ty liên kết,Thu nhập từ cho vay,1.294.207.942,92.050.000,,,1294207942.0,92050000.0
Công ty Cổ phần Đầu Tư Kiến Trúc Xây Dương Toàn Thịnh Phát,Phải thu khác > Công ty Cổ phần Đầu Tư Kiến Trúc Xây Dương Toàn Thịnh Phát,Công ty Cổ phần Đầu Tư Kiến Trúc Xây Dương Toàn Thịnh Phát,Bên liên quan,Thu nhập từ cho vay,1.188.169.374,521.467.016,,,1188169374.0,521467016.0
Vũ Quốc Thái,Phải thu khác > Vũ Quốc Thái,Vũ Quốc Thái,Tống giảm đốc,Khác,860.000.000,-,,,860000000.0,
