row_label_raw,row_label_full,Phải thu các bên liên quan (Thuyết minh số 35),Số cuối năm > 322.076.095.923,VND Số đầu năm (Trình bày lại – Thuyết minh số 38) > 213.260.194.446,numeric__Số cuối năm > 322.076.095.923,numeric__VND Số đầu năm (Trình bày lại – Thuyết minh số 38) > 213.260.194.446
Phải thu các bên khác (*),Phải thu các bên khác (*),Phải thu các bên khác (*),233.886.325.235,302.900.254.174,233886325235.0,302900254174.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,555.962.421.158,516.160.448.620,555962421158.0,516160448620.0
Dự phòng phải thu khách hàng khó đòi,Dự phòng phải thu khách hàng khó đòi,Dự phòng phải thu khách hàng khó đòi,(89.225.518),(89.225.518),-89225518.0,-89225518.0
GIẢ TRI THUẢN,GIẢ TRI THUẢN,GIẢ TRI THUẢN,555.873.195.640,516.071.223.102,555873195640.0,516071223102.0
