row_label_raw,row_label_full,Các bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Số cuối năm,VND Số đầu năm,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__VND Số đầu năm
Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,,,,
Vũ Quốc Thái,Người mua trả tiền trước ngắn hạn > Vũ Quốc Thái,Vũ Quốc Thái,Tổng giám đốc,Bán hàng hóa và dịch vụ,17.550.000.742,-,,,17550000742.0,
Công ty Cổ phầnKhu Công nghiệpThành Thành Công,Người mua trả tiền trước ngắn hạn > Công ty Cổ phầnKhu Công nghiệpThành Thành Công,Công ty Cổ phầnKhu Công nghiệpThành Thành Công,Đầu tư khác,Bán hàng hóa và dịch vụ,1.017.879.675,-,,,1017879675.0,
Công ty Cổ phầnSản xuất – Xây dựng– Dịch vụ Hoa Đồng,Người mua trả tiền trước ngắn hạn > Công ty Cổ phầnSản xuất – Xây dựng– Dịch vụ Hoa Đồng,Công ty Cổ phầnSản xuất – Xây dựng– Dịch vụ Hoa Đồng,Công ty liên kết,Bán hàng hóa và dịch vụ,434.703.225,-,,,434703225.0,
Công ty Cổ phầnXuất nhập khẩuBến Tre,Người mua trả tiền trước ngắn hạn > Công ty Cổ phầnXuất nhập khẩuBến Tre,Công ty Cổ phầnXuất nhập khẩuBến Tre,Cổ đông,Bán hàng hóa và dịch vụ,-,20.213.560.303,,,,20213560303.0
Công ty Cổ phầnMay Tiến Phát,Người mua trả tiền trước ngắn hạn > Công ty Cổ phầnMay Tiến Phát,Công ty Cổ phầnMay Tiến Phát,Công ty liên kết,Bán hàng hóa và dịch vụ,-,277.200.000,,,,277200000.0
,,,,,19.002.583.642,20.490.760.303,,,19002583642.0,20490760303.0
Phải trả khác,Phải trả khác,Phải trả khác,Phải trả khác,Phải trả khác,Phải trả khác,Phải trả khác,,,,
Trần Lam Thông,Phải trả khác > Trần Lam Thông,Trần Lam Thông,Cổ đông,Khác,17.386.797.674,-,,,17386797674.0,
Huỳnh Thảo Linh,Phải trả khác > Huỳnh Thảo Linh,Huỳnh Thảo Linh,Chủ tịch công ty con,Khác,14.145.765.000,-,,,14145765000.0,
Công ty Cổ phầnĐầu tư Kiến trúcXây dựng ToánThịnh Phát,Phải trả khác > Công ty Cổ phầnĐầu tư Kiến trúcXây dựng ToánThịnh Phát,Công ty Cổ phầnĐầu tư Kiến trúcXây dựng ToánThịnh Phát,Bên liên quan,Chi phí tư vấn,9.552.124.154,88.851.000,,,9552124154.0,88851000.0
Công ty Cổ phầnĐầu tư Xây dựngHùng Anh,Phải trả khác > Công ty Cổ phầnĐầu tư Xây dựngHùng Anh,Công ty Cổ phầnĐầu tư Xây dựngHùng Anh,Bên liên quan,Chi phí tư vấn,2.000.000.000,1.200.000.000,,,2000000000.0,1200000000.0
Vũ Quốc Thái,Phải trả khác > Vũ Quốc Thái,Vũ Quốc Thái,Tổng giám đốc,Khác,1.038.843.225,-,,,1038843225.0,
Công ty Cổ phầnMay Tiến Phát,Phải trả khác > Công ty Cổ phầnMay Tiến Phát,Công ty Cổ phầnMay Tiến Phát,Công ty liên kết,Tạm ứng mua bất động sản đầu tư,100.000.000,53.861.710.522,,,100000000.0,53861710522.0
Lâm Minh Châu,Phải trả khác > Lâm Minh Châu,Lâm Minh Châu,Thành viên HĐQT,Khác,20.379.742,-,,,20379742.0,
,,,,,44.243.909.795,55.150.561.522,,,44243909795.0,55150561522.0
