row_label_raw,row_label_full,col_0,"VNDNhà cửa,vật kiến trúc","numeric__VNDNhà cửa,vật kiến trúc"
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,272.329.811.591,272329811591.0
Đầu tư xây dựng cơ bản hoàn thành,Nguyên giá: > Đầu tư xây dựng cơ bản hoàn thành,Đầu tư xây dựng cơ bản hoàn thành,304.478.893.365,304478893365.0
Tăng trong năm,Nguyên giá: > Tăng trong năm,Tăng trong năm,36.303.853.748,36303853748.0
Thanh lý,Nguyên giá: > Thanh lý,Thanh lý,(36.355.542.089),-36355542089.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,576.757.016.615,576757016615.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,(6.198.069.745),-6198069745.0
Khấu hao trong năm,Giá trị khấu hao lũy kế: > Khấu hao trong năm,Khấu hao trong năm,(13.624.878.091),-13624878091.0
Thanh lý,Giá trị khấu hao lũy kế: > Thanh lý,Thanh lý,428.190.603,428190603.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,(19.394.757.233),-19394757233.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,266.131.741.846,266131741846.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,557.362.259.382,557362259382.0
