row_label_raw,row_label_full,Công ty TNHH MTVDịch Vụ Bắt ĐôngSản Minh Anh,Công ty trongcùng Tập đoàn,Mua hàng hòavà dịch vụ,61.500.000.000,col_4,numeric__Công ty trongcùng Tập đoàn,numeric__Mua hàng hòavà dịch vụ,numeric__61.500.000.000,numeric__col_4
Công ty Cố phầnkhu Công nghiệpThành Thành Công,Công ty Cố phầnkhu Công nghiệpThành Thành Công,Công ty Cố phầnkhu Công nghiệpThành Thành Công,Đầu tư khác,Mua hàng hòavà dịch vụ,41.655.000.000,1.223.588.505,,,41655000000.0,1223588505.0
Công ty Cố phầnmay Tiến Phát,Công ty Cố phầnmay Tiến Phát,Công ty Cố phầnmay Tiến Phát,Công ty liên kết,Mua hàng hòavà dịch vụ,5.200.000.000,27.615.435.180,,,5200000000.0,27615435180.0
Công ty TNHH TưVấn Thiết Kế KiếnTrúc và Xây DụngHải Thành,Công ty TNHH TưVấn Thiết Kế KiếnTrúc và Xây DụngHải Thành,Công ty TNHH TưVấn Thiết Kế KiếnTrúc và Xây DụngHải Thành,Bên liên quan,Mua hàng hòavà dịch vụ,385.000.000,39.768.850,,,385000000.0,39768850.0
,,,,,108.740.000.000,28.878.792.535,,,108740000000.0,28878792535.0
