row_label_raw,row_label_full,col_0,Vốn cổ phần,Thặng dư vốn cổ phần,Cổ phiếu quỹ,Quỹ đầu tư phát triển,Quỹ khác thuộc vốn chủ sở hữu,Lợi nhuận sau thuế chưa phân phối,VND Tống cộng,numeric__Vốn cổ phần,numeric__Thặng dư vốn cổ phần,numeric__Cổ phiếu quỹ,numeric__Quỹ đầu tư phát triển,numeric__Quỹ khác thuộc vốn chủ sở hữu,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__VND Tống cộng
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,,,,
Số đầu năm (đã được trình bày trước đây),Năm trước > Số đầu năm (đã được trình bày trước đây),Số đầu năm (đã được trình bày trước đây),2.438.724.240.000,333.441.184.101,(11.890.000),110.076.634.441,24.890.292.522,380.411.551.264,3.287.532.012.328,2438724240000.0,333441184101.0,-11890000.0,110076634441.0,24890292522.0,380411551264.0,3287532012328.0
Trình bày lại,Năm trước > Trình bày lại,Trình bày lại,-,-,-,-,-,46.446.259.436,46.446.259.436,,,,,,46446259436.0,46446259436.0
Số đầu năm (được trình bày lại),Năm trước > Số đầu năm (được trình bày lại),Số đầu năm (được trình bày lại),2.438.724.240.000,333.441.184.101,(11.890.000),110.076.634.441,24.890.292.522,426.857.810.700,3.333.978.271.764,2438724240000.0,333441184101.0,-11890000.0,110076634441.0,24890292522.0,426857810700.0,3333978271764.0
Phát hành cổ phiếu,Năm trước > Phát hành cổ phiếu,Phát hành cổ phiếu,731.613.700.000,(180.000.000),-,-,-,-,731.433.700.000,731613700000.0,-180000000.0,,,,,731433700000.0
Lợi nhuận thuần trong năm (Trình bày lại – Thuyết minh số 38),Năm trước > Lợi nhuận thuần trong năm (Trình bày lại – Thuyết minh số 38),Lợi nhuận thuần trong năm (Trình bày lại – Thuyết minh số 38),-,-,-,-,-,201.996.966.303,201.996.966.303,,,,,,201996966303.0,201996966303.0
Biến động do việc mua thêm vốn chủ sở hữu của công ty con,Năm trước > Biến động do việc mua thêm vốn chủ sở hữu của công ty con,Biến động do việc mua thêm vốn chủ sở hữu của công ty con,-,-,-,-,-,(16.460.965),(16.460.965),,,,,,-16460965.0,-16460965.0
Trích quỹ đầu tư phát triển,Năm trước > Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,-,-,-,20.023.396.743,-,(20.023.396.743),-,,,,20023396743.0,,-20023396743.0,
"Trích quỹ khen thưởng, phúc lợi","Năm trước > Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,-,-,-,(22.012.493.690),(22.012.493.690),,,,,,-22012493690.0,-22012493690.0
Phát hành cổ phiếu thưởng,Năm trước > Phát hành cổ phiếu thưởng,Phát hành cổ phiếu thưởng,221.888.810.000,,,,,(221.888.810.000),-,221888810000.0,,,,,-221888810000.0,
Khác,Năm trước > Khác,Khác,-,-,-,-,-,142.051.531,142.051.531,,,,,,142051531.0,142051531.0
Số cuối năm,Năm trước > Số cuối năm,Số cuối năm,3.392.226.750.000,333.261.184.101,(11.890.000),130.100.031.184,24.890.292.522,365.055.667.136,4.245.522.034.943,3392226750000.0,333261184101.0,-11890000.0,130100031184.0,24890292522.0,365055667136.0,4245522034943.0
